N	2gram	Trubetskoy	DiskursI
1	в качестве	3	72
2	а не	2	60
3	может быть	9	56
4	не только	9	49
5	и в	14	49
6	как и	4	47
7	тогда как	2	47
8	при этом	5	46
9	и не	19	44
10	в том	17	44
11	то есть	1	41
12	том что	9	40
13	в этом	17	38
14	в себе	9	37
15	состоит в	2	37
16	в частности	2	36
17	но и	10	35
18	но не	4	31
19	со стороны	4	28
20	но в	2	28
21	так и	1	28
22	не может	22	27
23	по своей	1	26
24	отнюдь не	7	23
25	еще не	3	23
26	в своей	5	19
27	все же	4	19
28	в нем	5	19
29	прежде всего	8	19
30	в основе	1	18
31	то же	11	17
32	в данном	7	17
33	с другой	1	17
34	в мире	4	17
35	по отношению	2	17
36	отношению к	1	17
37	точки зрения	11	16
38	только в	5	16
39	о том	7	15
40	то что	13	15
41	роль в	1	15
42	в его	4	15
43	не менее	1	14
44	можно сказать	1	14
45	не в	4	14
46	ни к	7	14
47	не является	1	14
48	это не	1	14
49	или иной	5	14
50	как бы	4	13
51	для него	6	13
52	в своих	6	12
53	в своем	6	12
54	того же	1	12
55	и на	5	12
56	и все	1	12
57	данном случае	3	12
58	не было	3	11
59	столь же	1	11
60	что в	4	11
61	и как	3	11
62	не столько	1	10
63	той или	3	10
64	а с	2	10
65	для себя	2	10
66	вследствие этого	1	10
67	а в	5	10
68	же время	10	10
69	также и	1	10
70	и т.д	4	10
71	уже не	2	9
72	себя в	4	9
73	между тем	5	9
74	в силу	2	9
75	в то	10	9
76	сводится к	3	9
77	тем самым	2	9
78	в этих	2	8
79	и даже	2	8
80	к тому	7	8
81	в котором	2	8
82	из них	3	8
83	в себя	1	8
84	он не	5	8
85	если в	6	8
86	не на	1	8
87	не следует	1	8
88	жизни в	5	8
89	потому что	5	8
90	этом отношении	1	8
91	человека в	1	8
92	и о	2	8
93	таким образом	11	7
94	иначе говоря	1	7
95	одной из	3	7
96	что и	3	7
97	тому же	1	7
98	его в	4	7
99	к этому	1	7
100	в этой	4	7
101	могут быть	1	7
102	ни в	2	7
103	приводит к	4	7
104	перед нами	1	7
105	но это	2	7
106	и для	6	7
107	лишь в	3	7
108	однако при	1	6
109	именно в	3	6
110	и того	1	6
111	одна из	3	6
112	крайней мере	1	6
113	никогда не	5	6
114	то в	3	6
115	в принципе	1	6
116	с точки	9	6
117	в ее	1	6
118	во всех	5	6
119	в сущности	1	6
120	и то	4	6
121	разумеется не	1	6
122	что он	6	6
123	к его	1	6
124	в которых	1	6
125	по крайней	1	6
126	в истории	1	6
127	что же	4	6
128	дело в	1	6
129	в эпоху	1	6
130	в одной	1	6
131	одного из	1	6
132	из двух	1	5
133	мысль о	1	5
134	по своим	1	5
135	к своим	1	5
136	в другом	3	5
137	не всегда	1	5
138	говорить о	3	5
139	для данного	1	5
140	значительной степени	1	5
141	свою очередь	1	5
142	в прошлом	1	5
143	к ним	1	5
144	к себе	2	5
145	несмотря на	3	5
146	проявляется в	2	5
147	в сторону	1	5
148	но при	1	5
149	следует признать	1	5
150	подход к	1	5
151	с ее	1	5
152	тем что	3	5
153	одного и	1	5
154	один из	1	5
155	в свою	1	5
156	в значительной	3	5
157	известной степени	1	5
158	при котором	3	5
159	к той	2	5
160	того что	3	5
161	в ней	2	5
162	и состоит	2	5
163	самоопределения в	1	5
164	в их	4	5
165	и потому	3	5
166	из этих	3	5
167	что касается	1	5
168	но она	2	5
169	стороны и	1	5
170	же самое	1	5
171	как будто	2	5
172	не к	2	5
173	в самом	3	4
174	и к	6	4
175	человеческой жизни	1	4
176	в результате	2	4
177	ни одна	3	4
178	в жизни	1	4
179	отличается от	2	4
180	во всяком	9	4
181	только на	2	4
182	точка зрения	1	4
183	что они	3	4
184	привело к	1	4
185	тем не	1	4
186	связи с	3	4
187	не о	2	4
188	полной мере	1	4
189	что не	1	4
190	не есть	3	4
191	по себе	2	4
192	и это	1	4
193	и тем	2	4
194	как это	1	4
195	должны быть	1	4
196	хотя в	1	4
197	это в	2	4
198	и есть	2	4
199	или иного	2	4
200	однако и	1	4
201	с ним	2	4
202	не могут	4	4
203	с ней	1	4
204	можно назвать	1	4
205	принципиально не	1	4
206	претендовать на	1	4
207	тот или	1	4
208	в данной	1	4
209	и во	3	4
210	до конца	1	4
211	до известной	1	4
212	этом случае	3	4
213	зависит от	2	4
214	того и	1	4
215	не для	1	4
216	или в	3	4
217	однако это	1	4
218	по своему	1	4
219	на его	1	4
220	а на	1	4
221	того или	2	4
222	может иметь	1	4
223	в полной	1	4
224	которая может	1	4
225	а по	1	4
226	к данному	2	4
227	и прежде	1	4
228	может и	1	4
229	которая в	1	3
230	более или	4	3
231	но все	1	3
232	к другим	1	3
233	их в	2	3
234	в одно	1	3
235	на первый	1	3
236	первый взгляд	1	3
237	с этим	2	3
238	вопрос о	5	3
239	входит в	1	3
240	как на	8	3
241	понятие о	1	3
242	ближе к	1	3
243	на почве	2	3
244	в жертву	1	3
245	к которому	1	3
246	или не	1	3
247	в которой	1	3
248	к чему	2	3
249	на себя	2	3
250	в области	2	3
251	между собой	5	3
252	о себе	1	3
253	но как	1	3
254	и что	2	3
255	для человека	1	3
256	не просто	2	3
257	то ни	4	3
258	было бы	5	3
259	не будучи	1	3
260	и от	2	3
261	и по	3	3
262	принадлежат к	2	3
263	должна быть	2	3
264	заключается в	1	3
265	отношения к	2	3
266	как не	1	3
267	вместе с	4	3
268	да и	3	3
269	о котором	3	3
270	это и	1	3
271	и более	2	3
272	языка и	1	3
273	своей собственной	1	3
274	идет о	1	3
275	на том	3	3
276	на основании	2	3
277	тем же	1	3
278	как мы	1	3
279	может оказаться	1	3
280	всяком случае	6	3
281	жизни но	1	3
282	они не	1	3
283	том числе	1	3
284	мы не	1	3
285	еще и	1	3
286	в полном	1	3
287	место в	2	3
288	что ни	1	3
289	а о	1	3
290	и без	1	3
291	не подлежит	2	3
292	все эти	2	3
293	или даже	1	3
294	об этом	1	3
295	или менее	4	3
296	бы это	1	3
297	том случае	4	3
298	она не	2	3
299	хотя бы	5	3
300	когда он	1	3
301	в начале	2	3
302	в большинстве	3	3
303	имеет свою	1	3
304	числе и	1	3
305	это разумеется	2	3
306	к ней	1	3
307	указывает на	2	3
308	жизни и	4	3
309	событий и	1	3
310	для этого	3	3
311	и наконец	2	3
312	что на	1	3
313	во всем	4	2
314	мы можем	2	2
315	для всех	6	2
316	он всегда	1	2
317	с этой	1	2
318	в некоторых	2	2
319	те же	1	2
320	не являются	1	2
321	собой все	2	2
322	и с	7	2
323	за ним	1	2
324	представление о	1	2
325	упускать из	1	2
326	в собственном	1	2
327	ему по	2	2
328	собой не	1	2
329	речь идет	2	2
330	так например	1	2
331	представления о	1	2
332	о которых	3	2
333	для того	6	2
334	в определенной	1	2
335	исключает возможность	1	2
336	в различных	1	2
337	к которой	6	2
338	а между	5	2
339	самого начала	1	2
340	точке зрения	3	2
341	этот человек	2	2
342	том чтобы	3	2
343	на него	1	2
344	он сам	3	2
345	у этих	1	2
346	деятельности в	1	2
347	индивидуальный характер	1	2
348	от ее	1	2
349	к нему	2	2
350	всего в	1	2
351	бы то	4	2
352	к общему	1	2
353	собой и	3	2
354	должно быть	3	2
355	принадлежность к	2	2
356	время в	2	2
357	при переходе	1	2
358	ни было	1	2
359	это обстоятельство	1	2
360	бытия и	1	2
361	с другими	1	2
362	у него	2	2
363	в разные	1	2
364	но для	2	2
365	очевидно что	1	2
366	же как	1	2
367	большинстве случаев	2	2
368	во главе	2	2
369	должно было	1	2
370	себе и	4	2
371	к мысли	1	2
372	а только	1	2
373	вопроса о	1	2
374	не был	1	2
375	остается в	2	2
376	при отсутствии	2	2
377	личности и	1	2
378	иметь в	1	2
379	могла бы	1	2
380	только с	2	2
381	бы его	2	2
382	что может	3	2
383	теми же	1	2
384	необходимо чтобы	1	2
385	они были	1	2
386	же этого	1	2
387	чем и	1	2
388	к такому	2	2
389	на деле	1	2
390	а потому	5	2
391	на ее	1	2
392	и при	6	2
393	и должно	2	2
394	потом и	1	2
395	не всякий	1	2
396	чтобы стать	1	2
397	из которых	5	2
398	том и	2	2
399	первый и	1	2
400	если бы	6	2
401	самом деле	7	2
402	самим собой	12	2
403	также может	1	2
404	от своего	1	2
405	с таким	1	2
406	в россии	6	2
407	о своей	1	2
408	же остается	1	2
409	себя и	5	2
410	древних греков	1	2
411	время и	1	2
412	тех же	1	2
413	и теперь	1	2
414	народа и	2	2
415	себя не	1	2
416	и вся	1	2
417	отношении к	2	2
418	к одному	1	2
419	целый ряд	2	2
420	он есть	1	2
421	со своими	1	2
422	не знаем	1	2
423	на этот	1	2
424	этого слова	1	2
425	друг друга	3	2
426	в самой	1	2
427	в любви	1	2
428	но на	1	2
429	не поддается	1	2
430	хоть и	1	2
431	может не	3	2
432	все это	6	2
433	он как	1	2
434	на роль	1	2
435	что так	1	2
436	что с	2	2
437	ее в	2	2
438	видеть в	2	2
439	возможно только	1	2
440	отказаться от	4	2
441	то к	1	2
442	по существу	5	2
443	понимать как	1	2
444	свидетельствуют о	1	2
445	является не	2	2
446	перед собой	1	2
447	со своей	1	2
448	путь к	4	2
449	вовсе не	1	2
450	тем более	1	2
451	в меру	2	2
452	и другого	1	2
453	связаны с	1	2
454	с самого	1	2
