N	2gram	Savitsky_E	Dialekti
1	не есть	2	181
2	т е	9	159
3	и не	14	120
4	и т	1	82
5	по себе	4	79
6	а не	2	78
7	и в	37	77
8	т д	1	75
9	точки зрения	23	72
10	может быть	6	71
11	не только	18	66
12	значит что	1	61
13	то что	6	59
14	это значит	2	54
15	не может	9	53
16	и даже	6	47
17	с точки	17	46
18	что это	2	46
19	есть нечто	1	46
20	так как	7	46
21	потому что	3	45
22	как бы	6	43
23	и что	2	42
24	не имеет	4	41
25	вовсе не	6	41
26	в том	11	40
27	в этом	12	39
28	то же	15	39
29	это есть	1	38
30	в себе	9	38
31	том что	6	37
32	прежде всего	9	37
33	она есть	1	35
34	что в	21	34
35	в нем	1	34
36	и все	2	33
37	того что	7	33
38	но и	14	32
39	сказать что	4	30
40	отнюдь не	9	30
41	и как	2	30
42	было бы	8	29
43	так и	10	29
44	как и	7	28
45	никогда не	3	27
46	не в	5	26
47	говорить о	1	25
48	и то	2	25
49	есть только	1	25
50	есть не	2	25
51	но это	1	24
52	если бы	2	24
53	таким образом	2	23
54	в то	16	23
55	что оно	1	23
56	что не	1	21
57	должна быть	2	21
58	она не	2	21
59	и с	2	20
60	о том	3	20
61	что и	3	20
62	что все	2	20
63	в таком	3	20
64	только в	9	20
65	в каком	4	20
66	только тогда	1	20
67	уже не	1	20
68	и вообще	1	20
69	в самом	4	19
70	не менее	1	19
71	в своем	14	19
72	как же	2	19
73	и притом	4	19
74	и это	1	19
75	как это	4	19
76	тогда когда	2	19
77	что мы	1	19
78	и его	1	19
79	же время	14	18
80	хотя бы	15	18
81	с другой	7	18
82	ни на	3	18
83	что же	2	18
84	жизни и	2	18
85	можно сказать	4	17
86	той или	4	17
87	должно быть	1	17
88	в основе	1	17
89	но если	5	17
90	кроме того	1	16
91	то это	1	16
92	к нему	2	16
93	само по	4	16
94	в своей	8	16
95	нет ничего	1	16
96	конечно не	1	16
97	мы не	4	16
98	об этом	1	16
99	все же	1	15
100	так же	9	15
101	то в	4	15
102	и мы	3	15
103	несмотря на	4	15
104	как таковой	1	15
105	хотя и	2	15
106	в виде	5	15
107	также и	7	15
108	быть и	1	15
109	и о	1	15
110	на то	6	15
111	а именно	2	14
112	есть то	1	14
113	с ним	1	14
114	не было	1	14
115	и ее	1	14
116	пространства и	1	14
117	и потому	5	14
118	и только	3	14
119	и к	3	13
120	говорит о	3	13
121	другой стороны	2	13
122	время как	1	13
123	и следовательно	1	13
124	в смысле	9	13
125	он не	2	13
126	и та	2	13
127	в силу	2	13
