N	2gram	Potebnia_M	Istorich
1	и в	58	181
2	и т	10	160
3	т д	6	142
4	может быть	47	115
5	не только	32	114
6	что он	5	111
7	мы имеем	1	102
8	что в	34	90
9	но и	26	85
10	в этом	18	81
11	так как	29	75
12	то что	24	73
13	таким образом	21	72
14	вместе с	12	71
15	и не	34	67
16	мы видим	5	65
17	все же	11	65
18	в этих	10	64
19	еще не	9	63
20	не может	30	61
21	так же	7	57
22	то же	13	56
23	никогда не	7	56
24	в том	38	53
25	том что	21	53
26	а в	11	52
27	с другой	13	52
28	потому что	89	52
29	и что	13	51
30	и здесь	1	51
31	что и	16	51
32	мы видели	5	49
33	а не	38	48
34	о том	6	48
35	связь с	2	47
36	его в	3	47
37	не в	23	47
38	другой стороны	7	46
39	превращается в	2	45
40	мы должны	4	44
41	но в	12	44
42	это не	10	43
43	и его	7	43
44	мы знаем	2	42
45	в нем	26	42
46	только в	36	42
47	показывает что	3	42
48	как в	18	42
49	или в	4	39
50	тем что	15	38
51	и на	8	38
52	в его	7	38
53	для нас	29	38
54	как и	16	37
55	уже не	4	37
56	мы уже	1	37
57	он не	4	37
58	что здесь	1	37
59	так и	17	37
60	знаем что	1	36
61	мы увидим	3	36
62	мы можем	10	36
63	что они	6	35
64	с тем	9	35
65	мы не	17	35
66	все эти	3	35
67	не всегда	2	34
68	связи с	6	34
69	но не	19	34
70	а именно	1	34
71	у него	3	34
72	во время	5	34
73	что это	5	34
74	же как	1	33
75	там где	8	33
76	об этом	1	33
77	сих пор	5	32
78	один из	2	31
79	прежде всего	8	31
80	то это	8	31
81	так в	4	31
82	ничего не	2	31
83	с этим	11	30
84	с одной	7	30
85	до сих	5	30
86	к нему	2	30
87	при помощи	2	30
88	но все	4	29
89	одной стороны	6	29
90	как мы	3	29
91	но это	7	29
92	и другие	1	28
93	что она	3	28
94	и с	3	28
95	например в	4	28
96	так что	23	27
97	могут быть	17	27
98	в образе	1	27
99	того что	15	27
100	как он	5	27
101	как это	1	26
102	на него	6	26
103	и др	1	26
104	предположить что	1	26
105	в ней	9	26
106	вопрос о	5	25
107	не менее	10	24
108	видно что	2	24
109	к этому	3	24
110	было бы	21	24
111	того как	12	24
112	в виде	1	24
113	если бы	23	24
114	что мы	11	24
115	их в	2	23
116	как бы	12	23
117	точно так	18	23
118	и это	3	23
119	тем не	11	23
120	в этой	3	23
121	имеем в	1	23
122	не будем	1	23
123	все это	3	23
124	когда он	1	23
125	и по	8	22
126	с ним	7	22
127	при этом	17	22
128	в некоторых	4	22
129	в другом	3	21
130	в одном	13	21
131	сказать что	5	21
132	совершенно ясно	1	21
133	в связи	2	21
134	должны были	2	21
135	здесь не	2	21
136	к тому	5	21
137	они не	5	21
138	ее в	1	21
139	из них	2	20
140	из этих	8	20
141	она не	3	20
142	одна из	4	20
143	в других	6	20
144	очень часто	1	20
145	видели что	2	20
146	так например	5	19
147	что у	2	19
148	на том	2	19
149	но он	3	19
150	в тех	1	19
151	в другой	4	19
152	не совсем	3	19
153	на то	5	19
154	и как	11	19
155	после того	3	19
156	после этого	2	18
157	и говорит	1	18
158	в то	6	18
159	что этот	1	18
160	не все	3	18
161	в данном	1	18
162	вовсе не	13	18
163	в них	7	17
164	нас к	1	17
165	выше мы	2	17
166	том как	6	17
167	то и	15	17
168	и только	6	17
169	во всех	12	16
170	этот вопрос	2	16
171	всех этих	2	16
172	и они	2	16
173	то мы	4	16
174	в котором	5	16
175	между двумя	1	16
176	не вполне	1	16
177	и действительно	1	16
178	и все	6	16
179	со стороны	11	16
180	перед нами	1	16
181	даже в	1	15
182	случаи когда	2	15
183	увидим что	4	15
184	что при	6	15
185	но есть	1	15
186	в особенности	1	15
187	и то	4	15
188	в своей	3	15
189	в которых	2	15
190	его и	1	15
191	и там	1	15
192	в одной	2	15
193	и эти	1	15
194	как будто	2	15
195	и даже	4	15
196	на его	1	15
197	некоторых случаях	2	15
198	и тем	5	15
199	он в	1	15
200	друг друга	6	15
201	в целом	3	15
202	с этой	3	14
203	от него	8	14
204	но мы	3	14
205	по отношению	15	14
206	находится в	2	14
207	можно было	1	14
208	и ее	1	14
209	на вопрос	3	14
210	у нас	3	14
211	образом мы	3	14
212	его на	3	14
213	должна быть	4	14
214	и есть	4	14
215	такое же	3	14
216	должен был	1	14
217	отношение к	1	14
218	отношению к	13	14
219	на себя	1	14
220	на ней	4	13
221	в своем	3	13
222	на котором	1	13
223	в животных	4	13
224	время как	2	13
225	по себе	24	13
226	то время	3	13
227	тогда как	10	13
228	и для	8	13
229	эти представления	2	13
230	в себе	22	13
231	в таких	2	13
232	все что	5	13
233	и у	3	13
234	на этом	3	13
235	в нее	4	13
236	и от	5	13
237	с ними	2	13
238	не имеет	9	13
239	его не	3	13
240	и если	6	13
241	же можно	1	13
242	что иное	2	13
243	таким же	3	13
244	во всем	5	12
245	хотя бы	4	12
246	к себе	1	12
247	а потом	1	12
248	ответ на	2	12
249	о нем	1	12
250	в их	3	12
251	к ней	3	12
252	к этой	3	12
253	как только	1	12
254	одним из	2	12
255	что не	15	12
256	между прочим	5	12
257	за ним	2	12
258	в более	4	12
259	не знаю	1	12
260	и их	6	12
261	только после	2	12
262	в этот	1	11
263	некоторое время	1	11
264	к которому	5	11
265	точки зрения	8	11
266	от этого	2	11
267	должны быть	11	11
268	главным образом	4	11
269	связанные с	3	11
270	никто не	3	11
271	иное как	2	11
272	только с	1	11
273	уже в	5	11
274	на нее	2	11
275	же в	7	11
276	по мере	10	11
277	если он	1	11
278	но уже	2	11
279	не что	2	11
280	хотя и	6	11
281	должно было	1	11
282	относится к	5	11
283	но оно	3	11
284	дает нам	2	11
285	на которой	1	11
286	и более	3	11
287	этого не	2	11
288	такой же	4	11
289	человека в	3	11
290	далеко не	4	11
291	он видит	2	10
292	не как	4	10
293	на земле	1	10
294	к ним	3	10
295	от них	2	10
296	но так	1	10
297	не было	7	10
298	в которой	5	10
299	и тот	1	10
300	его к	3	10
301	вслед за	2	10
302	связанных с	1	10
303	что же	3	10
304	но если	4	10
305	ее на	1	10
306	пока не	1	10
307	связаны с	1	10
308	и других	6	10
309	то не	5	10
310	их не	2	10
311	там же	9	10
312	начинается с	1	10
313	не должен	1	10
314	в различных	1	10
315	не мог	3	10
316	себя в	1	10
317	в состоянии	5	10
318	в ее	2	10
319	эта форма	1	10
320	но как	4	10
321	известно что	3	10
322	ни в	2	10
323	если не	5	10
324	не знаем	2	10
325	он может	2	10
326	а на	2	10
327	к заключению	1	10
