N	2gram	Tiupa_Disk	BTomashe
1	все это	2	2
2	литературных произведений	1	2
3	в ней	2	2
4	не то	2	2
5	и не	25	2
6	видеть в	1	2
7	следовало бы	1	1
8	вопрос о	2	1
9	в трактовке	1	1
10	говорить о	3	1
11	словесного творчества	1	1
12	и о	4	1
13	определение жанра	1	1
14	из имеющихся	1	1
15	о них	2	1
16	было и	1	1
17	и нет	1	1
18	литературы как	1	1
19	не только	36	1
20	пожалуй и	1	1
21	а о	2	1
22	всего в	2	1
23	таким образом	4	1
24	не было	9	1
25	в эпоху	5	1
26	прежде всего	17	1
27	и в	27	1
28	на самом	1	1
29	так и	14	1
30	в своей	10	1
31	во всяком	3	1
32	и потому	3	1
33	и во	2	1
34	за пределы	2	1
35	по крайней	3	1
36	с другой	14	1
37	об этом	3	1
38	художественного произведения	1	1
39	как будто	3	1
40	точке зрения	2	1
41	этой книги	1	1
42	не о	2	1
43	другой стороны	5	1
44	крайней мере	3	1
45	всяком случае	2	1
46	было бы	1	1
47	установка на	1	1
48	стоит на	1	1
49	не следует	4	1
50	и ее	5	1
51	исторической поэтике	1	1
52	одной из	4	1
53	в значительной	3	1
54	в пределах	4	1
55	в данном	9	1
56	должна быть	2	1
57	необходимо отметить	1	1
58	в области	3	1
59	далеко не	10	1
60	тем более	1	1
61	говорить не	1	1
62	не вполне	1	1
63	теорию литературы	1	1
64	и более	1	1
65	не все	1	1
66	нельзя не	2	1
67	никак не	1	1
68	в книге	2	1
69	значительной степени	3	1
70	его не	1	1
71	будто бы	3	1
72	также не	1	1
73	а не	35	1
74	отнюдь не	11	1
75	до конца	2	1
76	и на	8	1
77	выходит за	1	1
78	между ними	1	1
79	еще не	20	1
80	все же	8	1
81	что в	8	1
