N	2gram	Bakhtin_sl	Problema
1	и в	69	182
2	то есть	46	165
3	и не	32	152
4	вовсе не	16	145
5	то что	2	144
6	не есть	2	113
7	не только	37	104
8	потому что	2	89
9	в этом	21	88
10	может быть	40	82
11	в том	7	81
12	том что	6	81
13	не просто	2	80
14	только в	9	73
15	сказать что	4	72
16	но и	37	70
17	в виде	4	69
18	у нас	2	68
19	также и	5	68
20	и даже	11	66
21	по себе	4	64
22	даже и	4	63
23	не менее	4	58
24	о том	5	57
25	тем не	2	56
26	а не	29	56
27	так и	22	56
28	но в	13	55
29	так что	2	52
30	ни в	4	51
31	для нас	7	50
32	в себе	3	48
33	отнюдь не	1	48
34	и вообще	2	48
35	смысле слова	2	47
36	было бы	3	46
37	прежде всего	14	45
38	в своей	8	45
39	что в	3	44
40	в его	19	44
41	не в	14	43
42	все эти	15	43
43	то же	17	42
44	в символе	1	42
45	а именно	2	42
46	как раз	3	42
47	таким образом	16	42
48	если мы	2	42
49	и что	2	40
50	и то	2	40
51	что он	2	40
52	так как	7	40
53	что мы	1	40
54	во всяком	9	39
55	не может	27	39
56	такого рода	2	39
57	и тем	3	39
58	в этой	1	39
59	как бы	16	39
60	той или	13	38
61	в данном	5	38
62	хотя бы	6	37
63	в нем	44	37
64	того что	4	37
65	точки зрения	24	36
66	еще не	9	36
67	и все	9	36
68	и т	56	35
69	в виду	2	34
70	уже не	5	34
71	и с	10	34
72	как и	8	34
73	в таком	5	33
74	не является	3	33
75	т д	7	33
76	или иной	13	33
77	здесь не	6	32
78	в то	17	32
79	но не	7	32
80	так же	2	31
81	в своем	9	31
82	связи с	4	31
83	что такое	1	31
84	в конце	1	31
85	но это	3	31
86	все это	14	31
87	и для	7	30
88	с другой	8	30
89	в связи	2	29
90	все же	10	29
91	можно сказать	2	29
92	перед нами	7	29
93	художественный образ	3	29
94	как мы	15	29
95	об этом	1	29
96	данном случае	3	28
97	мы не	4	28
98	а в	10	28
99	есть только	1	28
100	и о	3	28
101	и это	1	27
102	и как	3	27
103	хотя и	4	27
104	ничего не	5	27
105	в результате	4	26
106	другой стороны	5	26
107	крайней мере	1	26
108	да и	2	26
109	вместе с	3	26
110	по крайней	1	26
111	это не	8	26
112	и его	45	26
113	мы можем	1	25
114	и на	17	25
115	с точки	11	25
116	всяком случае	7	25
117	на самом	2	24
118	тем более	1	24
119	в нашем	1	24
120	по своему	2	23
121	только и	3	23
122	на то	2	23
123	при этом	12	23
124	в качестве	4	23
125	и притом	1	23
126	а только	1	23
127	то и	1	23
128	есть не	2	23
129	и к	9	22
130	вещи и	1	22
131	только на	3	22
132	никогда не	9	22
133	всех этих	8	22
134	нет ничего	1	22
135	есть в	1	22
136	его в	7	22
137	и от	5	22
138	и есть	2	22
139	и если	1	22
140	что и	2	22
141	в самом	6	21
142	сама по	2	21
143	что всякий	1	21
144	и ее	3	21
145	говорить о	2	21
146	а также	5	21
147	и без	1	21
148	и только	2	21
149	именно в	5	20
150	для того	2	20
151	но как	2	20
152	можно было	2	20
153	и потому	9	20
154	о чем	1	20
155	тем что	1	20
156	несмотря на	2	20
157	как о	2	20
158	или в	10	20
159	кроме того	6	19
160	в них	11	19
161	с ним	12	19
162	в каком	1	19
163	но если	1	19
164	того или	2	19
165	уже в	2	19
166	то в	2	19
167	в отношении	9	19
168	но только	1	19
169	он не	5	19
170	если бы	1	19
171	как в	18	19
172	жизни и	5	19
173	в этих	8	18
174	того же	7	18
175	не было	4	18
176	символа в	2	18
177	и ни	1	18
178	мы и	2	18
179	в ее	2	18
180	того чтобы	1	18
181	в ней	7	18
182	без всякого	2	17
183	что они	2	17
184	во всех	25	17
185	но уже	2	17
186	и здесь	5	17
187	гораздо более	1	17
188	есть именно	1	17
189	мы уже	4	17
190	совсем не	1	17
191	ни о	2	17
192	в языке	7	17
193	это и	1	17
194	совершенно не	2	17
195	тех или	1	17
196	что она	1	16
197	как это	3	16
198	он и	1	16
199	художественного произведения	1	16
200	же в	2	16
201	для этого	4	16
202	но все	2	16
203	в одно	2	16
204	к тому	3	16
205	но даже	1	16
206	случае не	2	16
207	далеко не	7	16
208	и сам	4	15
209	с этим	5	15
210	в чем	2	15
211	в той	13	15
212	у него	5	15
213	что не	1	15
214	и более	3	15
215	здесь в	6	15
216	в частности	3	15
217	людей и	2	14
218	что все	2	14
219	с другими	8	14
220	сих пор	4	14
221	только о	2	14
222	этом случае	4	14
223	а это	1	14
224	все равно	1	14
225	в котором	2	14
226	говорит о	1	14
227	нас в	3	14
228	до сих	4	14
229	то ни	1	14
230	за пределы	6	14
231	нет никакой	2	14
232	же и	4	13
233	и символ	1	13
234	из них	3	13
235	тому что	2	13
236	действительности и	1	13
237	из этого	3	13
238	сами по	1	13
239	бы и	6	13
240	мы имеем	1	13
241	в их	6	13
242	всегда есть	1	13
243	или даже	5	13
244	здесь только	1	13
245	в области	1	13
246	в других	4	13
247	или иного	2	13
248	те или	4	13
249	дело в	2	13
250	при условии	1	12
251	в другом	4	12
252	он сам	1	12
253	с одной	7	12
254	в которой	4	12
255	время как	2	12
256	в самой	1	12
257	для них	2	12
258	так или	1	12
259	то время	2	12
260	на первый	1	12
261	в литературе	1	12
262	в начале	1	12
263	символ не	1	12
264	в смысле	7	12
265	но именно	5	12
266	или иначе	2	12
267	нисколько не	3	12
268	в целом	3	12
269	или иных	1	11
270	здесь перед	1	11
271	бы то	1	11
272	художественным образом	1	11
273	о которых	2	11
274	и следовательно	8	11
275	могли бы	2	11
276	жизни в	2	11
277	и литературы	1	11
278	тот же	1	11
279	в таких	1	11
280	одной стороны	7	11
281	никак нельзя	1	11
282	у пушкина	1	11
283	к нему	7	11
284	только не	2	11
285	не о	1	11
286	что его	1	11
287	не могут	7	11
288	и у	2	11
289	мы говорим	1	11
290	заключается в	1	11
291	в истории	6	11
292	и во	3	11
293	вообще не	4	11
294	и их	6	11
295	более или	5	10
296	на том	2	10
297	но он	4	10
298	что для	1	10
299	один из	9	10
300	от нас	2	10
301	со всеми	3	10
302	бы не	1	10
303	то или	1	10
304	что оно	4	10
305	в одном	4	10
306	и которые	2	10
307	отличается от	3	10
308	все время	4	10
309	мы читаем	1	10
310	быть только	3	10
311	он в	6	10
312	однако в	3	10
313	состоит из	1	10
314	не имеют	1	10
315	ни с	1	10
316	или менее	5	10
317	быть и	6	10
318	слова и	21	10
319	и другие	3	9
320	с собой	1	9
321	нет и	1	9
322	представить себе	1	9
323	здесь как	3	9
324	именно как	3	9
325	не нужно	1	9
326	не мешает	1	9
327	тогда когда	2	9
328	в которых	1	9
329	о котором	1	9
330	то он	1	9
331	того как	2	9
332	но эта	2	9
333	а его	2	9
334	она не	8	9
335	или как	4	9
336	которые в	4	9
337	языка и	18	9
338	в жизни	1	9
339	правда в	1	9
340	только для	1	9
341	то с	1	9
342	между прочим	1	9
343	на себе	2	9
344	бы в	1	9
345	не был	2	9
346	мы говорили	2	9
347	был бы	2	9
348	поэтому и	7	9
349	с ней	2	9
350	чем же	1	9
351	и до	2	9
352	в условиях	3	9
353	это было	2	9
354	жизнь и	1	9
355	и наконец	9	9
356	во всем	3	8
357	является в	1	8
358	с этой	3	8
359	и образ	2	8
360	он был	1	8
361	нас и	1	8
362	конечно не	7	8
363	во всей	1	8
364	что при	1	8
365	от этого	2	8
366	между собой	3	8
367	почти всегда	3	8
368	иметь в	1	8
369	и по	3	8
370	с ее	6	8
371	и самый	2	8
372	к сожалению	1	8
373	и при	2	8
374	к его	1	8
375	из этих	3	8
376	только с	3	8
377	м а	1	8
378	значение в	2	8
379	бы мы	1	8
380	на его	9	8
381	не все	2	8
382	еще в	1	8
383	для всех	2	8
384	которые не	1	8
385	самом же	1	8
386	как они	1	8
387	как только	4	8
388	и нет	3	8
389	входит в	8	8
390	и он	1	8
391	здесь нет	1	8
