N	4gram	Losev_Vlad	DiskursI
1	в то же время	7	8
2	дело в том что	7	5
3	в том что в	2	3
4	не говоря уже о	3	3
5	одно и то же	1	3
6	и не может быть	1	2
7	а в том что	1	2
8	одной и той же	1	2
9	и в то же	3	2
10	бы то ни было	1	2
11	то же время и	1	2
12	не что иное как	2	1
13	что же касается самого	2	1
14	не приходится удивляться что	1	1
15	но на этот раз	1	1
16	ни в чем не	1	1
17	нет и не может	1	1
18	ни к чему не	1	1
19	тем не менее об	1	1
20	чего бы то ни	1	1
21	том что он не	1	1
22	в том что он	2	1
23	мы имеем дело с	1	1
24	по себе не может	1	1
25	начала и до конца	2	1
26	не в том что	1	1
27	есть не что иное	1	1
