N	4gram	Berdyaev_M	Freidism
1	ни в чем не	2	4
2	не может быть и	1	4
3	одной и той же	2	3
4	может быть и речи	1	3
5	и не может быть	1	3
6	в том что он	1	2
7	и потому не может	1	1
8	для него не существует	1	1
9	одни и те же	1	1
10	и по отношению к	1	1
11	но для этого нужно	1	1
12	мы имеем в виду	1	1
13	не может быть непосредственно	1	1
14	нет и не было	1	1
15	до сих пор не	1	1
16	у него никогда не	1	1
17	не что иное как	4	1
18	есть не что иное	3	1
19	природной и социальной среды	1	1
20	а может быть и	1	1
