N	2gram	Tiupa_Teor	SlovoVZh
1	не может	8	16
2	может быть	22	14
3	точки зрения	11	14
4	как бы	8	13
5	и его	11	13
6	таким образом	3	12
7	и в	24	12
8	отношению к	10	11
9	по отношению	10	11
10	в нашем	4	11
11	и не	17	10
12	так как	1	9
13	если бы	3	9
14	прежде всего	3	8
15	для нас	1	7
16	сказать что	4	7
17	художественного произведения	5	7
18	нашем примере	1	7
19	слова и	1	6
20	с помощью	1	6
21	в том	20	6
22	только в	9	6
23	в нем	7	6
24	при этом	20	6
25	к содержанию	3	6
26	и др	3	5
27	можно сказать	5	5
28	героя и	6	5
29	то же	12	5
30	художественной формы	1	5
31	к предмету	1	5
32	а не	14	5
33	в виду	5	5
34	то что	6	5
35	в жизни	3	5
36	как и	6	5
37	как в	5	5
38	отнюдь не	3	5
39	том что	11	5
40	но в	12	5
41	никогда не	4	5
42	в самом	7	4
43	и к	3	4
44	к автору	1	4
45	высказывания как	2	4
46	в литературе	4	4
47	и на	2	4
48	материала и	1	4
49	не только	24	4
50	ни было	2	4
51	и является	2	4
52	за пределы	2	4
53	его в	4	4
54	с другой	9	4
55	не в	9	4
56	дело в	2	4
57	отношение к	7	4
58	что не	1	4
59	так и	14	4
60	уже не	6	4
61	жизни и	1	4
62	в этом	12	4
63	все же	1	4
64	зависимости от	1	4
65	к нему	2	4
66	бы то	2	3
67	как к	5	3
68	к герою	2	3
69	и более	1	3
70	в котором	1	3
71	с героем	1	3
72	автору и	1	3
73	и по	3	3
74	в поэзии	2	3
75	и пр	1	3
76	то ни	2	3
77	между тем	5	3
78	для него	5	3
79	отношении к	4	3
80	с ним	1	3
81	того что	5	3
82	быть и	2	3
83	тем не	3	3
84	имеет в	2	3
85	все это	2	3
86	он должен	3	3
87	ни в	5	3
88	с автором	1	3
89	в пределах	5	3
90	сколько бы	1	3
91	по себе	2	3
92	так же	2	3
93	в них	2	3
94	в каком	2	3
95	этой точки	2	3
96	самом деле	2	3
97	только на	2	3
98	в себе	14	3
99	слово в	1	3
100	художественном произведении	1	3
101	все эти	3	3
102	о том	2	3
103	в своей	8	3
104	здесь не	2	3
105	не менее	6	3
106	из этого	1	3
107	в художественном	5	3
108	художественного творчества	5	3
109	в такой	1	3
110	нуждается в	1	3
111	да и	1	3
112	но и	14	3
113	и для	3	3
114	точек зрения	1	3
115	художественное произведение	3	3
116	и ее	4	3
117	внутренней речи	13	3
118	еще не	6	3
119	в особенности	1	2
120	что в	10	2
121	этих двух	2	2
122	все они	1	2
123	истории литературы	2	2
124	слова так	1	2
125	не так	1	2
126	и потому	3	2
127	действия и	1	2
128	в строгой	1	2
129	и другие	2	2
130	высказывание как	1	2
131	и то	3	2
132	ясность и	1	2
133	опираясь на	1	2
134	в данном	9	2
135	в душе	9	2
136	произведение и	1	2
137	в то	9	2
138	сливается с	1	2
139	разрыв между	1	2
140	данном случае	5	2
141	в момент	3	2
142	в событии	1	2
143	высказывания с	1	2
144	со всех	1	2
145	зависит от	1	2
146	с одной	3	2
147	совпадает с	4	2
148	высказывания и	2	2
149	в его	12	2
150	с этой	3	2
151	она не	1	2
152	это не	4	2
153	одной стороны	3	2
154	автора и	2	2
155	как уже	2	2
156	дело с	1	2
157	с точки	3	2
158	мы имеем	7	2
159	и дает	1	2
160	была бы	3	2
161	искусства и	3	2
162	тем как	1	2
163	в себя	5	2
164	автором и	2	2
165	от всех	2	2
166	в формах	2	2
167	и слово	1	2
168	как это	10	2
169	те же	1	2
170	форму в	1	2
171	жизненной ситуации	1	2
172	мы в	2	2
173	одно и	2	2
174	и что	4	2
175	общения не	1	2
176	что и	2	2
177	в отношении	4	2
178	в форме	4	2
179	же самое	1	2
180	о ком	1	2
181	на примере	1	2
182	другой стороны	6	2
183	и вполне	1	2
184	и те	1	2
185	в этих	4	2
186	тому же	1	2
187	оно не	2	2
188	и притом	3	2
189	форма в	1	2
190	на это	1	2
191	имеем в	3	2
192	эта возможность	1	2
193	для других	1	2
194	к ним	1	2
195	и здесь	2	2
196	выбор слова	1	2
197	в комнате	1	2
198	но не	13	2
199	общего с	1	2
200	его как	1	2
201	не есть	1	2
202	могут быть	5	2
203	и оценки	1	2
204	значения и	2	2
205	героев и	1	2
206	с другими	6	2
207	до конца	1	2
208	не остается	1	2
209	стороны и	1	2
210	в своем	7	2
211	за его	1	2
212	в какой	2	2
213	имеет место	3	2
214	вместе с	2	2
215	между ними	6	2
216	место в	7	2
217	в зависимости	1	2
218	к его	3	2
219	настоящее время	1	2
220	слушателем в	1	2
221	оценки и	1	2
222	до известной	2	2
223	со словом	1	2
224	с его	6	2
225	они ни	1	2
226	себя и	2	2
227	известной степени	3	2
228	бы не	1	2
229	подчеркнуть что	1	2
230	между собой	3	2
231	он не	5	2
232	в условиях	1	2
233	независимо от	1	2
234	жизни если	1	2
235	в чем	2	2
236	в настоящее	1	2
237	делает его	2	2
238	и совершенно	1	2
239	частной жизни	2	2
240	едва ли	1	2
241	жизнью и	1	2
242	возможна только	1	2
243	более того	1	2
244	или иным	4	1
245	природу художественной	1	1
246	и мир	1	1
247	ситуации и	1	1
248	в русской	6	1
249	на которую	1	1
250	художественного восприятия	4	1
251	к одному	2	1
252	это на	1	1
253	остается в	1	1
254	жизнь и	1	1
255	именно эту	1	1
256	не ту	1	1
257	то в	2	1
258	можно в	1	1
259	одним и	1	1
260	нам не	1	1
261	от него	1	1
262	это и	2	1
263	что они	2	1
264	этом особенно	1	1
265	и такой	1	1
266	является в	1	1
267	в искусстве	9	1
268	во всех	3	1
269	фразы в	1	1
270	не является	5	1
271	и политического	2	1
272	а с	3	1
273	лингвистической точки	1	1
274	поэтому не	1	1
275	только к	1	1
276	коем случае	2	1
277	слушателю отводится	1	1
278	это делает	2	1
279	по преимуществу	5	1
280	виду не	3	1
281	общения в	1	1
282	особую притом	1	1
283	и автора	3	1
284	автора по	1	1
285	основе своей	2	1
286	на этом	2	1
287	двустороннюю позицию	1	1
288	внехудожественной действительности	1	1
289	в коем	2	1
290	является таким	1	1
291	то есть	22	1
292	но из	1	1
293	притом двустороннюю	1	1
294	до минимума	1	1
295	языка в	4	1
296	стиля в	1	1
297	материала в	2	1
298	художественного высказывания	3	1
299	в лучшем	1	1
