N	2gram	Voloshinov	KFilosof
1	может быть	8	45
2	в его	7	42
3	в нем	2	32
4	не может	8	29
5	и не	8	28
6	и в	13	28
7	по отношению	3	26
8	отношению к	3	22
9	в себе	3	21
10	только в	6	18
11	и его	12	18
12	в своем	1	17
13	в ее	3	17
14	а не	2	17
15	в этом	2	15
16	для него	2	13
17	не в	3	13
18	точки зрения	7	13
19	к нему	1	12
20	но не	1	12
21	и это	1	12
22	в своей	4	11
23	все эти	2	11
24	все это	4	10
25	в едином	1	10
26	с точки	5	10
27	и есть	1	10
28	и для	3	10
29	в целом	2	10
30	в их	3	9
31	и все	3	9
32	но и	3	9
33	как бы	6	9
34	не было	1	8
35	если бы	2	8
36	в мире	1	8
37	было бы	4	8
38	лишь в	4	8
39	в себя	1	8
40	во всем	2	7
41	и здесь	1	7
42	этот момент	1	7
43	вовсе не	2	7
44	то что	6	7
45	конечно не	1	7
46	на основе	1	7
47	для себя	2	7
48	отнюдь не	1	7
49	ее и	1	6
50	должно быть	1	6
51	менее всего	1	6
52	в действительном	1	6
53	в теоретических	1	6
54	не имеет	2	6
55	в том	2	6
56	и их	7	6
57	отношение к	1	6
58	жизнь как	1	6
59	но это	1	6
60	то же	4	5
61	мы имеем	1	5
62	не только	6	5
63	его в	1	5
64	не знает	1	5
65	в основе	1	5
66	но в	4	5
67	бы быть	1	5
68	но ведь	5	5
69	как и	3	5
70	все же	5	5
71	себя и	1	5
72	еще не	1	5
73	хотя бы	5	5
74	в одном	3	5
75	ни одно	2	5
76	а в	2	5
77	в контексте	1	5
78	там где	2	5
79	никогда не	3	5
80	что в	3	4
81	при этом	2	4
82	не как	3	4
83	прежде всего	9	4
84	в своих	2	4
85	единая и	1	4
86	с ними	2	4
87	в действительной	1	4
88	том что	2	4
89	в чем	2	4
90	входит в	2	4
91	во всей	2	4
92	между тем	2	4
93	здесь мы	3	4
94	и т.д	5	4
95	из него	1	4
96	от него	1	3
97	и может	2	3
98	слово не	1	3
99	здесь нет	1	3
100	на язык	2	3
101	и пр	7	3
102	мы не	4	3
103	для которой	1	3
104	и этот	2	3
105	сознания и	2	3
106	на самом	1	3
107	в виду	1	3
108	и тот	1	3
109	самом деле	3	3
110	тем что	2	3
111	но для	3	3
112	людей и	1	3
113	не менее	2	3
114	один и	1	3
115	лишь как	1	3
116	в каждом	4	3
117	это и	1	3
118	того или	2	3
119	отсюда и	1	3
120	не могу	1	3
121	когда я	1	3
122	не должно	1	3
123	в другом	2	3
124	для того	1	3
125	и должна	1	3
126	в ней	2	3
127	ее жизни	1	3
128	быть и	1	3
129	не имеем	1	3
130	вступает в	1	3
131	человека и	1	3
132	а лишь	1	3
133	мы здесь	1	3
134	нет и	1	3
135	только с	1	3
136	могут быть	2	3
137	до конца	1	3
138	тем как	1	3
139	в то	1	3
140	или иного	2	3
141	тот же	2	3
142	и тем	2	3
143	как к	1	2
144	события и	1	2
145	и развивается	1	2
146	один из	1	2
147	ему в	1	2
148	конечно в	2	2
149	тому что	1	2
150	есть его	1	2
151	тем не	1	2
152	так и	3	2
153	и то	3	2
154	своей истории	1	2
155	мышление и	1	2
156	сводится к	1	2
157	по себе	1	2
158	в виде	1	2
159	со всеми	1	2
160	этим путем	1	2
161	если не	1	2
162	ни одна	1	2
163	и ценностная	1	2
164	из нее	1	2
165	сознания не	1	2
166	в сознании	4	2
167	пространство и	1	2
168	подхода к	1	2
169	должен сказать	1	2
170	и эта	5	2
171	возможности в	1	2
172	в процессе	5	2
173	его на	2	2
174	и как	1	2
175	лишь с	1	2
176	что он	1	2
177	и именно	1	2
178	в определенной	1	2
179	себя как	1	2
180	как в	2	2
181	на первом	1	2
182	где она	1	2
183	от этого	2	2
184	под ним	1	2
185	вследствие этого	1	2
186	ничего общего	3	2
187	или как	1	2
188	этого слова	1	2
189	поскольку она	1	2
190	к этому	1	2
191	его и	1	2
192	может иметь	2	2
193	в данном	2	2
194	и других	1	2
195	вопрос о	1	2
196	которой он	1	2
197	оторванные от	1	2
198	потому что	1	2
199	того чтобы	1	2
200	совсем не	1	2
201	быть не	1	2
202	другое дело	1	2
203	общего не	1	2
204	кажется что	2	2
205	на нем	1	2
206	говорить о	3	2
207	содержания и	1	2
208	что эта	2	2
209	для этого	1	2
210	мы получим	2	2
211	не из	1	2
212	всей своей	2	2
213	же время	1	2
214	думать что	2	2
215	или иное	1	2
216	в этой	1	2
217	он и	1	2
218	соответствии с	2	2
219	включает в	1	2
220	с его	1	2
221	в области	2	2
222	его к	1	2
223	а как	2	2
224	с ее	1	2
225	то или	1	2
226	и ее	2	2
227	едва ли	1	2
228	познания в	1	2
229	вся эта	1	2
230	себе а	1	2
231	в оценке	1	1
232	данной области	1	1
233	всего в	1	1
234	в самом	2	1
235	не дано	1	1
236	и к	2	1
237	момент как	1	1
238	и оба	1	1
239	как это	1	1
240	только путем	3	1
241	мы видим	2	1
242	и он	1	1
243	можно говорить	1	1
244	едином акте	1	1
245	что язык	1	1
246	так как	3	1
247	одном случае	1	1
248	в последнем	1	1
249	только что	1	1
250	эта интонация	2	1
251	переходит в	1	1
252	за исключением	1	1
253	на том	1	1
254	мог бы	2	1
255	смысле слова	2	1
256	всей полноте	1	1
257	учитывает и	1	1
258	и должно	2	1
259	момента в	1	1
260	несмотря на	2	1
261	что мир	1	1
262	обоснование в	1	1
263	которых он	1	1
264	и наконец	5	1
265	художественного творчества	1	1
266	может возникнуть	1	1
267	особенно часто	1	1
268	и связанных	1	1
269	в напряженном	1	1
270	творчества но	1	1
271	мы оказались	1	1
272	ее в	2	1
273	находятся в	1	1
274	и через	1	1
275	одно из	1	1
276	в отношении	2	1
277	это слово	1	1
278	же не	1	1
279	или иную	1	1
280	в определении	1	1
281	нет никакого	1	1
282	бы что	1	1
283	и всякого	1	1
284	функции в	1	1
