N	2gram	Tiupa_Lite	Problema
1	и в	26	182
2	то есть	11	165
3	и не	19	152
4	вовсе не	3	145
5	то что	14	144
6	не есть	2	113
7	не только	29	104
8	потому что	5	89
9	в этом	19	88
10	может быть	24	82
11	в том	22	81
12	том что	19	81
13	не просто	2	80
14	только в	8	73
15	сказать что	1	72
16	но и	25	70
17	в виде	1	69
18	у нас	5	68
19	также и	3	68
20	и даже	9	66
21	даже и	2	63
22	не менее	11	58
23	о том	3	57
24	тем не	4	56
25	а не	28	56
26	так и	7	56
27	но в	5	55
28	так что	4	52
29	для нас	3	50
30	в себе	8	48
31	отнюдь не	4	48
32	было бы	4	46
33	прежде всего	14	45
34	в своей	5	45
35	что в	7	44
36	в его	9	44
37	не в	11	43
38	все эти	2	43
39	то же	13	42
40	а именно	1	42
41	как раз	6	42
42	таким образом	4	42
43	если мы	1	42
44	и что	2	40
45	и то	3	40
46	что он	8	40
47	так как	2	40
48	во всяком	3	39
49	не может	10	39
50	такого рода	18	39
51	и тем	4	39
52	в этой	7	39
53	как бы	8	39
54	той или	1	38
55	в данном	7	38
56	в стихотворении	17	38
57	хотя бы	3	37
58	никак не	2	37
59	в нем	4	37
60	того что	7	37
61	точки зрения	8	36
62	есть нечто	1	36
63	еще не	4	36
64	и все	1	36
65	и т	2	35
66	в виду	4	34
67	уже не	9	34
68	и с	4	34
69	как и	13	34
70	в таком	1	33
71	не является	3	33
72	или иной	3	33
73	здесь не	1	32
74	в то	12	32
75	но не	8	32
76	едва ли	5	32
77	так же	1	31
78	в своем	12	31
79	связи с	7	31
80	что такое	2	31
81	в конце	6	31
82	но это	2	31
83	и для	1	30
84	с другой	11	30
85	в связи	4	29
86	все же	6	29
87	можно сказать	1	29
88	перед нами	1	29
89	как мы	2	29
90	что же	1	28
91	данном случае	6	28
92	мы не	5	28
93	а в	5	28
94	и о	1	28
95	и как	2	27
96	ничего общего	2	27
97	ничего не	3	27
98	в результате	2	26
99	другой стороны	5	26
100	крайней мере	2	26
101	да и	3	26
102	как будто	2	26
103	вместе с	5	26
104	по крайней	2	26
105	еще и	3	26
106	это не	4	26
107	и его	7	26
108	мы можем	1	25
109	и на	5	25
110	тем самым	8	25
111	с точки	4	25
112	всяком случае	2	25
113	с тем	2	24
114	на самом	1	24
115	тем более	2	24
116	в нашем	2	24
117	и вполне	3	24
118	не имеет	2	24
119	только и	1	23
120	на то	2	23
121	вяч иванова	1	23
122	при этом	23	23
123	тут же	1	23
124	в качестве	21	23
125	конце концов	1	23
126	а только	2	23
