N	2gram	Bakhtin_fo	Sovremen
1	не может	8	17
2	может быть	18	12
3	точки зрения	14	12
4	таким образом	14	11
5	мы не	4	9
6	в каждом	2	8
7	в этом	41	7
8	и в	84	7
9	не можем	1	7
10	мы можем	2	6
11	в результате	6	6
12	как и	15	6
13	ничего не	9	6
14	и не	19	6
15	с точки	9	5
16	в стадии	1	5
17	прежде всего	28	5
18	все эти	12	5
19	в условиях	8	5
20	и наконец	6	5
21	в дальнейшем	10	4
22	а в	6	4
23	так как	12	4
24	вопрос о	2	4
25	это не	8	4
26	не только	16	4
27	мы должны	2	4
28	с помощью	5	4
29	как бы	11	4
30	нет и	4	4
31	если мы	2	4
32	в зависимости	1	4
33	их в	6	4
34	жизни и	12	4
35	вместе с	9	4
36	в целом	2	4
37	же это	1	4
38	в том	16	4
39	зависимости от	1	4
40	из них	8	4
41	точку зрения	3	4
42	мы видели	2	4
43	и к	4	3
44	и потому	4	3
45	на этой	4	3
46	этим мы	2	3
47	с самого	3	3
48	когда мы	2	3
49	уже в	5	3
50	то же	18	3
51	при этом	8	3
52	с необходимостью	2	3
53	не в	10	3
54	а не	7	3
55	в системе	1	3
56	для нас	2	3
57	все это	10	3
58	как он	4	3
59	в одном	10	3
60	у нас	2	3
61	а все	1	3
62	самого начала	3	3
63	в конце	11	3
64	ведь это	2	3
65	и т.д	2	3
66	было бы	2	3
67	у всех	1	3
68	в этой	3	3
69	и все	10	3
70	его развития	1	3
71	в себе	7	3
72	следующим образом	1	3
73	ясно что	2	3
74	не подлежит	1	3
75	он может	1	3
76	одна из	3	3
77	состоит из	1	3
78	все же	12	3
79	в области	1	3
80	может не	1	3
81	отличается от	1	3
82	между собой	5	3
83	отнюдь не	7	3
84	в нем	28	3
85	но мы	1	3
86	но в	16	3
87	еще не	8	3
88	с этим	11	2
89	что в	9	2
90	этих двух	1	2
91	в самом	9	2
92	совершенно не	3	2
93	мы видим	4	2
94	значение в	5	2
95	каждая из	1	2
96	и что	1	2
97	для развития	1	2
98	и пространства	4	2
99	отличие от	3	2
100	такие же	1	2
101	друг с	5	2
102	которой он	3	2
103	ее на	1	2
104	и пр	2	2
105	то и	1	2
106	с одной	5	2
107	в отличие	3	2
108	в свою	2	2
109	из этих	5	2
110	в его	19	2
111	во всяком	5	2
112	еще более	7	2
113	можно назвать	2	2
114	с совершенно	1	2
115	что это	1	2
116	быть и	4	2
117	в некоторых	4	2
118	из которых	1	2
119	только один	2	2
120	может иметь	1	2
121	говорить о	1	2
122	на его	1	2
123	конечно в	1	2
124	у него	8	2
125	для его	1	2
126	не могут	4	2
127	в виде	1	2
128	со всеми	4	2
129	а на	1	2
130	свою очередь	1	2
131	и даже	5	2
132	говорим о	1	2
133	самом деле	2	2
134	в которой	3	2
135	но все	6	2
136	необходимо отметить	3	2
137	же самое	2	2
138	тот или	1	2
139	как мы	19	2
140	она может	1	2
141	скажем в	1	2
142	тем же	3	2
143	и во	13	2
144	той же	2	2
145	о жизни	1	2
146	могут быть	7	2
147	в таком	4	2
148	в нашем	3	2
149	уже не	5	2
150	и есть	3	2
151	и они	4	2
152	что все	4	2
153	или иной	4	2
154	на этот	1	2
155	такой же	1	2
156	на этом	2	2
157	но очень	2	2
158	роль в	12	2
159	так сказать	14	2
160	же мы	1	2
161	приводит к	1	2
162	и по	5	2
163	времени и	10	2
164	на котором	2	2
165	форма в	3	2
166	с другом	5	2
167	из одного	1	2
168	в настоящее	1	2
169	в один	2	2
170	тот же	4	2
171	всяком случае	1	2
172	он должен	2	2
173	жизни но	7	1
174	во всех	13	1
175	можно наблюдать	1	1
176	существу не	3	1
177	все они	4	1
178	остановимся здесь	1	1
179	лишь там	1	1
180	целостность и	1	1
181	которые в	2	1
182	рядом и	1	1
183	с двух	1	1
184	и конкретную	1	1
185	этого и	1	1
186	что один	1	1
187	в социальном	1	1
188	и гармонии	1	1
189	именно к	1	1
190	это и	1	1
191	его и	2	1
192	этом случае	1	1
193	и составляет	1	1
194	образом все	1	1
195	во втором	2	1
196	то он	1	1
197	человека в	22	1
198	но как	1	1
199	и снова	1	1
200	и живой	1	1
201	то они	2	1
202	всего необходимо	4	1
203	не является	4	1
204	из многих	1	1
205	в данном	4	1
206	до сих	4	1
207	только к	3	1
208	все его	7	1
209	и внутренний	1	1
210	принадлежит только	1	1
211	и более	3	1
212	та же	4	1
213	имеют место	1	1
214	по преимуществу	4	1
215	зрения может	1	1
216	опирается на	2	1
217	всеми ее	1	1
218	переносились в	1	1
219	от его	1	1
220	в процессе	4	1
221	данном случае	2	1
222	ведь в	1	1
223	в очень	1	1
224	же был	1	1
225	не имеют	4	1
226	связи с	14	1
227	например у	4	1
228	здесь нет	3	1
229	раз и	3	1
230	в самый	1	1
231	этот процесс	5	1
232	если в	1	1
233	очень часто	1	1
234	при каждой	1	1
235	указать на	2	1
236	должно быть	6	1
237	мы уже	17	1
238	ряд оказывается	1	1
239	это как	1	1
240	такую же	1	1
241	общего и	1	1
242	человек и	2	1
243	бы принципиально	1	1
244	в первый	1	1
245	значение но	2	1
246	его с	2	1
247	идет о	2	1
248	она не	2	1
249	этом ее	1	1
250	жизнь по	1	1
251	в течение	2	1
252	на ее	1	1
253	ровно ничего	1	1
254	ряд в	3	1
255	стадии развития	2	1
256	xvii век	1	1
257	что уже	1	1
258	одной стороны	3	1
259	и ни	1	1
260	на другой	2	1
261	это то	2	1
262	на друга	4	1
263	одна и	2	1
264	но такая	1	1
265	мы имеем	2	1
266	и у	8	1
267	для наших	1	1
268	и речи	6	1
269	в другом	2	1
270	совсем не	4	1
271	был введен	1	1
272	несмотря на	1	1
273	том как	2	1
274	конец так	1	1
275	не быть	3	1
276	в ней	4	1
277	из всех	1	1
278	на ней	1	1
279	друг на	4	1
280	уже к	1	1
281	на второй	1	1
282	больших и	2	1
283	мира но	1	1
284	самому своему	2	1
285	человека как	1	1
286	это значит	3	1
287	хотя и	5	1
288	человек с	2	1
289	с другой	4	1
290	обычно на	1	1
291	и тогда	1	1
292	а это	1	1
293	в этот	5	1
294	подчеркнуть что	1	1
295	с ним	5	1
296	это уже	1	1
297	и органов	1	1
298	связей и	1	1
299	он не	6	1
300	кроме того	7	1
301	себя самого	1	1
302	и т.п	6	1
303	громадную роль	2	1
304	те же	5	1
