N	2gram	Tiupa_Hudo	Poddanst
1	не только	22	17
2	и в	34	14
3	и не	15	12
4	в области	1	11
5	в этом	22	10
6	в отношении	1	10
7	н а	2	10
8	в том	24	9
9	то же	14	9
10	в качестве	13	9
11	но в	6	9
12	хотя бы	2	8
13	в пределах	4	8
14	только в	8	7
15	же время	11	7
16	в то	12	7
17	в ней	6	6
18	xix века	1	6
19	быть может	7	6
20	было бы	8	6
21	но и	13	6
22	в смысле	1	6
23	может быть	12	5
24	отношении к	1	5
25	с другой	4	5
26	не в	16	5
27	и о	8	5
28	в которых	1	5
29	а я	1	5
30	в русской	4	4
31	и к	6	4
32	что в	8	4
33	в котором	5	4
34	гораздо большей	1	4
35	по себе	3	4
36	тех кто	2	4
37	и потому	3	4
38	но также	1	4
39	мы должны	1	4
40	на пути	1	4
41	не может	10	4
42	в гораздо	1	4
43	а в	11	4
44	то что	13	4
45	как бы	11	4
46	если бы	7	4
47	а также	4	4
48	первой половины	3	4
49	в своем	9	4
50	же в	3	4
51	том что	31	4
52	большей степени	1	4
53	наряду с	4	3
54	в себе	19	3
55	что мы	1	3
56	ей в	1	3
57	с одной	4	3
58	мы не	2	3
59	это не	12	3
60	одной стороны	4	3
61	для того	3	3
62	между тем	14	3
63	с точки	5	3
64	хотя и	3	3
65	т е	6	3
66	с тем	1	3
67	потому что	7	3
68	она есть	1	3
69	прежде всего	12	3
70	вслед за	3	3
71	сводится к	7	3
72	тем самым	2	3
73	сами по	1	3
74	заключается в	1	3
75	но не	7	3
76	могут быть	1	3
77	я и	7	3
78	и т	15	3
79	и как	1	3
80	с ними	3	3
81	столь же	6	3
82	в нем	5	3
83	и без	1	3
84	тот же	1	3
85	точки зрения	7	3
86	с этим	3	2
87	во всех	2	2
88	одних и	2	2
89	и это	7	2
90	и других	1	2
91	если в	4	2
92	более чем	2	2
93	и вот	1	2
94	время в	1	2
95	в значительной	3	2
96	том числе	1	2
97	не будем	1	2
98	церкви и	1	2
99	теперь в	1	2
100	еще более	1	2
101	по-видимому не	2	2
102	и весьма	1	2
103	в ее	16	2
104	и тем	2	2
105	того что	5	2
106	никак не	3	2
107	как раз	7	2
108	в частности	10	2
109	н с	1	2
110	в его	17	2
111	не о	3	2
112	а не	23	2
113	для нас	4	2
114	все это	2	2
115	в русскую	1	2
116	в которую	1	2
117	говорить о	4	2
118	в тот	3	2
119	для них	1	2
120	заключает в	2	2
121	может и	3	2
122	где в	2	2
123	стороны и	1	2
124	в виде	2	2
125	в них	3	2
126	не было	8	2
127	к чему	1	2
128	и с	10	2
129	в начале	3	2
130	как на	2	2
131	слова но	1	2
132	в общем	1	2
133	мысль о	2	2
134	в сфере	2	2
135	главным образом	1	2
136	именно в	9	2
137	должно быть	2	2
138	в жизни	9	2
139	отношения к	1	2
140	друг другу	1	2
141	взгляда на	2	2
142	есть нечто	1	2
143	в силу	2	2
144	одна из	4	2
145	между прочим	1	2
146	в мире	10	2
147	например в	3	2
148	не менее	9	2
149	в ряду	3	2
150	в выборе	1	2
151	где бы	1	2
152	не столько	4	2
153	отнюдь не	4	2
154	с с	4	2
155	л а	2	2
156	со стороны	6	2
157	да и	5	2
158	не нужно	3	2
159	культуры в	1	2
160	из них	5	2
161	человеческого счастья	1	2
162	тем более	1	2
163	есть в	1	2
164	в е	2	2
165	в xix	2	2
166	ранее в	1	1
167	что было	3	1
168	к сожалению	1	1
169	в ком	2	1
170	этих двух	2	1
171	были бы	1	1
172	представить себе	1	1
173	это от	1	1
174	говорится о	2	1
175	нет ничего	4	1
176	ли они	1	1
177	поскольку она	1	1
178	как к	4	1
179	русской культуре	1	1
180	от нее	2	1
181	во всяком	1	1
182	тем в	2	1
183	и тех	3	1
184	в творениях	2	1
185	ни к	2	1
186	был и	1	1
187	о личности	2	1
188	и теперь	1	1
189	и то	2	1
190	но как	3	1
191	выступает в	2	1
192	бы и	2	1
193	момент когда	3	1
194	на этой	1	1
195	а с	5	1
196	в данном	3	1
197	два разных	1	1
198	что от	1	1
199	с его	9	1
200	за то	1	1
201	что оно	1	1
202	ее по	2	1
203	его нет	1	1
204	в годы	1	1
205	и более	2	1
206	можно говорить	1	1
207	вместе с	2	1
208	и здесь	1	1
209	в жертву	1	1
210	ослабевает и	2	1
211	в иных	1	1
212	и на	6	1
213	как возможность	1	1
214	отличие от	1	1
215	в самом	7	1
216	вопрос о	2	1
217	не означает	2	1
218	значение если	1	1
219	они не	2	1
220	в восприятии	1	1
221	может не	1	1
222	ей предстоит	1	1
223	восходит к	1	1
224	на свои	2	1
225	в момент	1	1
226	это в	4	1
227	только что	4	1
228	и жизненной	1	1
229	поскольку они	1	1
230	такова же	1	1
231	купцы и	1	1
232	поднимаясь к	1	1
233	к этой	4	1
234	переходит в	1	1
235	как живую	1	1
236	с и	2	1
237	и глубины	1	1
238	и который	1	1
239	она не	6	1
240	уже в	2	1
241	человеческого бытия	5	1
242	при отсутствии	1	1
243	наших глазах	1	1
244	более или	1	1
245	степени чем	1	1
246	в творчестве	4	1
247	связана с	1	1
248	только как	1	1
249	не одной	1	1
250	единства в	1	1
251	того чтобы	6	1
252	мы знаем	4	1
253	живет в	2	1
254	не относятся	1	1
255	к сфере	1	1
256	на основе	2	1
257	и менее	1	1
258	и всегда	1	1
259	представляет собой	1	1
260	как известно	1	1
261	во многих	1	1
262	в определенном	1	1
263	что это	2	1
264	не более	3	1
265	в отношениях	1	1
266	ни на	2	1
267	за последние	1	1
268	философской мысли	1	1
269	европейских стран	1	1
270	вот как	1	1
271	что при	3	1
272	и уже	3	1
273	мысли и	2	1
274	из этих	3	1
275	что если	1	1
276	и личности	1	1
277	именно на	2	1
278	не как	3	1
279	и другие	5	1
280	только один	1	1
281	об отношении	1	1
282	уже невозможно	1	1
283	что уже	1	1
284	в каждом	1	1
285	только на	6	1
286	и через	1	1
287	бытия как	3	1
288	не с	2	1
289	обе эти	1	1
290	что эта	1	1
291	борьбе с	1	1
292	xix в	5	1
293	в других	4	1
294	и что	3	1
295	в различных	1	1
296	не могла	4	1
297	ли их	1	1
298	что и	3	1
299	к смерти	1	1
300	в трех	1	1
301	связывается с	1	1
302	другой стороны	1	1
303	с того	4	1
304	еще в	4	1
305	в мир	1	1
306	как автор	1	1
307	духовного напряжения	1	1
308	этом смысле	1	1
309	к жизни	6	1
310	древней руси	1	1
311	весь мир	1	1
312	далеко не	1	1
313	в этих	7	1
314	г а	1	1
315	них и	1	1
316	что все	3	1
317	что делать	1	1
318	различия между	3	1
319	не являясь	1	1
320	как по	2	1
321	так же	3	1
322	человека с	1	1
323	в предыдущем	1	1
324	в рамки	1	1
325	также и	1	1
326	как она	3	1
327	его в	5	1
328	знаем что	2	1
329	каждый из	1	1
330	литературы и	1	1
331	и наоборот	1	1
332	который не	1	1
333	было и	1	1
334	в г	3	1
335	их не	1	1
336	все же	5	1
337	при виде	1	1
338	и притом	1	1
