N	3gram	Propp_Isto	formyVre
1	и т п	1	32
2	в связи с	5	15
3	друг с другом	3	13
4	для того чтобы	1	12
5	но и в	4	12
6	не только в	5	11
7	до сих пор	11	10
8	в большинстве случаев	4	8
9	и прежде всего	1	8
10	и т д	35	7
11	не может быть	8	7
12	в отличие от	3	7
13	в непосредственном соседстве	1	7
14	в этом отношении	1	7
15	прежде всего в	1	7
16	друг от друга	1	6
17	и в этом	1	6
18	и в особенности	1	6
19	во всех этих	1	6
20	с одной стороны	7	6
21	в том что	6	5
22	одной стороны и	1	5
23	в то время	3	5
24	и то же	1	5
25	мы имеем в	4	5
26	и не только	1	5
27	по отношению к	6	4
28	друг на друга	1	4
29	но все же	7	4
30	с другой стороны	7	4
31	равно как и	1	4
32	в средние века	1	4
33	в этом случае	3	4
34	то время как	3	4
35	но все эти	1	3
36	о том как	2	3
37	до известной степени	1	3
38	в себя и	1	3
39	наряду с этим	1	3
40	может быть только	1	3
41	сами по себе	1	3
42	непосредственном соседстве с	1	3
43	в зависимости от	3	3
44	что в этом	1	3
45	как мы увидим	2	3
46	то же самое	3	3
47	вместе с тем	7	3
48	в другом месте	2	3
49	же как и	1	3
50	но в то	1	3
51	о том что	5	3
52	так же как	6	3
53	с самого начала	4	3
54	средние века и	1	3
55	соответствии с этим	2	2
56	не входят в	1	2
57	борьбы с природой	2	2
58	его в связи	1	2
59	с этим в	2	2
60	с другом мы	1	2
61	связаны друг с	2	2
62	они не могут	1	2
63	только в этом	1	2
64	и вместе с	2	2
65	в соответствии с	1	2
66	все же и	1	2
67	к тому же	1	2
68	еду и питье	1	2
69	это значит что	1	2
70	таким образом и	1	2
71	но он не	1	2
72	на другой день	1	2
73	не только для	1	2
74	и должно быть	2	2
75	не было и	1	2
76	дальнейшем оказывается что	1	2
77	в тех же	1	2
78	на этой стадии	1	2
79	мы здесь не	1	2
80	то что уже	1	2
81	в виду что	1	2
82	прежде всего нужно	1	2
83	со всех сторон	4	2
84	в дальнейшем оказывается	1	2
85	с едой и	1	2
86	дело в том	3	2
87	идет именно о	1	2
88	с ним но	1	2
89	и ничего не	1	2
90	к тому что	1	2
91	том что они	3	2
92	с тем что	3	2
93	что и в	1	2
94	с природой и	1	2
95	образов и мотивов	1	2
96	если бы он	1	2
97	потому что они	1	2
98	и непосредственно в	1	1
99	в его работе	1	1
100	что он не	4	1
101	но они всегда	1	1
102	носит иной характер	1	1
103	это как бы	1	1
104	но вместе с	1	1
105	в себе в	1	1
106	можем поставить вопрос	1	1
107	на природу и	1	1
