N	3gram	Medvedev_V	UchenyiS
1	в том что	2	2
2	в самом деле	1	2
3	и в частности	1	2
4	в конце концов	2	2
5	по крайней мере	1	2
6	работа поэтических школ	1	1
7	образов чем к	1	1
8	новых приемов расположения	1	1
9	и выявлению новых	1	1
10	выявлению новых приемов	1	1
11	накоплению и выявлению	1	1
12	сводится к накоплению	1	1
13	и обработки словесных	1	1
14	к созданию их	1	1
15	вся работа поэтических	1	1
16	чем к созданию	1	1
17	расположению образов чем	1	1
18	расположения и обработки	1	1
19	к расположению образов	1	1
20	приемов расположения и	1	1
21	материалов и в	1	1
22	в частности гораздо	1	1
23	словесных материалов и	1	1
24	обработки словесных материалов	1	1
25	к накоплению и	1	1
