N	2gram	Tiupa_Anal	Istorich
1	и в	36	181
2	и т	1	160
3	т е	2	133
4	может быть	19	115
5	не только	40	114
6	что он	5	111
7	мы имеем	5	102
8	что в	15	90
9	но и	26	85
10	в этом	19	81
11	то что	5	73
12	таким образом	4	72
13	вместе с	3	71
14	и не	14	67
15	мы видим	1	65
16	все же	6	65
17	в этих	2	64
18	еще не	7	63
19	не может	3	61
20	этих случаях	1	60
21	так же	1	57
22	то же	7	56
23	никогда не	7	56
24	в том	16	53
25	том что	19	53
26	а в	17	52
27	с другой	10	52
28	потому что	1	52
29	и что	2	51
30	и здесь	4	51
31	что и	10	51
32	а не	16	48
33	о том	9	48
34	связь с	3	47
35	его в	4	47
36	не в	9	47
37	другой стороны	7	46
38	превращается в	3	45
39	мы должны	1	44
40	но в	8	44
41	это не	4	43
42	и его	18	43
43	мы знаем	1	42
44	в нем	3	42
45	только в	9	42
46	как в	9	42
47	или в	4	39
48	тем что	3	38
49	и на	5	38
50	в его	12	38
51	для нас	1	38
52	как и	27	37
53	уже не	9	37
54	мы уже	2	37
55	он не	9	37
56	что здесь	1	37
57	так и	19	37
58	мы можем	2	36
59	что они	3	35
60	с тем	2	35
61	мы не	4	35
62	здесь мы	1	35
63	все эти	2	35
64	не всегда	4	34
65	связи с	1	34
66	но не	13	34
67	а именно	1	34
68	у него	2	34
69	во время	2	34
70	этого мотива	1	34
71	что это	1	34
72	видим что	1	34
73	же как	1	33
74	там где	2	33
75	об этом	3	33
76	сих пор	1	32
77	попадает в	1	32
78	в качестве	22	32
79	один из	6	31
80	прежде всего	7	31
81	так в	4	31
82	представляет собой	7	31
83	власть над	2	31
84	ничего не	3	31
85	с этим	4	30
86	с одной	3	30
87	в русской	9	30
88	до сих	1	30
89	этом случае	1	29
90	одной стороны	3	29
91	как мы	4	29
92	но это	3	29
93	и другие	1	28
94	в иной	2	28
95	что она	3	28
96	и с	1	28
97	например в	2	28
98	героя в	1	27
99	так что	2	27
100	могут быть	4	27
101	того что	4	27
102	как это	7	26
103	на него	1	26
104	и др	1	26
105	предположить что	1	26
106	в ней	2	26
107	в брак	1	25
108	вопрос о	1	25
109	в дальнейшем	2	25
110	и он	4	25
111	не менее	9	24
112	к этому	3	24
113	было бы	6	24
114	того как	1	24
115	если бы	2	24
116	что мы	2	24
117	царство мертвых	1	24
118	их в	1	23
119	в доме	2	23
120	как бы	14	23
121	точно так	1	23
122	тем не	3	23
123	в этой	10	23
124	не будем	2	23
125	все это	5	23
126	когда он	2	23
127	в частности	19	23
128	и по	3	22
129	с ним	2	22
130	при этом	19	22
131	в другом	3	21
132	в одном	4	21
133	сказать что	2	21
134	о смерти	4	21
135	в связи	1	21
136	должны были	1	21
137	здесь не	8	21
138	с появлением	2	21
139	к тому	10	21
140	они не	2	21
141	ее в	2	21
142	в мифе	1	20
143	из них	4	20
144	из этих	4	20
145	она не	3	20
146	одна из	6	20
147	очень часто	1	20
148	в силу	2	20
149	после чего	2	20
150	а затем	2	19
151	что у	3	19
152	но он	1	19
153	в тех	2	19
154	не совсем	1	19
155	есть и	1	19
156	все еще	2	19
157	на то	1	19
158	и как	5	19
159	после того	1	19
160	живет в	1	19
161	в то	8	18
162	что этот	1	18
163	не все	1	18
164	в данном	12	18
165	вовсе не	2	18
166	в них	4	17
167	нас к	2	17
168	по существу	1	17
169	дело не	3	17
170	и только	1	17
171	герой в	1	16
172	во всех	4	16
173	этот вопрос	1	16
174	всех этих	1	16
175	то мы	1	16
176	между двумя	1	16
177	и все	3	16
178	со стороны	12	16
179	перед нами	7	16
180	связана с	1	16
181	что мотив	1	16
182	даже в	6	15
183	в пределах	5	15
184	что при	2	15
185	в особенности	4	15
186	и то	2	15
187	в своей	12	15
188	данном случае	11	15
189	его и	1	15
190	в одной	2	15
191	как будто	1	15
192	и даже	12	15
193	на его	3	15
194	и тем	3	15
195	тот кто	2	15
196	в целом	8	15
197	с этой	1	14
198	от него	1	14
199	на смену	5	14
200	по отношению	9	14
201	можно было	2	14
202	и ее	3	14
203	одной из	6	14
204	у нас	1	14
205	право на	1	14
206	но они	2	14
207	на могилу	2	14
208	и есть	1	14
209	из которых	2	14
210	с ней	1	14
211	должен был	2	14
212	а также	5	14
213	отношение к	2	14
214	отношению к	9	14
215	на себя	5	14
216	и наконец	1	14
217	в своем	7	13
218	по себе	6	13
219	пребывание в	1	13
220	то время	1	13
221	тогда как	37	13
222	и для	4	13
223	в себе	7	13
224	в таких	2	13
225	все что	2	13
226	своего рода	17	13
227	и у	1	13
228	на этом	2	13
229	в форме	2	13
230	в нее	1	13
231	и от	3	13
232	с ними	2	13
233	не имеет	1	13
234	смерти и	1	13
235	в книге	1	13
236	к своему	1	13
237	его не	3	13
238	и если	2	13
239	что иное	1	13
240	таким же	4	13
241	во всем	5	12
242	хотя бы	1	12
243	к себе	1	12
244	утверждать что	1	12
245	в основном	1	12
246	и герой	1	12
247	ответ на	3	12
