N	2gram	Vinokur_St	Literetu
1	а не	19	50
2	и не	23	47
3	не только	36	46
4	и в	61	44
5	может быть	16	43
6	при этом	4	41
7	но и	28	41
8	тогда как	1	40
9	в том	56	39
10	в этом	37	38
11	своего рода	7	37
12	том что	49	32
13	такого рода	2	30
14	в частности	6	30
15	то что	27	29
16	в качестве	7	27
17	то же	7	26
18	в году	3	26
19	как и	11	23
20	в то	10	23
21	себя в	1	22
22	не в	15	22
23	того что	14	22
24	так и	15	22
25	не может	10	22
26	же время	5	21
27	в себе	3	20
28	я в	1	19
29	прежде всего	11	19
30	как бы	8	18
31	с другой	11	17
32	точки зрения	16	17
33	то есть	2	17
34	в его	19	17
35	в этой	13	16
36	не менее	8	15
37	я не	13	15
38	в русской	4	15
39	только в	11	15
40	в стихах	2	15
41	со стороны	7	15
42	тем самым	2	15
43	в целом	5	15
44	и даже	8	14
45	по отношению	3	14
46	однако в	1	14
47	что он	23	14
48	уже не	1	13
49	в своем	8	13
50	с одной	3	13
51	как это	6	13
52	в тексте	12	13
53	но не	5	13
54	и его	11	13
55	в своей	12	12
56	о том	30	12
57	в данном	16	12
58	одной стороны	2	12
59	одним из	2	12
60	еще не	4	12
61	отношению к	3	12
62	а также	4	12
63	не столько	6	11
64	в другом	5	11
65	никогда не	7	11
66	и сам	4	11
67	столь же	5	11
68	еще в	3	11
69	вместе с	5	11
70	как в	15	11
71	в основе	4	11
72	в отличие	1	11
73	с его	3	11
74	данном случае	7	11
75	это не	8	11
76	отличие от	1	11
77	или иначе	3	11
78	а в	18	11
79	даже в	5	10
80	русской поэзии	2	10
81	по мысли	1	10
82	из них	11	10
83	в ее	6	10
84	не случайно	1	10
85	что в	41	10
86	и на	7	10
87	для себя	3	10
88	так или	3	10
89	потому что	13	10
90	этом отношении	13	10
91	жизни и	6	10
92	в области	16	10
93	с этой	5	9
94	к тому	9	9
95	искусства и	1	9
96	связи с	3	9
97	один из	1	9
98	что я	3	9
99	в поэзии	1	9
100	одно из	3	9
101	отказ от	1	9
102	в начале	5	9
103	лишь в	3	9
104	же в	1	9
105	говоря уже	2	8
106	в своих	2	8
107	тем что	6	8
108	все же	12	8
109	исходит из	1	8
110	одна из	1	8
111	того же	4	8
112	едва ли	1	8
113	ли не	2	8
114	с точки	10	8
115	как раз	10	8
116	на себя	3	8
117	что не	3	8
118	в конце	5	8
119	о себе	1	8
120	а именно	3	8
121	соответствии с	1	8
122	той же	5	8
123	в глазах	1	8
124	но в	16	8
125	уже в	3	8
126	для него	10	8
127	xix века	2	8
128	по существу	3	8
129	и как	2	8
130	и я	5	8
131	не говоря	2	8
132	вплоть до	6	8
133	в самом	14	7
134	в одном	7	7
135	другой стороны	9	7
136	на свою	1	7
137	именно в	8	7
138	для этого	2	7
139	как правило	2	7
140	не как	2	7
141	тому же	2	7
142	в случае	2	7
143	он не	11	7
144	и тем	3	7
145	и с	6	7
146	в нем	9	7
147	из того	2	7
148	по своей	2	7
149	наконец в	2	7
150	до конца	4	7
151	и для	4	7
152	он и	1	7
153	у нас	12	7
154	в их	3	7
155	так в	1	7
156	и других	1	7
157	и жизни	1	7
158	а затем	1	6
159	в виду	6	6
160	например в	8	6
161	культуры в	3	6
162	казалось бы	1	6
163	уже о	6	6
164	как на	10	6
165	и он	2	6
166	в третьем	1	6
167	у него	3	6
168	его в	4	6
169	не было	7	6
170	с жизнью	1	6
171	во всех	8	6
172	в каждом	3	6
173	было бы	21	6
174	в культуре	1	6
175	то в	3	6
