N	3gram	Propp_Morf	Tragedij
1	то же время	1	5
2	в то же	1	5
3	в том что	4	2
4	бросается в глаза	1	2
5	точно так же	2	2
6	в данном случае	2	2
7	о том что	3	2
8	но все же	4	2
9	том что он	1	1
10	все это мы	1	1
11	в обоих случаях	2	1
12	это мы видим	1	1
13	она все же	1	1
14	вместо того чтобы	1	1
15	в применении к	1	1
16	то что он	1	1
17	не может быть	9	1
18	в точности соответствует	2	1
19	в этом случае	10	1
20	с того что	2	1
21	в чем же	1	1
22	с самого начала	1	1
23	не могут быть	4	1
24	в высшей степени	1	1
25	обстоит дело с	1	1
26	как и в	3	1
27	в связи с	9	1
28	во всяком случае	2	1
29	к тому что	4	1
30	тем не менее	6	1
31	средство для достижения	1	1
32	в третий раз	1	1
33	после того как	1	1
