N	4gram	Kanaev_Sov	Formalny
1	в то же время	1	20
2	бы то ни было	1	7
3	и в то же	1	6
4	одни и те же	1	5
5	с одной стороны и	1	5
6	все более и более	1	4
7	не может быть и	1	4
8	мы уже знаем что	1	3
9	один и тот же	1	3
10	может быть и речи	1	3
11	и до сих пор	1	2
12	а в настоящее время	1	2
13	в первый период развития	1	2
14	какой бы то ни	1	2
15	в зависимости от различных	1	1
16	но тем не менее	1	1
17	не могут быть поняты	1	1
18	мы без труда узнаем	1	1
19	не что иное как	1	1
20	в этом смысле можно	1	1
21	метода не может быть	1	1
22	дело в том что	1	1
23	этом смысле можно говорить	1	1
24	одной и той же	1	1
25	по самому своему существу	1	1
26	времени не может быть	1	1
27	поэтому мы не можем	2	1
28	она в такой же	1	1
29	что же это за	2	1
30	через известный промежуток времени	1	1
31	есть не что иное	1	1
