N	4gram	Vygotskiy_	Freidism
1	одной и той же	3	3
2	один и тот же	1	3
3	заключается в том что	8	2
4	в том что она	2	2
5	в том что он	3	2
6	ни в каком случае	1	2
7	о том что это	1	1
8	я не сомневаюсь что	1	1
9	том что он не	2	1
10	все больше и больше	2	1
11	если мы обратимся к	1	1
12	или во всяком случае	2	1
13	деле если мы обратимся	1	1
14	самом деле если мы	1	1
15	в жизни и в	1	1
16	в таком случае это	1	1
17	все время как бы	2	1
18	сейчас же заметим что	1	1
19	одно и то же	3	1
20	мы уже знаем что	1	1
21	мы старались показать что	1	1
22	что это вовсе не	1	1
23	случае не может быть	1	1
24	не нуждается ни в	1	1
25	друг с другом и	2	1
26	в том что в	1	1
27	всего они свидетельствуют о	1	1
28	от начала до конца	1	1
29	до сих пор не	1	1
30	в каком случае не	1	1
31	не что иное как	1	1
32	но это совсем не	1	1
33	ответ на этот вопрос	1	1
34	но именно в этой	1	1
35	в самом деле если	2	1
