N	2gram	Losev_Dial	Psycholo
1	то что	25	193
2	и в	34	190
3	в том	17	163
4	что в	12	123
5	потому что	21	114
6	том что	18	113
7	и что	21	108
8	может быть	30	107
9	таким образом	14	102
10	в этом	14	100
11	то есть	1	97
12	все время	4	86
13	в самом	9	82
14	как бы	19	80
15	для того	4	78
16	того чтобы	1	78
17	что он	18	76
18	не только	35	75
19	на то	5	73
20	и не	50	73
21	что она	13	71
22	самом деле	7	70
23	точки зрения	43	69
24	и т	41	69
25	не может	29	68
26	если мы	5	66
27	так же	7	63
28	так как	12	63
29	было бы	13	56
30	если бы	10	55
31	то же	9	54
32	о том	11	54
33	и мы	6	54
34	совершенно ясно	2	54
35	при этом	7	52
36	как и	14	51
37	что и	8	50
38	а не	39	50
39	что это	20	49
40	сказать что	7	46
41	по себе	31	46
42	только в	10	46
43	в сущности	10	46
44	заключается в	3	46
45	к тому	4	45
46	в искусстве	1	45
47	не в	11	45
48	ясно что	16	43
49	искусства и	1	43
50	в этой	3	43
51	показать что	1	43
52	никогда не	9	42
53	и все	17	42
54	вместе с	3	41
55	как это	8	40
56	но и	14	40
57	с и	1	40
58	как раз	11	39
59	при помощи	6	39
60	того что	22	39
61	же самое	1	38
62	т п	1	38
63	и это	12	37
64	мы видим	4	37
65	и как	13	36
66	с тем	4	35
67	вовсе не	18	34
68	как на	6	34
69	и если	5	34
70	и его	8	34
71	тому что	5	33
72	все же	4	33
73	что все	16	33
74	когда он	3	33
75	в себе	8	32
76	все это	13	32
77	он не	8	31
78	мы не	11	31
79	в его	6	31
80	для нас	2	31
81	в ней	4	31
82	сейчас же	1	30
83	как будто	3	30
84	никак не	3	30
85	как в	2	30
86	с одной	4	29
87	в нас	2	29
88	и для	5	29
89	одной стороны	3	29
90	с точки	25	29
91	в нем	7	29
92	что они	2	28
93	и когда	4	28
94	мы можем	3	28
95	и то	7	28
96	что мы	10	28
97	в своих	3	27
98	в основе	6	27
99	и на	6	27
100	а в	3	27
101	с другой	5	27
102	все то	1	27
103	так что	11	26
104	совершенно не	6	26
105	только что	7	25
106	и здесь	3	25
107	жизни и	8	25
108	до сих	1	24
109	с таким	1	24
110	тем что	5	24
111	художественное произведение	1	24
112	и совершенно	2	24
113	в своем	7	23
114	сих пор	1	23
115	из этого	3	23
116	что если	5	23
117	целый ряд	3	23
118	что оно	9	23
119	для этого	3	23
120	могут быть	5	23
121	казалось бы	1	22
122	с этим	4	22
123	из них	4	22
124	что у	2	22
125	и даже	21	22
126	когда мы	3	22
127	т д	38	22
128	в котором	2	21
129	в которых	1	21
130	той же	6	21
131	в своей	4	21
132	ни в	20	21
133	в конце	2	21
134	что эта	2	21
135	но только	7	21
136	как мы	4	21
137	и вот	13	21
138	и только	6	21
139	другой стороны	4	20
140	в то	9	20
141	тот же	1	20
142	мы имеем	3	20
143	она не	10	20
144	несмотря на	2	20
145	на этом	3	20
146	там где	1	20
147	это не	13	20
148	все эти	4	20
149	в одном	3	19
150	мы уже	6	19
151	мы должны	1	19
152	в ее	5	19
153	у него	2	19
154	с этой	7	18
155	в которой	1	18
156	но в	3	18
157	зависимости от	4	18
158	в каком	9	18
159	вслед за	1	18
160	что с	2	18
161	на самом	2	18
162	но не	3	18
163	и есть	24	18
164	был бы	2	18
165	перед нами	5	18
166	видим что	3	18
167	есть не	11	18
168	в виду	12	17
169	во всяком	5	17
170	мы все	1	17
171	время как	6	17
172	что для	5	17
173	из этих	5	17
174	но это	10	17
175	одна из	4	17
176	только не	10	17
177	у нас	7	17
178	и о	9	17
179	и к	5	16
180	из которых	4	16
181	к этому	3	16
182	в психологии	1	16
183	та же	5	16
184	обратиться к	1	16
185	говорит о	5	16
186	то это	9	16
187	самого начала	1	16
188	с самого	1	16
189	в таком	15	16
190	же как	4	16
191	и тем	3	16
192	чувства и	1	16
193	не имеет	18	16
194	так и	11	16
195	тому как	5	16
196	от того	9	16
197	в результате	7	15
198	в них	6	15
199	только на	8	15
200	что именно	10	15
201	во всех	2	15
202	мы знаем	3	15
203	как говорит	1	15
204	о которых	1	15
205	не могут	6	15
206	и так	2	15
207	о котором	4	15
208	и потому	6	15
209	в зависимости	3	15
210	не просто	20	15
211	утверждает что	3	15
212	далеко не	1	15
213	еще не	7	15
214	для него	4	15
215	в частности	3	15
216	не можем	3	15
217	в совершенно	1	14
218	хотя бы	9	14
219	одной и	4	14
220	но он	3	14
221	очевидно что	1	14
222	и той	4	14
223	то время	6	14
224	это и	12	14
225	это только	1	14
226	того как	2	14
227	прежде всего	20	14
228	что всякое	1	14
229	такой же	1	14
230	что на	3	14
231	те же	1	14
232	в жизни	4	14
233	при таком	2	14
234	не то	3	14
235	этих двух	1	14
236	бы в	5	14
237	показывает что	4	14
238	должна быть	11	14
239	это есть	19	14
240	всяком случае	3	14
241	этом отношении	2	14
242	с той	1	14
243	или в	4	14
244	по существу	2	14
245	есть только	13	14
246	с ним	3	14
247	факт что	1	14
248	само по	8	14
249	именно в	5	13
250	не могли	1	13
251	точка зрения	5	13
252	отнюдь не	16	13
253	с такой	1	13
254	этот вопрос	1	13
255	знаем что	1	13
256	речь идет	1	13
257	когда она	4	13
258	едва ли	2	13
259	и он	3	13
260	как он	4	13
