N	4gram	Vinokur_St	Vladivir
1	дело в том что	7	11
2	в то же время	5	9
3	в том что в	3	5
4	и в то же	1	5
5	в то время как	1	5
6	не говоря уже о	2	4
7	и вместе с тем	1	4
8	также и то что	1	4
9	только в том случае	1	3
10	во что бы то	1	3
11	так или иначе но	1	3
12	о том что он	3	3
13	что бы то ни	1	3
14	в том что он	3	3
15	заключается в том что	3	3
16	бы то ни стало	1	3
17	само собой разумеется что	1	3
18	обращает на себя внимание	1	2
19	и в том что	1	2
20	совершенно так же как	1	2
21	говоря уже о том	1	2
22	на то что в	2	2
23	уже о том что	2	2
24	но дело в том	1	2
25	точно так же и	1	2
26	свидетельствуют о том что	1	2
27	он не только не	1	2
28	одно и то же	1	2
29	свидетельствует о том что	1	2
30	бы то ни было	1	2
31	не имеет ничего общего	2	2
32	имеет ничего общего с	2	2
33	но в то же	2	2
34	и то обстоятельство что	1	2
35	до сих пор не	1	2
36	и на этот раз	1	2
37	ни в каком случае	1	1
38	да и в области	2	1
39	в том что она	1	1
40	том смысле как мы	1	1
41	на протяжении всей его	1	1
42	и в данном случае	1	1
43	и о том что	1	1
44	в том смысле как	1	1
45	что ни о каком	1	1
46	том что в своем	1	1
47	мнение о том что	1	1
48	между прочим и в	1	1
49	в том что и	1	1
50	отдавая себе отчет в	1	1
51	в каком случае не	1	1
52	то что он не	1	1
53	то что он сам	1	1
54	а если бы и	1	1
55	за то что тот	1	1
56	только с точки зрения	1	1
57	том что он не	2	1
58	иметь в виду что	1	1
59	на то что у	1	1
60	нечего и говорить о	1	1
61	что он сам называл	1	1
62	протяжении всей его жизни	1	1
63	с самого же начала	1	1
64	в этой области можно	1	1
65	несомненно и то что	1	1
66	мы имеем дело с	1	1
67	и говорить о том	1	1
68	то же время с	1	1
69	и т д в	1	1
70	по этому поводу с	1	1
71	но это вовсе не	1	1
72	о том что в	1	1
73	это вовсе еще не	1	1
74	тем не менее и	1	1
75	говорить о том что	1	1
76	так же как и	1	1
77	также и в том	1	1
78	не выходя за пределы	1	1
79	что же это за	1	1
80	не значит что мы	1	1
