N	3gram	Losev_Vesc	Psycholo
1	в том что	9	78
2	для того чтобы	2	70
3	на то что	7	55
4	в самом деле	7	51
5	заключается в том	3	36
6	о том что	4	34
7	то же самое	1	31
8	с точки зрения	6	29
9	с одной стороны	3	28
10	все то что	2	23
11	не может быть	22	23
12	до сих пор	1	23
13	и т д	36	22
14	и в самом	1	22
15	к тому что	2	20
16	с другой стороны	3	20
17	в том чтобы	2	20
18	мы видим что	2	16
19	не только не	4	16
20	в зависимости от	1	15
21	так же как	2	14
22	во всяком случае	2	14
23	само по себе	4	14
24	в то время	4	14
25	в этом отношении	2	14
26	можно было бы	3	13
27	и в этом	2	13
28	то время как	4	13
29	указывает на то	3	12
30	сам по себе	4	12
31	этой точки зрения	3	12
32	в конце концов	2	12
33	то что он	2	11
34	то что в	1	11
35	по сравнению с	7	11
36	подобно тому как	5	11
37	с этой точки	3	10
38	вместе с тем	3	10
39	только в том	1	10
40	и то что	5	10
41	не в том	1	10
42	сами по себе	3	10
43	том что он	2	10
44	никак не может	1	9
45	таким образом что	1	9
46	не то что	1	9
47	потому что он	1	9
48	в данном случае	2	9
49	что он не	1	9
50	не в состоянии	1	9
51	и как бы	1	8
52	и то же	5	8
53	друг с другом	2	8
54	смысле этого слова	1	8
55	речь идет о	1	8
56	и таким образом	2	8
57	с тем что	1	8
58	бы сказать что	2	7
59	в этом смысле	2	7
60	на то чтобы	1	7
61	только то что	3	7
62	психологической точки зрения	1	7
63	в свою очередь	5	7
64	можно сказать что	3	7
65	одно и то	5	7
66	что и в	1	7
67	совершенно верно что	1	6
68	потому что она	1	6
69	так как она	1	6
70	сама по себе	7	6
71	и может быть	1	6
72	было бы сказать	2	6
73	не что иное	12	6
74	мы не можем	3	6
75	и тот же	1	6
76	тем не менее	11	6
77	более или менее	4	6
78	что у него	1	6
79	именно потому что	1	6
80	то что мы	3	6
81	не только в	5	6
82	что иное как	12	6
83	ни в каком	6	5
84	о том как	4	5
85	в собственном смысле	3	5
86	и вместе с	1	5
87	с и в	1	5
88	ни в какой	1	5
89	один и тот	1	5
90	не было бы	1	5
91	и в частности	2	5
92	ту же самую	1	5
93	и в результате	1	5
94	и во всех	1	5
95	и мы увидим	1	5
96	несмотря на все	1	5
97	мы видели что	3	5
98	мы все же	1	5
99	в том смысле	1	5
100	не имеет никакого	2	5
101	как раз в	2	5
102	вместо того чтобы	1	5
103	потому что они	4	5
104	как будто бы	1	4
105	в применении к	2	4
106	уже это одно	1	4
107	и того же	1	4
108	а в том	1	4
109	имеет дело с	1	4
110	то что у	2	4
111	заключается не в	2	4
112	есть не просто	2	4
113	из того что	3	4
114	таким образом и	1	4
115	но так как	1	4
116	те или иные	1	4
117	и вот это	1	4
118	эта точка зрения	1	4
119	ли это что	4	4
120	что оно есть	5	4
121	значит ли это	5	4
122	вопрос о том	2	4
123	это было бы	1	4
124	то или иное	1	4
125	есть как бы	3	4
126	вовсе не в	1	4
127	не значит что	1	4
128	одного и того	1	4
129	когда он говорит	1	4
130	по себе и	1	4
131	только тогда когда	2	4
132	и не может	1	4
133	что это есть	3	4
134	от того что	4	4
135	если мы хотим	1	4
136	но совершенно ясно	1	4
137	только потому что	1	4
138	и что он	1	4
139	это и есть	4	4
140	в основе своей	2	4
141	по себе а	1	3
142	что в ней	3	3
143	и что она	2	3
144	то что оно	2	3
145	не потому что	5	3
146	не есть еще	2	3
147	в отношении к	2	3
148	что она есть	3	3
149	а не только	2	3
150	и заставляет нас	1	3
151	дело в том	4	3
152	та и другая	1	3
153	как бы его	2	3
154	может быть и	1	3
155	том смысле что	1	3
156	она должна быть	2	3
157	что все это	1	3
158	но это только	1	3
159	случае не может	1	3
