N	4gram	Losev_Prob	RusskieA
1	не что иное как	6	4
2	на самом же деле	7	3
3	так же как и	3	3
4	и в этом случае	3	2
5	во всяком случае не	2	2
6	в тех случаях когда	1	2
7	это не значит что	1	2
8	и т д и	5	2
9	в том что этот	1	2
10	мы не будем здесь	1	2
11	то что говорилось выше	1	1
12	тем не менее эти	1	1
13	друг к другу и	1	1
14	может быть и не	1	1
15	по своему содержанию можно	1	1
16	и т д в	1	1
17	несмотря ни на какую	1	1
18	может быть не только	1	1
19	дело здесь не в	2	1
20	в то время как	6	1
21	самом же деле это	1	1
22	в том что они	1	1
23	одного и того же	1	1
24	как и в других	1	1
25	здесь дело не в	1	1
26	приводит нас к необходимости	1	1
27	что говорилось выше о	1	1
28	не связано ни с	1	1
29	в данном случае мы	1	1
30	только о том что	1	1
31	не имеет ничего общего	3	1
32	мы уже видели что	1	1
33	дело в том что	3	1
34	только потому что она	1	1
35	ничего общего не имеет	1	1
36	сам по себе очень	1	1
37	имеет ничего общего с	1	1
38	в этом случае он	1	1
39	не имеют ничего общего	1	1
