N	2gram	Nazirov_Tr	ViktorSh
1	в книге	1	3
2	конце концов	1	2
3	в конце	3	2
4	и в	18	2
5	в том	2	2
6	том что	4	2
7	в другом	1	1
8	все время	1	1
9	но это	4	1
10	столь же	2	1
11	в самом	2	1
12	как же	2	1
13	существенной роли	1	1
14	и т.д	1	1
15	именно в	1	1
16	самом деле	1	1
17	более чем	1	1
18	в частности	2	1
19	и то	2	1
20	не хочу	1	1
21	и его	6	1
22	даже не	1	1
23	под влиянием	2	1
24	хотя бы	1	1
25	по поводу	2	1
26	только в	1	1
27	потому что	2	1
28	то же	5	1
29	и не	7	1
30	я не	4	1
31	в этом	9	1
32	все это	4	1
