N	2gram	Tiupa_Narr	DiskursI
1	в качестве	27	72
2	а не	27	60
3	может быть	24	56
4	не только	50	49
5	и в	22	49
6	как и	15	47
7	тогда как	23	47
8	при этом	31	46
9	и не	34	44
10	в том	20	44
11	представляет собой	21	41
12	то есть	15	41
13	в прозе	4	41
14	том что	15	40
15	в этом	23	38
16	в себе	14	37
17	состоит в	19	37
18	в частности	23	36
19	но и	39	35
20	и т.п	11	32
21	своего рода	17	32
22	но не	7	31
23	отличие от	6	28
24	со стороны	14	28
25	но в	10	28
26	так и	12	28
27	в отличие	6	27
28	не может	16	27
29	по своей	3	26
30	как в	9	25
31	такого рода	17	24
32	коммуникативного события	9	24
33	отнюдь не	6	23
34	еще не	6	23
35	в рамках	6	23
36	а также	11	20
37	в своей	8	19
38	все же	10	19
39	в нем	9	19
40	прежде всего	7	19
41	далеко не	6	18
42	в основе	1	18
43	то же	12	17
44	в данном	17	17
45	с другой	6	17
46	в мире	8	17
47	по отношению	5	17
48	отношению к	5	17
49	точки зрения	8	16
50	только в	23	16
51	о том	5	15
52	художественного письма	4	15
53	то что	14	15
54	роль в	4	15
55	в его	12	15
56	не менее	6	14
57	можно сказать	11	14
58	одной стороны	5	14
59	с одной	5	14
60	не в	12	14
61	картины мира	3	14
62	не является	7	14
63	это не	6	14
64	или иной	6	14
65	дискурсивных практик	1	14
66	как бы	11	13
67	для него	8	13
68	в целом	5	13
69	в своих	2	12
70	ведет к	3	12
71	при всей	5	12
72	в своем	7	12
73	того же	2	12
74	природе своей	1	12
75	и на	5	12
76	и все	7	12
77	данном случае	12	12
78	являет собой	5	12
79	система ценностей	1	11
80	по мысли	8	11
81	как правило	8	11
82	по природе	1	11
83	не было	3	11
84	не сводится	8	11
85	столь же	6	11
86	что в	6	11
87	с его	6	11
88	и как	4	11
89	в тексте	17	11
90	не столько	2	10
91	в лирике	1	10
92	той или	7	10
93	а с	2	10
94	для себя	3	10
95	вследствие этого	1	10
96	по сути	3	10
97	а в	19	10
98	же время	7	10
99	также и	4	10
100	высказывания в	3	10
101	и т.д	7	10
102	уже не	11	9
103	пока еще	4	9
104	себя в	4	9
105	внимание на	7	9
106	коммуникативное событие	6	9
107	между тем	5	9
108	ментальное событие	1	9
109	[...] в	3	9
110	в силу	5	9
111	в то	9	9
112	героя в	6	9
113	сводится к	10	9
114	художественного целого	2	9
115	еще в	4	9
116	тем самым	9	9
117	в этих	3	8
118	и даже	4	8
119	в соответствии	8	8
120	к тому	13	8
121	в котором	3	8
122	в противоположность	1	8
123	в творчестве	1	8
124	в одном	5	8
125	из них	4	8
126	хотя и	8	8
127	в себя	3	8
128	он не	8	8
129	если в	2	8
130	не на	1	8
131	не следует	3	8
132	жизни в	7	8
133	потому что	7	8
134	соответствии с	7	8
135	этом отношении	5	8
136	человека в	2	8
137	не с	1	8
138	очевидным образом	2	8
139	и о	4	8
140	коммуникативной ситуации	2	7
141	о чем	6	7
142	другой стороны	2	7
143	с позиций	1	7
144	таким образом	5	7
145	иначе говоря	14	7
146	в русской	3	7
147	одной из	2	7
148	что и	3	7
149	тому же	9	7
150	его в	1	7
151	к этому	2	7
152	в этой	8	7
153	я в	7	7
154	могут быть	1	7
155	в рассказе	10	7
156	коммуникативную ситуацию	2	7
157	например в	2	7
158	ни в	1	7
159	в составе	2	7
160	в процессе	2	7
161	приводит к	2	7
162	перед нами	9	7
163	ни для	1	7
164	с позиции	4	7
165	присутствия в	3	7
166	той же	2	7
167	но это	2	7
168	и для	4	7
169	основе своей	1	7
170	нового времени	2	7
171	в пределах	2	7
172	лишь в	3	7
173	в ходе	4	7
174	и ее	3	7
175	и его	12	7
176	мира в	4	7
177	о.м фрейденберг	1	6
178	не как	1	6
179	одно из	2	6
180	в строгом	3	6
181	однако при	1	6
182	именно в	5	6
183	конечном счете	4	6
184	и того	5	6
185	в противовес	3	6
186	времени в	3	6
187	в контексте	1	6
188	одна из	5	6
189	крайней мере	1	6
190	никогда не	8	6
191	то в	4	6
192	в принципе	6	6
193	сказать и	1	6
194	с точки	2	6
195	в ее	4	6
196	в ситуации	2	6
197	в конечном	6	6
198	можно признать	1	6
199	не знает	2	6
200	во всех	2	6
201	героя и	4	6
202	однако в	4	6
203	в особенности	2	6
204	в сущности	2	6
205	и то	3	6
206	имеет место	4	6
207	значении этого	1	6
208	что он	7	6
209	к его	5	6
210	в которых	1	6
211	собственно и	3	6
212	по крайней	1	6
213	здесь не	4	6
214	нарративной стратегии	1	6
215	одновременно и	1	6
216	дело в	2	6
217	времени и	9	6
218	тому как	4	6
219	отношение к	2	6
220	одного из	6	6
221	в период	1	6
222	в той	4	5
223	субъекта в	1	5
224	зрения на	2	5
225	русской литературе	1	5
226	исходя из	4	5
227	может служить	5	5
228	строго говоря	2	5
229	в виду	2	5
230	из двух	1	5
231	нарративного дискурса	6	5
232	мысль о	1	5
233	по своим	2	5
234	обращения к	1	5
235	на мой	1	5
236	своей природе	1	5
237	в другом	5	5
238	писал бахтин	1	5
239	не всегда	4	5
240	но они	4	5
241	не обязательно	3	5
242	значительной степени	1	5
243	не вполне	3	5
244	свою очередь	2	5
245	к ним	2	5
246	сказать что	5	5
247	на протяжении	12	5
248	к себе	11	5
249	несмотря на	1	5
250	как раз	9	5
251	сути своей	1	5
252	дискурса как	2	5
253	так сказать	4	5
254	значении термина	1	5
255	в сторону	1	5
256	внутренней речи	3	5
257	опыта в	2	5
258	мой взгляд	1	5
259	на этом	1	5
260	текста а	1	5
261	но при	5	5
262	следует признать	2	5
263	с ее	3	5
264	тем что	1	5
265	события рассказывания	8	5
266	одного и	2	5
267	во второй	2	5
268	но одновременно	2	5
269	во втором	6	5
270	один из	8	5
271	представляют собой	5	5
272	по слову	3	5
273	подобно тому	4	5
274	себе не	1	5
275	за пределы	1	5
276	оно не	4	5
277	претендует на	1	5
278	самого рассказывания	4	5
279	в свою	4	5
280	в значительной	1	5
281	известной степени	1	5
282	адресата в	1	5
283	переход от	2	5
284	принадлежит к	1	5
285	к той	1	5
286	ничего не	8	5
287	того что	7	5
288	в литературе	8	5
289	общения в	1	5
290	того как	1	5
291	о нем	5	5
292	несет в	1	5
293	по словам	2	5
294	в ней	5	5
295	и состоит	6	5
296	речевых практик	2	5
297	не предполагает	1	5
298	дискурс это	1	5
299	мира и	2	5
300	в их	1	5
301	и потому	2	5
302	в акте	1	5
303	из этих	6	5
304	по бахтину	1	5
305	что касается	3	5
306	но она	1	5
307	в концовке	3	5
308	стороны и	1	5
309	же самое	3	5
310	как будто	4	5
311	не к	4	5
312	существенную роль	3	4
313	в самом	8	4
314	и к	7	4
315	и составляет	2	4
316	человеческой жизни	3	4
317	действующее лицо	2	4
318	в равной	3	4
319	по выражению	1	4
320	говорит о	3	4
321	в году	2	4
322	в результате	4	4
323	по мере	2	4
324	и само	1	4
325	в первом	4	4
326	ни одна	1	4
327	или на	1	4
328	и до	1	4
329	см в	1	4
330	в жизни	9	4
331	его на	1	4
332	в нарративном	3	4
333	отличается от	1	4
334	во всяком	2	4
335	восходит к	2	4
336	на адресата	1	4
337	из жизни	1	4
338	между двумя	6	4
339	повествовательного дискурса	1	4
340	только на	4	4
341	и судии	4	4
342	с читателем	2	4
343	точка зрения	5	4
344	и представляет	2	4
345	что они	1	4
346	по преимуществу	1	4
347	указать на	1	4
348	об одном	2	4
349	в произведении	2	4
350	на статус	1	4
351	тем не	7	4
352	аналогии с	1	4
353	к жизни	3	4
354	связи с	3	4
355	не о	2	4
356	рассказа как	1	4
357	будто бы	2	4
358	полной мере	1	4
359	одним из	2	4
360	адресата к	1	4
361	что не	2	4
362	жизненной позиции	2	4
363	я не	5	4
364	по себе	4	4
365	в исторической	1	4
366	и тем	9	4
367	как это	7	4
368	рассказывания в	6	4
369	о событиях	1	4
370	силу своей	1	4
371	и есть	1	4
372	события в	3	4
373	или иного	3	4
374	в культуре	3	4
375	однако и	5	4
376	на эпизоды	3	4
377	автор и	1	4
378	опирается на	2	4
379	жизни а	4	4
380	с ним	6	4
381	не ограничивается	1	4
382	из того	1	4
383	не могут	1	4
384	не более	1	4
385	можно назвать	2	4
386	сути дела	2	4
387	и адресата	2	4
388	произведение в	1	4
389	к другому	2	4
390	более чем	2	4
391	втором значении	1	4
392	претендовать на	1	4
393	в данной	2	4
394	первобытного человека	2	4
395	и дискурс	1	4
396	до конца	2	4
397	до известной	1	4
398	у них	1	4
399	текста в	4	4
400	в свое	1	4
401	зависит от	3	4
402	того и	1	4
403	мы имеем	6	4
404	не для	1	4
405	рассказ как	1	4
406	во внешнем	1	4
407	есть в	1	4
408	поведения в	1	4
409	со своим	2	4
410	свидетеля и	4	4
411	или в	7	4
412	с той	2	4
413	в какой	2	4
414	однако это	1	4
415	по своему	3	4
416	но уже	2	4
417	нарративный дискурс	2	4
418	а на	2	4
419	того или	3	4
420	может иметь	1	4
421	а к	3	4
422	в полной	1	4
423	одну из	1	4
424	а по	2	4
425	частности в	2	4
426	человеческого сознания	2	4
427	для обозначения	2	4
428	организации текста	1	4
429	н.д тамарченко	1	4
430	строгом значении	2	4
431	драматургического текста	1	4
432	настоящего времени	1	4
433	в е	3	4
434	или напротив	3	4
435	более того	1	4
436	более не	3	3
437	является в	1	3
438	человеческого присутствия	2	3
439	в момент	1	3
440	рассказ о	1	3
441	которая в	2	3
442	дело с	4	3
443	событийного ряда	1	3
444	характер и	3	3
445	более или	2	3
446	но все	1	3
447	и сам	4	3
448	миметическая репрезентация	1	3
449	к другим	1	3
450	событий а	1	3
451	их в	4	3
452	чем не	1	3
453	места времени	1	3
454	направлен на	1	3
455	на первый	1	3
456	первый взгляд	1	3
457	с этим	1	3
458	и предполагает	1	3
459	в действительности	2	3
460	вопрос о	1	3
461	в пределе	2	3
462	входит в	2	3
463	имея в	1	3
464	системы персонажей	2	3
