N	3gram	Trubetskoy	FransuaR
1	то же время	10	55
2	в то же	10	55
3	в том что	7	27
4	в том числе	1	27
5	до сих пор	5	27
6	в большинстве случаев	2	22
7	с точки зрения	9	20
8	но в то	1	20
9	в этом отношении	1	20
10	для того чтобы	6	17
11	том числе и	1	17
12	о том что	2	17
13	в связи с	1	16
14	и прежде всего	1	14
15	не может быть	4	13
16	дело в том	1	13
17	на самом деле	6	13
18	в другом месте	1	12
19	той или иной	3	10
20	в данном случае	3	10
21	в значительной степени	1	10
22	в конце концов	3	10
23	по отношению к	1	9
24	до известной степени	1	9
25	в его целом	1	8
26	более или менее	4	8
27	в самом деле	1	7
28	можно было бы	3	7
29	прежде всего в	1	7
30	это конечно не	1	7
31	и в других	1	7
32	в настоящее время	2	7
33	не подлежит сомнению	1	7
34	во всех этих	1	7
35	в значительной мере	2	7
36	к тому же	1	6
37	но все же	1	6
38	за то что	1	6
39	даже и в	1	6
40	в свою очередь	1	6
41	с самого начала	1	6
42	в применении к	1	5
43	подлежит никакому сомнению	1	5
44	друг с другом	14	5
45	то же самое	1	5
46	и в частности	1	5
47	во всяком случае	6	5
48	во всех странах	1	5
49	не подлежит никакому	1	5
50	в том же	1	5
51	прежде всего необходимо	1	5
52	только то что	1	5
53	это и есть	1	5
54	но даже и	1	4
55	не только для	1	4
56	прежде всего на	1	4
57	никакому сомнению что	1	4
58	на этот вопрос	1	4
59	так же как	1	4
60	и то что	3	4
61	и не может	3	4
62	а следовательно и	2	4
63	во всех областях	1	4
64	же время в	1	4
65	о котором мы	1	4
66	и как бы	1	3
67	друг от друга	2	3
68	смысле этого слова	1	3
69	яркое выражение в	1	3
70	и того же	1	3
71	ни к какому	1	3
72	вместе с тем	3	3
73	в себе и	2	3
74	свидетельствуют о том	1	3
75	как бы ни	1	3
76	но на самом	1	3
77	что касается до	1	3
78	но и для	1	3
79	что все это	1	3
80	на том же	1	3
81	одного и того	1	3
82	тех или иных	1	3
83	бы то ни	4	3
84	и в том	2	3
85	и в этом	1	3
86	заключается в том	1	3
87	неразрывно связаны с	1	3
88	мы уже знаем	1	2
89	и в другом	2	2
90	еще не было	1	2
91	с ним в	1	2
92	но вряд ли	1	2
93	в этой роли	1	2
94	но при этом	1	2
95	они принадлежат к	2	2
96	в разных странах	1	2
97	уже знаем что	1	2
98	и вместе с	2	2
99	и во всем	1	2
100	но мы уже	1	2
101	то ни было	1	2
102	и только в	1	2
103	в том чтобы	1	2
104	в основе его	1	2
105	как и при	1	2
106	с самим собой	2	2
107	в нем все	1	2
108	точки зрения этих	1	2
109	в полной мере	1	2
110	он еще не	1	2
111	только для того	1	2
112	здесь же мы	1	2
113	и не только	1	2
114	но по существу	1	2
115	говорили в другом	1	2
116	для этого прежде	1	2
117	то что для	1	2
118	и не к	1	2
119	и вот в	1	2
120	некоторых из них	1	2
121	и с точки	1	2
122	мы не знаем	1	2
123	этого прежде всего	1	2
124	в этом случае	3	2
125	быть самим собой	4	2
126	в другом случае	2	2
127	потому что они	1	2
128	друг к другу	1	2
129	в этой культуре	1	1
130	всех людей и	1	1
131	и если в	3	1
132	мы прежде всего	1	1
133	для борьбы с	1	1
134	говорили в начале	1	1
135	в согласии с	1	1
136	выражение в его	1	1
137	быть самими собой	2	1
138	но ведь в	1	1
139	совершенно чуждые ему	1	1
140	первый и второй	1	1
141	с нею в	1	1
142	все они имеют	1	1
143	чтобы освободиться от	1	1
144	совершенно ясно что	1	1
145	они не видят	1	1
146	в самом себе	2	1
147	нельзя было не	1	1
148	тогда когда они	2	1
149	и таким образом	1	1
150	церкви и не	1	1
151	и тем самым	2	1
152	том что только	1	1
153	самому своему существу	1	1
154	не может иметь	1	1
155	никогда не был	1	1
156	не может когда	1	1
157	мы говорили выше	1	1
158	в этих последних	1	1
159	что с точки	1	1
160	в своем стремлении	1	1
161	с нею не	1	1
162	этого слова но	1	1
163	речь шла о	1	1
164	и ярким представителем	1	1
165	лишь тогда когда	1	1
166	является не только	1	1
167	в некоторых других	1	1
168	говорить и писать	1	1
169	и во всяком	2	1
170	но это же	1	1
171	два аспекта одного	1	1
172	он не может	1	1
173	а между тем	5	1
174	же время она	1	1
175	к тому чтобы	4	1
176	это то же	1	1
177	также как и	1	1
178	в результате этого	1	1
179	но как бы	1	1
180	жизни в эпоху	1	1
181	тем более что	1	1
182	ко всем этим	1	1
183	одной из этих	1	1
184	так же и	1	1
185	прежде всего с	1	1
186	особое значение и	1	1
187	с тем чтобы	3	1
188	по самому своему	2	1
189	основе его лежит	1	1
190	и что в	1	1
191	было бы чрезвычайно	1	1
192	же время эти	1	1
193	том случае если	3	1
194	от нас и	1	1
195	сводится к тому	1	1
196	что он не	2	1
197	так чтобы в	1	1
198	воплощает в себе	1	1
199	это значило бы	1	1
200	важно то что	1	1
201	есть то что	1	1
202	ничего подобного не	1	1
203	и яркое выражение	1	1
204	по совершенно иному	1	1
205	в борьбе с	1	1
206	их в самом	1	1
207	тем не менее	1	1
208	то есть не	1	1
209	только на этой	1	1
210	же время вполне	1	1
211	содержат в себе	1	1
212	того что не	1	1
213	культуры в котором	1	1
214	в том случае	4	1
215	на точку зрения	1	1
216	главным образом как	1	1
217	силе и по	1	1
218	между собой и	1	1
219	не трудно видеть	1	1
220	в нем самом	1	1
221	наиболее полное и	1	1
222	он сам уже	1	1
223	но для этого	1	1
224	но не подлежит	1	1
225	на точке зрения	1	1
226	к которой он	4	1
227	на земле не	1	1
228	роль в истории	1	1
229	совершенно чуждый и	1	1
230	состоит в том	1	1
231	к участию в	1	1
232	том и в	2	1
233	никогда не было	1	1
234	что он есть	1	1
235	о том чтобы	2	1
236	тем что он	1	1
237	нечего и говорить	1	1
238	или хотя бы	1	1
239	само собой разумеется	1	1
240	о себе самом	1	1
241	аспекта одного и	1	1
242	в том и	2	1
243	того или иного	2	1
244	что он может	1	1
245	а то которое	1	1
246	таит в себе	1	1
247	на то что	4	1
248	от того что	1	1
249	и видеть в	1	1
250	нельзя понимать как	1	1
251	того чтобы освободиться	1	1
252	именно на ней	1	1
253	которой он считает	1	1
254	не только от	1	1
255	это в данном	1	1
256	со спокойной совестью	1	1
257	к одному из	1	1
258	от церкви и	1	1
259	жизни но и	1	1
260	говорить о том	1	1
261	в начале этой	1	1
262	и это особенно	1	1
263	так как оно	1	1
264	конечно не по	1	1
265	речь идет не	1	1
266	вопрос о том	1	1
267	но для нас	1	1
268	большинстве случаев это	1	1
269	прежде всего о	1	1
270	в лучшем случае	3	1
271	и не так	1	1
272	речь идет о	1	1
273	всяком случае не	1	1
274	теснейшим образом связаны	1	1
275	и в некоторых	1	1
276	на первый взгляд	1	1
277	между прочим и	1	1
278	сих пор мы	1	1
279	момент необходимый для	1	1
