1	в то же время	4	7
2	не что иное как	12	5
3	есть не что иное	8	4
4	бы то ни было	12	3
5	из того что в	1	2
6	ни в коем случае	1	2
7	то же самое время	1	2
8	какой бы то ни	1	2
9	в том что он	2	2
10	одного и того же	1	2
11	в то же самое	1	2
12	но в то же	1	2
13	в коем случае не	1	2
14	с этой точки зрения	4	2
15	одно и то же	5	2
16	в силу тех или	1	1
17	только в том что	1	1
18	по крайней мере в	2	1
19	имеем дело не с	2	1
20	коем случае не есть	1	1
21	не есть она сама	2	1
22	и в самом деле	1	1
23	один и тот же	1	1
24	ничего не говорит о	1	1
25	подобно тому как мы	1	1
26	заключается в том что	2	1
27	никак не может быть	1	1
28	в самом деле не	1	1
29	свидетельствует о том что	3	1
30	принципиально не может быть	1	1
31	не может быть ни	3	1
32	и вместе с тем	1	1
33	и та и другая	1	1
34	в самом деле в	1	1
35	как это было в	1	1
36	то зачем же нам	1	1
37	чего бы то ни	2	1
38	отнюдь не предполагает что	1	1
39	в том смысле что	1	1
40	в свое время была	2	1
41	мы имеем дело не	2	1
42	ни на что не	1	1
43	на самом же деле	1	1
44	еще ничего не говорит	1	1
