N	4gram	Bakhtin_Fr	Vvedenie
1	в то же время	5	6
2	дело в том что	2	3
3	но в то же	2	3
4	но также и в	1	2
5	во всяком случае не	1	2
6	одной и той же	1	2
7	в целом ряде других	1	1
8	то же время в	1	1
9	из дошедших до нас	1	1
10	той или иной степени	1	1
11	сохраняет свое значение и	1	1
12	все же в них	1	1
13	в том что он	1	1
14	большей или меньшей степени	7	1
15	так как если бы	1	1
16	и в разной степени	1	1
17	тех или иных отношениях	1	1
18	и в целом ряде	1	1
19	в большей или меньшей	7	1
20	не может быть никакой	1	1
21	мы имеем в виду	1	1
22	в той или иной	5	1
23	в тех или иных	1	1
24	на этот вопрос мы	2	1
25	на то или иное	1	1
