N	2gram	Nazirov_Tr	VrazhdaK
1	в году	9	18
2	в бесах	9	10
3	не только	8	9
4	в этом	9	8
5	достоевский и	1	8
6	и в	18	8
7	и что	4	8
8	достоевский в	7	8
9	что в	4	7
10	достоевского в	3	7
11	достоевского и	1	7
12	и все	4	7
13	но и	4	7
14	то что	4	7
15	о нем	1	6
16	как и	5	6
17	и даже	4	6
18	и с	7	6
19	в романе	10	6
20	все же	5	6
21	в котором	1	6
22	в нем	4	6
23	но в	6	6
24	то же	5	5
25	у него	6	5
26	в россии	1	5
27	бедных людей	1	5
28	и не	7	5
29	между тем	1	5
30	об этом	4	5
31	не было	1	5
32	же время	6	5
33	в то	5	5
34	это не	5	4
35	при этом	3	4
36	несмотря на	5	4
37	с ним	3	4
38	для нас	1	4
39	все это	4	4
40	х годов	1	4
41	в виду	1	4
42	отцов и	1	4
43	что он	6	4
44	достоевского не	1	4
45	уже в	3	4
46	из черновиков	1	4
47	у достоевского	5	4
48	о том	2	4
49	может быть	7	4
50	в ней	1	4
51	и детей	2	4
52	в истории	1	4
53	как бы	7	4
54	так же	4	4
55	во многом	1	4
56	что достоевский	4	4
57	в его	3	3
58	в том	2	3
59	т е	1	3
60	достоевского к	1	3
61	сам достоевский	3	3
62	его в	2	3
63	связи с	1	3
64	но он	1	3
65	достоевский не	4	3
66	в связи	1	3
67	я не	4	3
68	и как	3	3
69	тем что	2	3
70	ставрогина и	3	3
71	в чем	1	3
72	матери и	1	3
73	что князь	2	3
74	в черновиках	1	3
75	о себе	1	3
76	он был	2	3
77	эти слова	1	3
78	чтобы он	1	3
79	том что	4	3
80	он не	2	3
81	в конце	3	3
82	и о	1	3
83	наряду с	1	3
84	одним из	1	3
85	из подполья	1	3
86	в своем	3	3
87	достоевский уже	3	3
88	петр верховенский	7	3
89	он использовал	1	3
90	ставрогина он	2	3
91	с его	2	3
92	и его	6	3
93	по нашему	1	3
94	в той	1	2
95	в лицо	1	2
96	таким образом	1	2
97	и то	2	2
98	и он	3	2
99	в момент	1	2
100	его с	1	2
101	к себе	1	2
102	и далее	1	2
103	для него	3	2
104	о чем	3	2
105	по мнению	2	2
106	и достоевский	1	2
107	же не	1	2
108	роман достоевского	2	2
109	в них	1	2
110	как же	2	2
111	а также	1	2
112	права на	2	2
113	в мире	3	2
114	петра верховенского	17	2
115	в своей	1	2
116	рядом с	1	2
117	вместе с	1	2
118	что ж	1	2
119	молодого достоевского	1	2
120	в это	2	2
121	не менее	1	2
122	и это	2	2
123	и стал	1	2
124	еще не	4	2
125	при создании	1	2
126	но как	1	2
127	это в	1	2
128	и дети	2	2
129	отцы и	2	2
130	очень хорошо	1	2
131	в письмах	2	2
132	в этой	4	2
133	романе бесы	1	2
134	человека с	1	2
135	тогда как	1	2
136	меня как	1	2
137	а достоевский	1	2
138	достоевский всегда	1	2
139	к ним	1	2
140	отношение к	2	2
141	уже не	2	2
142	году в	2	2
143	в себе	4	2
144	что я	4	2
145	в глазах	2	2
146	не может	5	2
147	с которым	1	2
148	столь же	2	2
149	одна из	2	2
150	году и	1	2
151	в период	1	2
152	за год	1	2
153	м м	1	2
154	время он	1	2
155	он сам	7	2
156	отнюдь не	3	2
157	эту сцену	1	2
158	но это	4	2
159	не мог	2	2
160	и ее	2	2
161	никогда не	2	2
162	в особенности	1	1
163	все в	1	1
164	к сожалению	1	1
165	своего рода	3	1
166	в самом	2	1
167	во всем	1	1
168	и такую	1	1
169	то в	1	1
170	в преступлении	2	1
171	так и	5	1
172	близок к	1	1
173	романа с	1	1
174	роман бесы	1	1
175	в литературе	1	1
176	с последним	1	1
177	перед сном	1	1
178	не социалист	1	1
179	сказал что	1	1
180	в душе	2	1
181	сравняться с	1	1
182	один из	3	1
183	еще раз	2	1
184	отчасти использовал	1	1
185	ему в	1	1
186	со мной	2	1
187	по всем	1	1
188	даже некоторые	1	1
189	на ранней	1	1
190	в петербурге	1	1
191	только что	1	1
192	также что	1	1
193	записках из	3	1
194	того как	1	1
195	к этой	1	1
196	и верховенский	1	1
197	в основном	3	1
198	знать и	1	1
199	которой не	1	1
200	хочет сделать	1	1
201	из сибири	1	1
202	что уже	1	1
203	он всегда	4	1
204	ресторане бореля	1	1
205	в твери	1	1
206	антинигилистических романов	1	1
207	верховенского в	2	1
208	что это	5	1
209	а это	1	1
210	романа и	3	1
211	одному из	1	1
212	он и	2	1
213	романа в	1	1
214	его ума	1	1
215	в ее	2	1
216	только не	1	1
217	того что	1	1
218	в комментариях	1	1
219	в недрах	1	1
220	говорит о	2	1
221	чем у	1	1
222	только достоевский	1	1
223	и наказании	2	1
224	прежде всего	4	1
225	роман в	1	1
226	из хозяйки	1	1
227	на творчество	1	1
228	иными словами	1	1
229	быть может	1	1
230	третий раз	1	1
231	в столицу	1	1
232	обращается в	1	1
233	за что	1	1
234	он обратился	1	1
235	ко всем	1	1
236	а между	1	1
237	в духе	1	1
238	возникший в	1	1
239	конечно в	1	1
240	а за	1	1
241	этого не	1	1
242	и сам	3	1
243	над бесами	1	1
244	с такими	1	1
245	в одном	2	1
246	ненависти к	2	1
247	что за	3	1
248	их характеры	1	1
249	тот кто	1	1
250	на нее	1	1
251	ненависти и	1	1
252	еще в	2	1
253	но не	1	1
254	же хуже	1	1
255	верховенского с	1	1
256	из мертвого	2	1
257	сей день	2	1
258	именно в	1	1
259	в третий	1	1
260	представление о	1	1
261	в таком	2	1
262	я очень	1	1
263	сходство с	1	1
264	гиперболизированный ситников	1	1
265	как говорит	2	1
266	преступлении и	2	1
267	этого романа	2	1
268	от злости	1	1
269	генезис образа	2	1
270	не знал	1	1
271	и достоевским	1	1
272	вряд ли	2	1
273	период создания	1	1
274	не есть	1	1
275	русского революционера	1	1
276	одном из	2	1
277	как в	3	1
278	оказалось что	1	1
279	дома и	2	1
280	и тонко	1	1
281	них он	1	1
282	хорошо знает	1	1
