N	3gram	Medvedev_V	SlovoVZh
1	по отношению к	7	11
2	не может быть	8	7
3	можно сказать что	4	5
4	в том что	5	4
5	как если бы	1	4
6	и по отношению	1	3
7	в художественном произведении	4	3
8	до сих пор	2	3
9	этой точки зрения	2	3
10	и не может	2	3
11	может быть и	1	3
12	имеем в виду	1	2
13	художественного произведения и	1	2
14	одной стороны и	2	2
15	то же самое	1	2
16	одно и то	1	2
17	в данном случае	1	2
18	в зависимости от	5	2
19	с одной стороны	2	2
20	с другой стороны	8	2
21	и то же	1	2
22	что осталось в	1	1
23	со всех сторон	1	1
24	сих пор не	1	1
25	в плоть и	1	1
26	все же не	1	1
27	сами по себе	1	1
28	является таким образом	1	1
29	о том что	3	1
30	ни в какой	1	1
31	в противном случае	2	1
32	в самом деле	1	1
33	процессе этого развития	1	1
34	но то же	1	1
35	является для него	1	1
36	можно определить как	2	1
37	в свою очередь	1	1
38	ничего общего с	1	1
39	по себе в	1	1
40	а между тем	1	1
41	что мы имеем	1	1
42	они должны быть	2	1
43	таким образом не	3	1
44	сама по себе	1	1
45	в том же	1	1
46	следует отметить что	1	1
47	в каком направлении	1	1
48	художественного произведения эта	1	1
49	в процессе этого	1	1
50	во всяком случае	2	1
51	таким образом для	1	1
52	и др и	1	1
53	между тем это	1	1
54	но в то	1	1
55	имеем дело с	1	1
56	социальной среды на	1	1
57	от его содержания	1	1
58	может идти только	1	1
59	равно как и	4	1
60	только то что	2	1
61	подобно тому как	3	1
62	как это делает	3	1
63	в конечном счете	5	1
64	же как и	1	1
65	приходится признать что	1	1
66	произведения и его	1	1
67	по аналогии с	1	1
68	можно было бы	2	1
69	в этом отношении	14	1
70	так же как	1	1
71	то же время	5	1
72	далеко не всегда	1	1
73	все зависит от	1	1
74	тех или иных	1	1
75	более или менее	6	1
76	но и в	1	1
77	в то же	5	1
78	то время как	1	1
79	говорит о том	1	1
80	мы имеем дело	1	1
81	по крайней мере	2	1
82	в частности в	2	1
83	в то время	1	1
84	в этом смысле	1	1
85	плоть и кровь	1	1
86	произведения таким образом	1	1
87	в виду не	1	1
88	бы не было	2	1
89	но все же	1	1
90	не обходится без	1	1
91	к тому же	1	1
