N	4gram	Vygotskiy_	slovoVRo
1	в то же время	1	18
2	в той или иной	1	13
3	и в то же	1	6
4	с одной стороны и	3	4
5	никогда не может быть	1	3
6	одно и то же	2	3
7	с этой точки зрения	1	2
8	и с другой стороны	1	2
9	в то время как	4	2
10	или во всяком случае	2	2
11	о которых мы говорили	1	2
12	она не может быть	1	1
13	на самом же деле	1	1
14	мы имеем в виду	1	1
15	в зависимости от этого	3	1
16	целиком во всех своих	1	1
17	все целиком во всех	1	1
18	так как если бы	1	1
19	мышления и речи в	3	1
20	и до наших дней	1	1
21	дело в том что	2	1
22	в том что в	1	1
23	необходимо иметь в виду	1	1
24	одной и той же	2	1
25	по отношению к себе	1	1
26	по самому своему существу	1	1
27	как если бы он	2	1
28	в том числе и	3	1
29	в данном случае не	1	1
30	в том чтобы раскрыть	1	1
31	в том что он	1	1
32	поставить в один ряд	1	1
33	и не могут быть	1	1
34	нас в данном случае	1	1
35	все более и более	3	1
36	бы то ни было	1	1
37	между этими двумя крайними	2	1
38	и с точки зрения	1	1
39	заключается в том чтобы	3	1
40	друг с другом в	2	1
41	он не может быть	1	1
42	рядом друг с другом	1	1
43	так же как и	4	1
44	в одно и то	1	1
45	как мы уже говорили	3	1
46	находит свое выражение в	1	1
