N	2gram	Bakhtin_fo	TeoriaLi
1	в качестве	6	33
2	в мире	4	26
3	не только	16	24
4	и в	84	24
5	в частности	11	23
6	то есть	42	22
7	может быть	18	22
8	при этом	8	20
9	в том	16	20
10	и не	19	17
11	а в	6	15
12	но и	14	14
13	а не	7	14
14	так и	17	14
15	в себе	7	14
16	но не	9	13
17	в этом	41	12
18	сводится к	1	12
19	но в	16	12
20	в его	19	12
21	то же	18	12
22	своего рода	1	11
23	том что	7	11
24	точки зрения	14	11
25	и его	26	11
26	что в	9	10
27	по отношению	3	10
28	как это	2	10
29	лишь в	8	10
30	отношению к	5	10
31	только в	12	9
32	в данном	4	9
33	с другой	4	9
34	в искусстве	1	9
35	не в	10	9
36	в то	13	9
37	в своей	2	8
38	же время	13	8
39	как бы	11	8
40	по своей	1	8
41	не может	8	8
42	в самом	9	7
43	не столько	2	7
44	или иной	4	7
45	особого рода	1	7
46	и т.п	6	7
47	в отличие	3	7
48	в своем	8	7
49	себя в	2	7
50	мы имеем	2	7
51	а также	5	7
52	отличие от	3	7
53	отношение к	5	7
54	однако в	1	7
55	место в	4	7
56	в области	1	7
57	в нем	28	7
58	другой стороны	1	6
59	в состав	1	6
60	как и	15	6
61	приводит к	1	6
62	еще не	8	6
63	в основе	9	6
64	то что	13	6
65	уже не	5	6
66	с его	10	6
67	в ее	6	6
68	картина мира	2	6
69	с другими	3	6
70	между ними	5	6
71	героя и	7	6
72	ни в	9	5
73	в виду	5	5
74	мыслится как	2	5
75	не предполагает	1	5
76	как в	10	5
77	можно сказать	2	5
78	не является	4	5
79	того чтобы	11	5
80	для того	12	5
81	литературных произведений	1	5
82	жизни как	2	5
83	за пределами	2	5
84	на почве	2	5
85	по преимуществу	4	5
86	данном случае	2	5
87	для него	5	5
88	того что	5	5
89	в себя	3	5
90	между тем	1	5
91	он не	6	5
92	и тем	1	5
93	в пределах	8	5
94	и о	1	5
95	могут быть	7	5
96	без исключения	1	4
97	в отношении	5	4
98	не на	4	4
99	по пути	1	4
100	не следует	1	4
101	и сам	2	4
102	в этих	6	4
103	значении этого	1	4
104	отношения к	7	4
105	что он	2	4
106	для читателя	1	4
107	входит в	3	4
108	в другом	2	4
109	говорить о	1	4
110	и т.д	2	4
111	сказать что	4	4
112	в нашем	3	4
113	к тому	6	4
114	этого слова	2	4
115	во времени	6	4
116	никогда не	8	4
117	и того	7	4
118	это не	8	4
119	хотя и	5	4
120	в литературе	17	4
121	в их	9	4
122	его в	8	4
123	но он	4	4
124	не знает	4	4
125	или даже	1	4
126	так в	2	4
127	мира и	6	4
128	по своему	3	4
129	со своей	3	4
130	а только	2	4
131	личности и	2	4
132	в свою	2	4
133	и что	1	4
134	самим собой	2	4
135	в форме	5	4
136	далеко не	3	4
137	того же	9	4
138	художественного мира	1	4
139	одного и	6	4
140	с ее	7	4
141	в целом	2	4
142	и ее	4	4
143	и к	4	3
144	и составляет	1	3
145	во втором	2	3
146	в таком	4	3
147	в момент	1	3
148	для себя	8	3
149	с этой	3	3
150	была бы	2	3
151	о чем	4	3
152	если бы	6	3
153	все эти	12	3
154	в романе	40	3
155	именно в	5	3
156	например в	7	3
157	в жизни	6	3
158	в порядке	4	3
159	имеет место	6	3
160	в соответствии	2	3
161	их в	6	3
162	никто не	2	3
163	художественного мышления	1	3
164	роль в	12	3
165	хронотоп в	6	3
166	в иной	1	3
167	культуры в	1	3
168	перед нами	1	3
169	свою очередь	1	3
170	между собой	5	3
171	своей природе	1	3
172	потому что	11	3
173	одной стороны	3	3
174	между двумя	6	3
175	в одном	10	3
176	не обязательно	2	3
177	специфическом значении	1	3
178	имеем в	3	3
179	известной степени	1	3
180	это отношение	1	3
181	во всей	3	3
182	из этих	5	3
183	и для	12	3
184	к содержанию	1	3
185	таким образом	14	3
186	и то	5	3
187	в эпизоде	6	3
188	в единое	1	3
189	с одной	5	3
190	и вот	2	3
191	том числе	7	3
192	в произведении	1	3
193	и потому	4	3
194	с точки	9	3
195	ни к	3	3
196	как раз	13	3
197	есть в	3	3
198	прежде всего	28	3
199	иного рода	1	3
200	все прочие	1	3
201	а на	1	3
202	и притом	1	3
203	связи с	14	3
204	или в	3	3
205	и позволяет	1	3
206	в организации	1	3
207	одним из	1	3
208	как говорит	1	3
209	в связи	13	3
210	и как	12	3
211	вовсе не	20	3
212	той или	3	3
213	во всех	13	3
214	тот или	1	3
215	картины мира	2	3
216	принадлежит к	4	3
217	в которой	3	3
218	он должен	2	3
219	говоря о	1	3
220	человека с	1	3
221	в этой	3	3
222	что можно	1	3
223	и др	13	3
224	человеческой жизни	9	3
225	и по	5	3
226	слова как	1	3
227	отнюдь не	7	3
228	герой не	1	3
229	мира в	6	3
230	в той	5	2
231	о жизни	1	2
232	более не	1	2
233	мире и	3	2
234	и другие	6	2
235	на деле	1	2
236	образом и	2	2
237	для всех	3	2
238	один из	5	2
