N	3gram	Berdyaev_M	Problemy
1	с точки зрения	1	25
2	по отношению к	4	18
3	и т п	1	18
4	на самом деле	1	15
5	не может быть	22	14
6	с самим собою	2	14
7	в конце концов	3	11
8	в романах достоевского	2	10
9	до сих пор	5	10
10	в отношении к	3	10
11	в самом деле	1	9
12	по замыслу достоевского	1	9
13	в творчестве достоевского	7	9
14	с самим собой	1	9
15	во всяком случае	1	9
16	в том что	3	8
17	и не может	2	8
18	сама по себе	1	7
19	к нему и	1	7
20	как бы в	1	7
21	и в этом	1	7
22	герой из подполья	1	6
23	между тем как	2	6
24	в отличие от	1	6
25	как и все	1	6
26	том что он	1	6
27	бы он ни	1	5
28	он ни был	1	5
29	хотя бы и	2	5
30	сам по себе	1	5
31	в зависимости от	1	5
32	записок из подполья	5	5
33	по ту сторону	1	5
34	в высшей степени	4	5
35	и в нем	3	5
36	подобно тому как	2	5
37	можно было бы	1	5
38	с другим и	1	4
39	к тому чтобы	2	4
40	из подполья и	1	4
41	его отношение к	2	4
42	он не может	2	4
43	друг на друга	1	4
44	человека в человеке	1	4
45	смысле этого слова	1	4
46	о том что	3	4
47	как и в	2	4
48	в этом отношении	1	4
49	на протяжении всего	1	4
50	а вовсе не	1	4
51	может быть и	2	4
52	друг к другу	6	4
53	ивана карамазова и	2	3
54	это не значит	2	3
55	что она не	1	3
56	в братьях карамазовых	5	3
57	к одному знаменателю	1	3
58	а может быть	1	3
59	потому что она	2	3
60	то же что	1	3
61	выходит за пределы	1	3
62	была для него	1	3
63	на то что	1	3
64	никогда не бывает	2	3
65	в обычном смысле	1	3
66	у достоевского нет	6	3
67	и в самом	3	3
68	что он сам	1	3
69	достоевского в его	1	3
70	да ведь это	1	3
71	в то время	2	3
72	не может найти	1	3
73	тем что он	2	3
74	т е в	1	3
75	мы увидим что	4	3
76	то время как	2	3
77	что у достоевского	1	3
78	что он не	3	2
79	в него как	1	2
80	в письме к	1	2
81	как будто бы	2	2
82	творчестве достоевского но	1	2
83	он не принимает	1	2
84	для этого необходимо	2	2
85	достоевский прежде всего	2	2
86	вы скажете что	1	2
87	он не только	2	2
88	для него не	2	2
89	достоевского в этом	1	2
90	достоевского никогда не	2	2
91	своей записной книжке	2	2
92	для того чтобы	4	2
93	никогда не может	2	2
94	не знает и	1	2
95	у достоевского никогда	2	2
96	ибо и в	1	2
97	как бы не	2	2
98	сохранить за собой	1	2
99	его отношения к	1	2
100	для него нет	2	2
101	достоевский не знает	1	2
102	творчество достоевского в	1	2
103	идеи в нем	1	2
104	вместе с тем	5	2
105	между этими двумя	1	2
106	записках из подполья	2	2
107	в чем не	2	2
108	он сам по	1	2
109	для него и	2	2
110	значит конечно что	1	2
111	в нем не	2	2
112	и по отношению	1	2
113	но не в	1	2
114	в записках из	2	2
115	к нему все	2	2
116	а не в	4	2
117	к тому что	1	2
118	как и всегда	2	2
119	но это не	3	2
120	ставит нас перед	1	2
121	и иван карамазов	2	2
122	прежде всего как	1	2
123	я уверен что	1	2
124	он должен быть	1	2
125	но она не	1	2
126	и в самой	1	2
127	может быть лишь	1	2
128	а следовательно и	1	2
129	в нем и	1	2
130	отношению к нему	1	2
131	в значительной степени	2	2
132	и та же	2	2
133	что все позволено	1	2
134	так же не	1	2
135	что он в	1	2
136	не только в	2	2
137	но у достоевского	1	2
138	в мою душу	1	2
139	не значит конечно	1	2
140	и в том	1	2
141	и не то	1	2
142	в своей записной	2	2
143	же как и	1	2
144	у него нет	4	2
145	одна и та	2	2
146	в себе и	2	2
147	кто бы он	1	2
148	что и в	3	2
149	прежде всего в	2	2
150	ни в чем	2	2
151	и не знает	1	2
152	а не о	1	2
153	так же как	1	1
154	и он сам	1	1
155	он никогда не	3	1
156	и есть та	1	1
157	не мог вынести	1	1
158	в этот момент	1	1
159	к нему не	1	1
160	и настасью филипповну	1	1
161	униженных и оскорбленных	1	1
162	ивана как бы	1	1
163	у него есть	1	1
164	достоевского особенно в	1	1
165	мышкина и рогожина	2	1
166	он не видит	1	1
167	иное отношение к	1	1
168	себя и других	1	1
169	настасьи филипповны и	1	1
170	может быть назван	3	1
171	иное чем у	1	1
172	все герои достоевского	3	1
173	записки из подполья	1	1
174	у достоевского это	3	1
175	что в мире	1	1
176	том что это	1	1
177	карамазова со смердяковым	1	1
178	в этом направлении	1	1
179	в себе в	1	1
180	не приводит в	1	1
181	у достоевского мы	1	1
182	достоевского не было	1	1
183	обладают лишь те	1	1
184	и у него	1	1
185	это имел в	1	1
186	и во всем	2	1
187	есть то что	1	1
188	он не знал	1	1
189	ставрогина ивана карамазова	1	1
190	у достоевского нельзя	1	1
191	по сравнению с	2	1
192	с собой он	1	1
193	к другу как	1	1
194	сих пор не	1	1
195	центре его творчества	1	1
196	во всех его	1	1
197	и его любовь	1	1
198	не дает никакой	1	1
199	заключает в себе	3	1
200	знает может быть	1	1
201	смысле слова это	1	1
202	прежде всего видит	1	1
203	братьях карамазовых но	1	1
204	в своем художественном	1	1
205	обращенность к своему	1	1
206	для себя и	1	1
207	все переходит в	1	1
208	не может уже	3	1
209	духа в этом	1	1
210	федор павлович карамазов	1	1
211	я не люблю	1	1
212	но достоевский не	1	1
213	человека он не	2	1
214	достоевский в своем	1	1
215	они не могут	1	1
216	творчества достоевского как	1	1
217	не в том	1	1
218	потому что в	4	1
219	он сам не	2	1
220	она не может	1	1
221	одно из самых	2	1
222	к чему бы	1	1
223	но и с	1	1
224	только с другой	1	1
225	его любовь к	1	1
226	его жизнь в	1	1
227	но и он	1	1
228	достоевского не только	1	1
229	не знает что	1	1
230	вводит достоевский в	1	1
231	нельзя понять его	1	1
232	оно менее всего	1	1
233	к матери подростка	1	1
234	но не только	1	1
235	в последний раз	1	1
236	у достоевского почти	1	1
237	не потому что	1	1
238	все более и	1	1
239	входит в содержание	1	1
240	он живет в	2	1
241	с ним как	1	1
242	достоевского нельзя найти	1	1
243	потому что он	3	1
244	и всегда у	1	1
245	и по ним	1	1
246	себе что он	1	1
247	в центре его	2	1
248	и для него	2	1
249	сам же он	1	1
250	возможно лишь в	1	1
251	за пределы своего	1	1
252	в себе он	1	1
253	старца зосимы в	1	1
254	том что все	1	1
255	и вместе с	4	1
256	убеждается что он	1	1
257	в нем нет	1	1
258	него на два	1	1
259	быть и речи	1	1
260	и кажется что	1	1
261	что до сих	1	1
262	и никогда не	3	1
263	что они не	1	1
264	в этом он	4	1
265	и у других	1	1
266	карамазова и др	1	1
267	собственной идеи не	1	1
268	потому что сознание	1	1
269	и петра верховенского	1	1
270	внутренние противоречия и	1	1
271	и к чему	2	1
272	потому что не	1	1
273	нужно сказать что	1	1
274	и есть то	1	1
275	слова а не	1	1
276	по сравнению со	1	1
277	одну и ту	1	1
278	к которому он	1	1
279	в платоновском смысле	1	1
280	имел в виду	1	1
281	у него не	1	1
282	ни в какие	1	1
283	что это не	2	1
284	новый момент в	2	1
285	не может не	2	1
286	в своей книге	2	1
287	переносится в вечность	1	1
288	как будто что-то	1	1
289	его личности и	1	1
290	а не только	3	1
291	что он мог	1	1
292	может быть что	1	1
293	берет на себя	1	1
294	не мог бы	2	1
295	всего того что	1	1
296	для него как	1	1
297	и потому не	3	1
298	в своем творчестве	3	1
299	только может быть	1	1
300	себя и для	1	1
301	от него и	1	1
302	чистый человек в	1	1
303	и его жизнь	1	1
304	в другом и	1	1
305	мог бы быть	1	1
