N	2gram	Medvedev_B	StatiiOP
1	и в	1	103
2	что в	1	74
3	не только	1	60
4	и не	2	41
5	было бы	1	32
6	все это	2	29
7	таким образом	1	28
8	а не	1	27
9	так и	1	25
10	все же	1	23
11	прежде всего	1	22
12	у нас	3	22
13	в области	1	22
14	в своей	1	19
15	с другой	1	18
16	об этом	1	18
17	в данном	1	17
18	можно было	2	16
19	в ней	2	16
20	другой стороны	1	15
21	и на	1	15
22	во всяком	1	13
23	всяком случае	1	13
24	не было	1	11
25	вопрос о	1	11
26	кроме того	1	10
27	на самом	1	10
28	в речи	1	8
29	совершенно не	1	8
30	и более	1	8
31	до конца	1	8
32	и о	1	8
33	что все	1	7
34	нельзя не	1	7
35	еще не	1	7
36	одной из	1	7
37	тем более	1	7
38	не все	1	7
39	говорить о	1	6
40	крайней мере	1	6
41	по крайней	1	6
42	и во	1	6
43	его не	1	6
44	вольный стих	1	6
45	не о	1	5
46	стр и	2	5
47	должна быть	1	5
48	и потому	1	5
49	к ней	1	5
50	как будто	1	5
51	всего в	1	4
52	на стр	2	4
53	будто бы	1	4
54	за пределы	1	4
55	в значительной	1	4
56	значительной степени	1	4
57	стр в	1	4
58	более что	1	4
59	в эпоху	1	4
60	больше чем	2	3
61	точно и	1	3
62	о них	1	3
63	не то	2	3
64	меньшей мере	1	3
65	по меньшей	1	3
66	неудивительно что	1	3
67	в книге	1	3
68	и ее	1	3
69	замечания о	1	3
70	также не	1	2
71	остановиться на	1	2
72	чтобы можно	1	2
73	следовало бы	1	2
74	не признать	1	2
75	то как	1	2
76	их что	1	2
77	бы только	1	2
78	не укладывается	1	2
79	и исторической	1	2
80	никак не	1	2
81	было и	1	2
82	далеко не	1	2
83	по отдельным	1	2
84	стиля и	1	2
85	стих и	1	2
86	видеть в	2	2
87	на которой	1	2
88	в пределах	1	2
89	заслуживает всяческого	1	1
90	по научной	1	1
91	и нет	1	1
92	не вполне	1	1
93	зато очень	1	1
94	в научном	1	1
95	первый опыт	1	1
96	книги в	1	1
97	чем на	1	1
98	между ними	1	1
99	отметить также	1	1
100	только более	1	1
101	это повторяется	1	1
102	творчества и	1	1
103	литературы поэтика	1	1
104	ясного и	1	1
105	основное значение	1	1
106	переходя к	1	1
107	создает впечатление	1	1
108	свободный стих	1	1
109	по этим	1	1
110	если таким	1	1
111	томашевского и	1	1
112	работа по	1	1
113	нас еще	1	1
114	целиком в	1	1
115	а о	1	1
116	работу по	1	1
117	как первый	1	1
118	г стр	1	1
119	не следует	1	1
120	ее задач	2	1
121	художественного произведения	1	1
122	говорить об	1	1
123	по нашему	1	1
