N	2gram	Propp_Isto	DiskursI
1	в качестве	5	72
2	а не	9	60
3	может быть	19	56
4	не только	30	49
5	и в	41	49
6	как и	8	47
7	тогда как	4	47
8	при этом	7	46
9	и не	12	44
10	в том	14	44
11	представляет собой	8	41
12	то есть	1	41
13	том что	18	40
14	в этом	19	38
15	в себе	3	37
16	состоит в	1	37
17	в частности	3	36
18	но и	20	35
19	своего рода	7	32
20	но не	8	31
21	отличие от	1	28
22	со стороны	3	28
23	но в	7	28
24	так и	8	28
25	не может	19	27
26	по своей	1	26
27	как в	17	25
28	еще не	13	23
29	а также	2	20
30	в своей	4	19
31	все же	14	19
32	в нем	12	19
33	прежде всего	6	19
34	далеко не	3	18
35	в основе	2	18
36	то же	12	17
37	в данном	8	17
38	с другой	20	17
39	по отношению	3	17
40	отношению к	3	17
41	точки зрения	4	16
42	только в	10	16
43	о том	15	15
44	то что	12	15
45	в его	4	15
46	не менее	5	14
47	можно сказать	3	14
48	одной стороны	12	14
49	с одной	12	14
50	не в	12	14
51	это не	14	14
52	как бы	8	13
53	в целом	2	13
54	при всей	1	12
55	в своем	3	12
56	того же	3	12
57	и на	12	12
58	и все	6	12
59	данном случае	7	12
60	не было	3	11
61	что в	21	11
62	с его	4	11
63	и как	3	11
64	не столько	4	10
65	а с	3	10
66	для себя	1	10
67	а в	12	10
68	в них	4	9
69	уже не	8	9
70	в силу	2	9
71	в то	6	9
72	героя в	3	9
73	сводится к	3	9
74	еще в	3	9
75	тем самым	3	9
76	в этих	16	8
77	и даже	3	8
78	к тому	4	8
79	в котором	3	8
80	в противоположность	1	8
81	в одном	2	8
82	из них	2	8
83	хотя и	3	8
84	он не	8	8
85	если в	3	8
86	совпадает с	1	8
87	потому что	13	8
88	соответствии с	1	8
89	человека в	1	8
90	как уже	1	8
91	не с	2	8
92	и о	2	8
93	о чем	2	7
94	другой стороны	17	7
95	таким образом	15	7
96	в русской	8	7
97	одной из	4	7
98	что и	13	7
99	тому же	1	7
100	его в	7	7
101	к этому	5	7
102	в этой	2	7
103	я в	1	7
104	могут быть	3	7
105	например в	6	7
106	ни в	4	7
107	приводит к	1	7
108	перед нами	4	7
109	но это	5	7
110	и ее	6	7
111	и его	11	7
112	не как	1	6
113	именно в	2	6
114	в сказании	3	6
115	одна из	7	6
116	никогда не	16	6
117	то в	1	6
118	с точки	1	6
119	в ее	3	6
120	в ситуации	1	6
121	не знает	2	6
122	во всех	8	6
123	стадиально более	1	6
124	героя и	5	6
125	однако в	2	6
126	в особенности	2	6
127	и то	3	6
128	что он	29	6
129	в которых	2	6
130	что же	2	6
131	здесь не	4	6
132	дело в	1	6
133	в одной	3	6
134	и может	1	6
135	отношение к	6	6
136	может служить	1	5
137	из двух	1	5
138	мысль о	1	5
139	по своим	3	5
140	в первую	8	5
141	в другом	2	5
142	не всегда	6	5
143	но они	4	5
144	не вполне	5	5
145	за рамки	1	5
146	перед ним	2	5
147	к ним	3	5
148	сказать что	5	5
149	на протяжении	1	5
150	к себе	4	5
151	для своего	1	5
152	но при	2	5
153	с ее	1	5
154	тем что	11	5
155	во второй	1	5
156	один из	7	5
157	представляют собой	5	5
158	себе не	2	5
159	оно не	2	5
160	в свою	1	5
161	к той	1	5
162	ничего не	7	5
163	того что	7	5
164	в литературе	2	5
165	того как	5	5
166	здесь в	1	5
167	в ней	4	5
168	мира и	2	5
169	в их	4	5
170	и потому	1	5
171	из этих	6	5
172	что касается	1	5
173	но она	2	5
174	стороны и	4	5
175	же самое	1	5
176	как будто	4	5
177	в самом	2	4
178	и к	1	4
179	говорит о	2	4
180	в результате	1	4
181	по мере	1	4
182	или на	1	4
183	и до	2	4
184	см в	2	4
185	в жизни	2	4
186	его на	2	4
187	отличается от	4	4
188	во всяком	3	4
189	восходит к	3	4
190	между двумя	2	4
191	чего не	1	4
192	только на	2	4
193	что они	5	4
194	указать на	1	4
195	тем не	4	4
196	связи с	3	4
197	не о	1	4
198	одним из	1	4
199	что не	3	4
200	я не	1	4
201	не есть	1	4
202	по себе	2	4
203	в исторической	1	4
204	и это	9	4
205	и весьма	1	4
206	и тем	4	4
207	как это	6	4
208	должны быть	4	4
209	это в	3	4
210	и есть	2	4
211	и мн	1	4
212	однако и	1	4
213	с ним	9	4
214	не могут	3	4
215	с ней	4	4
216	можно назвать	1	4
217	к другому	2	4
218	свое время	1	4
219	на примере	1	4
220	первобытного человека	1	4
221	и во	1	4
222	у них	3	4
223	не знают	1	4
224	этом случае	4	4
225	в свое	3	4
226	зависит от	1	4
227	того и	1	4
228	мы имеем	27	4
229	не для	1	4
230	есть в	1	4
231	и др	4	4
232	со своим	4	4
233	или в	11	4
234	с той	1	4
235	в какой	1	4
236	далеко еще	1	4
237	однако это	1	4
238	по своему	1	4
239	но уже	1	4
240	на его	6	4
241	а на	2	4
242	может иметь	1	4
243	в полной	1	4
244	а по	2	4
245	мн др	1	4
246	может и	1	4
247	более не	1	3
248	рассказ о	2	3
249	дело с	2	3
250	характер и	1	3
251	рассмотренных выше	1	3
252	на смену	2	3
253	более или	3	3
254	в мифе	4	3
255	но все	5	3
256	и сам	3	3
257	там же	3	3
258	их в	3	3
259	в одно	2	3
260	направлен на	2	3
261	на первый	6	3
262	первый взгляд	5	3
263	с этим	3	3
264	в действительности	2	3
265	вопрос о	6	3
266	в цикле	1	3
267	входит в	1	3
268	имея в	1	3
269	здесь оказывается	1	3
270	как на	3	3
271	имеем дело	1	3
272	момент в	1	3
273	это прежде	1	3
274	тут же	2	3
275	о ней	2	3
276	на почве	1	3
277	и он	8	3
278	в жертву	1	3
279	вплоть до	2	3
280	или не	1	3
281	в которой	2	3
282	на себя	3	3
283	в области	3	3
284	между собой	1	3
285	как у	2	3
286	но как	4	3
287	самому себе	1	3
288	и что	15	3
289	в тех	8	3
290	в форме	4	3
291	героя как	1	3
292	не просто	3	3
293	недостаточно для	1	3
294	но так	4	3
295	то ни	1	3
296	в иных	1	3
297	было бы	4	3
298	его как	2	3
299	о его	1	3
300	и от	5	3
301	и по	7	3
302	не случайно	3	3
303	еще одно	2	3
304	мире и	1	3
305	они и	1	3
306	них в	1	3
307	принадлежат к	1	3
308	исторического бытия	1	3
309	живет в	2	3
310	должна быть	3	3
311	оказывается в	1	3
312	обоих случаях	1	3
313	отношения к	2	3
314	как не	1	3
315	вместе с	17	3
316	где герой	3	3
317	и герой	4	3
318	не имеет	6	3
319	о котором	1	3
320	он мог	1	3
321	но оно	3	3
322	в главе	2	3
323	и более	2	3
324	позднее в	1	3
325	своей собственной	1	3
326	но здесь	5	3
327	на том	10	3
328	автора и	1	3
329	на основании	1	3
330	в обоих	1	3
331	заметить что	1	3
332	в сказке	57	3
333	тем же	1	3
334	как мы	6	3
335	может оказаться	1	3
336	всяком случае	3	3
337	на языке	1	3
338	ему в	1	3
339	мог быть	1	3
340	они не	4	3
341	и было	1	3
342	уже в	4	3
343	мы не	10	3
344	при встрече	1	3
345	сказки о	2	3
346	в полном	1	3
347	качестве примера	1	3
348	однако не	1	3
349	что ни	2	3
350	а о	1	3
351	на передний	2	3
352	в литературу	1	3
353	и без	1	3
354	все эти	8	3
355	или даже	3	3
356	в греческой	2	3
357	об этом	7	3
358	или менее	3	3
359	он говорит	4	3
360	и сказка	2	3
361	а его	3	3
362	она не	3	3
363	хотя бы	1	3
364	дело не	5	3
365	когда он	5	3
366	в начале	2	3
367	при всем	1	3
368	в большинстве	1	3
369	герой не	4	3
370	к ней	3	3
371	указывает на	1	3
372	передний план	2	3
373	жизни и	3	3
374	бытия в	1	3
375	для этого	1	3
376	и наконец	6	3
377	что на	1	3
378	во всем	2	2
379	мы можем	11	2
380	с этой	7	2
381	или по	1	2
382	еще более	1	2
383	в некоторых	2	2
