N	3gram	Medvedev_B	KulturaY
1	можно было бы	1	25
2	во всяком случае	1	19
3	с другой стороны	1	17
4	по крайней мере	1	13
5	тем более что	1	5
6	что все это	1	2
7	прежде всего в	1	2
8	так и более	1	1
9	теории словесности и	1	1
10	чтобы можно было	1	1
11	если таким образом	1	1
12	у нас еще	1	1
13	в своей книге	1	1
14	в значительной степени	1	1
15	что в пределах	1	1
16	еще не было	1	1
17	говорить об этом	1	1
18	так по крайней	1	1
19	по меньшей мере	1	1
20	нас еще не	1	1
21	можно было говорить	1	1
22	выходит за пределы	1	1
