N	4gram	Losev_Dial	Analitik
1	в то же время	7	14
2	не что иное как	4	6
3	есть не что иное	3	5
4	с той или иной	1	4
5	в том что он	1	4
6	по крайней мере в	3	3
7	дело в том что	1	3
8	одной и той же	1	3
9	мы имеем дело уже	1	2
10	ни в коем случае	1	2
11	но о том что	1	2
12	антитеза внутреннего и внешнего	1	2
13	не говоря уже о	1	2
14	одних и тех же	1	2
15	в коем случае не	1	2
16	одно и то же	8	2
17	но в то же	1	2
18	одна и та же	5	1
19	так что оно дано	1	1
20	не есть она сама	1	1
21	всегда говорит не о	1	1
22	ядро и переменчивые акциденции	1	1
23	видите здесь обязательно нечто	1	1
24	и эти два плана	1	1
25	совершенно необходима для понятия	1	1
26	внешнему что не есть	1	1
27	том или ином отношении	1	1
28	в том смысле что	3	1
29	еще ничего не говорит	1	1
30	два плана обязательно отождествляются	1	1
31	обязательно два различных плана	1	1
32	только тогда когда оно	2	1
33	плана обязательно отождествляются в	1	1
34	а в том что	1	1
35	необходима для понятия личности	1	1
36	на самом же деле	2	1
37	обязательно отождествляются в одном	1	1
38	вы видите здесь обязательно	1	1
39	есть всегда противопоставление себя	1	1
40	может и должно быть	1	1
41	оно дано только через	1	1
42	однако так что оно	1	1
43	то что не есть	1	1
44	и вместе с тем	1	1
45	не есть он сам	2	1
46	тем не менее в	1	1
47	в том что именно	2	1
48	коем случае не есть	1	1
49	а между тем в	1	1
50	эти два плана обязательно	1	1
51	плана и эти два	1	1
52	и как будто бы	1	1
53	как более или менее	2	1
54	два различных плана и	1	1
55	что не есть она	1	1
56	несмотря на то что	2	1
57	что не есть он	2	1
58	всему внешнему что не	1	1
59	что оно дано только	1	1
60	в одном неделимом лике	1	1
61	противопоставление себя всему внешнему	1	1
62	ни на что не	3	1
63	всегда противопоставление себя всему	1	1
64	отождествляются в одном неделимом	1	1
65	не есть миф и	1	1
66	вместе с ним и	1	1
67	друг с другом в	1	1
68	здесь обязательно нечто внутреннее	1	1
69	то или иное логическое	1	1
70	приводит к тому что	1	1
71	и в этом смысле	2	1
72	себя всему внешнему что	1	1
73	не в том что	1	1
74	различных плана и эти	1	1
75	дано только через внешнее	1	1
76	и не в том	1	1
77	ничего не говорит и	1	1
78	пребывающее ядро и переменчивые	1	1
