N	3gram	Berdyaev_N	Poddanst
1	в том что	1	4
2	не только в	1	4
3	сами по себе	1	3
4	с одной стороны	2	3
5	но и в	1	2
6	заключает в себе	1	2
7	нужно помнить что	1	2
8	в том числе	1	2
9	коммунистической партии в	1	1
10	философской мысли но	1	1
11	в эту эпоху	1	1
12	в последние годы	1	1
13	вместе с тем	2	1
14	том числе и	1	1
15	и в формах	1	1
16	в россии и	1	1
17	не может быть	4	1
18	и не менее	1	1
19	та или иная	1	1
20	в большинстве случаев	1	1
21	в отличие от	1	1
22	в этом смысле	2	1
23	есть прежде всего	1	1
24	что в этом	1	1
25	и пр в	1	1
26	в извращенной форме	1	1
27	или иная форма	1	1
28	во всяком случае	1	1
29	с другой стороны	2	1
30	россию от европы	1	1
31	в известном смысле	1	1
32	и не может	1	1
33	не в том	1	1
34	в жизни народа	1	1
35	так же как	2	1
