N	2gram	Bakhtin_KF	Stilisti
1	и в	28	42
2	как бы	9	30
3	не только	5	28
4	и т.п	1	25
5	прежде всего	4	22
6	и т.д	4	21
7	хотя бы	5	18
8	то же	5	16
9	но и	9	16
10	и не	28	14
11	может быть	45	13
12	не может	29	13
13	как и	5	12
14	что мы	1	11
15	мы уже	1	11
16	точки зрения	13	11
17	в этом	15	10
18	в себе	21	10
19	и как	2	10
20	мы должны	1	10
21	как мы	1	10
22	отнюдь не	7	10
23	мы не	3	9
24	при этом	4	9
25	все же	5	9
26	эти слова	1	9
27	то что	7	9
28	для того	3	9
29	в то	3	9
30	так как	1	8
31	с тем	2	8
32	и это	12	8
33	в ней	3	8
34	тем самым	4	8
35	с его	2	8
36	ничего не	3	8
37	и на	3	7
38	так и	2	7
39	мы можем	1	7
40	только в	18	7
41	в которой	1	7
42	зависимости от	1	7
43	и его	18	7
44	потому что	2	7
45	того чтобы	2	7
46	другими словами	1	7
47	и тем	3	7
48	же время	2	7
49	было бы	8	7
50	той же	1	7
51	и от	1	7
52	в зависимости	1	7
53	а не	17	7
54	никогда не	5	7
55	во всех	11	6
56	в его	42	6
57	не в	13	6
58	в нем	32	6
59	в процессе	2	6
60	но ведь	5	6
61	и так	1	6
62	на его	1	6
63	в свою	3	6
64	в форме	1	6
65	или как	2	6
66	когда мы	1	6
67	в этой	2	6
68	слова в	2	6
69	мы будем	1	6
70	или иной	2	6
71	в области	2	6
72	в самом	1	5
73	что язык	1	5
74	связанных с	1	5
75	то есть	1	5
76	и их	6	5
77	с точки	10	5
78	не является	1	5
79	в живом	1	5
80	самом деле	3	5
81	но все	6	5
82	и с	1	5
83	но в	5	5
84	тому что	2	5
85	мы никогда	1	5
86	вместе с	1	5
87	точек зрения	1	5
88	своей жизни	1	5
89	того или	3	5
90	а с	2	5
91	слова и	1	5
92	как это	1	5
93	а в	5	5
94	же самое	1	5
95	в нашем	1	5
96	художественного творчества	1	5
97	в сознании	2	5
98	и то	2	5
99	или иного	3	5
100	независимо от	3	5
101	и наконец	1	5
102	всего в	1	4
103	были бы	2	4
104	и к	1	4
105	мы видим	1	4
106	один из	2	4
107	всех своих	4	4
108	что это	4	4
109	все это	10	4
110	в качестве	2	4
111	или иную	1	4
112	в одном	5	4
113	его в	5	4
114	если бы	8	4
115	и все	9	4
116	уже не	7	4
117	к тому	1	4
118	о том	3	4
119	той или	3	4
120	в каждом	3	4
121	можно сказать	1	4
122	если мы	1	4
123	и пр	3	4
124	не существует	1	4
125	ту или	1	4
126	с определенной	1	4
127	так называемые	1	4
128	свою очередь	1	4
129	или иное	2	4
130	лишь в	8	4
131	в целом	10	4
132	себя в	8	4
133	в данной	1	4
134	тем же	1	4
135	слово не	3	4
136	что именно	1	4
137	не просто	1	4
138	то или	2	4
139	которой мы	1	4
140	того что	3	4
141	не к	1	4
142	построения и	1	3
143	и здесь	7	3
144	та же	3	3
145	что эти	1	3
146	как таковой	1	3
147	совершенно не	7	3
148	если он	1	3
149	для нас	4	3
150	в том	6	3
151	отношения к	1	3
152	несмотря на	1	3
153	для него	13	3
154	не имеем	3	3
155	хотя и	1	3
156	ни на	1	3
157	в ее	17	3
158	из которых	2	3
159	на самом	3	3
160	и уже	1	3
161	что и	7	3
162	в виду	3	3
163	между ними	1	3
164	и само	2	3
165	только он	1	3
166	и даже	1	3
167	здесь мы	4	3
168	в основе	5	3
169	жизни это	1	3
170	сознания не	2	3
171	содержание и	2	3
172	но для	3	3
173	может стать	1	3
174	все эти	11	3
175	как в	2	3
176	по своему	3	3
177	том что	4	3
178	вследствие этого	2	3
179	об этом	1	3
180	еще не	5	3
181	до того	1	3
182	но при	1	3
183	его и	2	3
184	нуждается в	1	3
185	а к	1	3
186	в котором	24	3
187	если не	2	3
188	как предмет	2	3
189	между тем	4	3
190	во второй	1	3
191	не знает	5	3
192	только на	1	3
193	не с	1	3
194	связь между	1	3
195	конечно не	7	3
196	от того	3	3
197	ведь если	1	3
198	их в	1	3
199	мы ни	1	3
200	не становится	1	3
201	нет и	3	3
202	не будет	2	3
203	главным образом	1	3
204	будем говорить	1	3
205	жизни и	8	3
206	слово и	1	3
207	этого слова	2	3
208	и эта	2	3
209	к той	1	3
210	не мог	1	3
211	и для	10	3
212	это не	10	3
213	деятельности и	2	3
214	он должен	1	3
215	события и	2	2
216	находятся в	1	2
217	нашего исследования	1	2
218	в душе	1	2
219	и он	1	2
220	мы найдем	1	2
221	и этот	3	2
222	и конечно	2	2
223	ничем не	1	2
224	как с	1	2
225	где и	1	2
226	должно быть	6	2
227	зависит от	1	2
228	и вследствие	1	2
229	был бы	3	2
230	и потому	2	2
231	мы имеем	5	2
232	еще более	2	2
233	другого человека	1	2
234	ни к	2	2
235	с ним	5	2
236	но как	5	2
237	в отношении	1	2
238	это слово	1	2
239	смысле этого	1	2
240	с собой	1	2
241	но это	6	2
242	в их	9	2
243	слова мы	1	2
244	связь с	1	2
245	в своих	4	2
246	не было	8	2
247	или в	1	2
248	том же	1	2
249	мой поступок	6	2
250	к чему	3	2
251	с ней	1	2
252	всех его	2	2
253	равно как	1	2
254	но эта	6	2
255	но не	12	2
256	тем что	3	2
257	я и	5	2
258	говорить в	1	2
259	в жизни	2	2
260	т.е от	1	2
261	ясно что	3	2
262	как не	1	2
263	что он	2	2
264	помнить что	1	2
265	быть понято	1	2
266	для каждого	1	2
267	не есть	22	2
268	в своей	11	2
269	в мире	8	2
270	в этих	1	2
271	миру и	1	2
272	и переживания	1	2
273	в действительной	4	2
274	больше и	1	2
275	по своей	1	2
276	войти в	3	2
277	разве не	2	2
278	себе и	3	2
279	в каком	4	2
280	не нужно	2	2
281	должен быть	7	2
282	но мы	1	2
283	сих пор	1	2
284	с этим	1	2
285	нет ничего	1	2
286	нуждаются в	1	2
287	к этому	2	2
288	бы не	3	2
289	которого и	2	2
290	бы и	3	2
291	при условии	2	2
292	между собой	1	2
293	вопрос о	2	2
294	как одно	1	2
295	со всех	1	2
296	теперь к	1	2
297	в значительной	1	2
298	его не	1	2
299	ни один	1	2
300	не должен	3	2
301	и ни	3	2
302	относится к	1	2
303	также и	1	2
304	в какой	1	2
305	человека все	1	2
306	он не	6	2
307	этот процесс	1	2
308	бытия в	5	2
309	только тогда	1	2
310	и кроме	1	2
311	в него	2	2
312	для этого	2	2
313	и когда	2	2
314	по отношению	26	2
315	времени и	4	2
316	бы иной	1	2
317	значительной степени	1	2
318	не должно	3	2
319	т.п но	1	2
320	ту же	1	2
321	человека и	3	2
322	себе в	1	2
323	все бытие	1	2
324	отношение к	6	2
325	и содержание	5	2
326	вовсе не	7	2
327	одной из	1	2
328	совершенно иначе	1	2
329	тот же	3	2
330	до конца	3	2
331	лишь путем	1	2
332	в первой	1	2
333	место в	6	2
334	к миру	1	2
335	отношению к	22	2
336	здесь не	3	2
337	всякое выражение	1	2
338	человек не	2	2
339	чему не	2	2
340	ведь и	1	2
341	друг друга	1	2
342	в движении	1	2
343	не из	2	2
344	действительной жизни	3	2
345	подойти к	1	2
346	человечества но	1	2
347	гораздо более	2	2
348	конечно только	1	2
349	к нему	12	2
350	моментом является	1	1
351	уже с	1	1
352	сознанию ясно	1	1
353	что в	4	1
354	действие и	1	1
355	мира как	2	1
