N	3gram	Propp_Russ	NovoeSre
1	не может быть	1	4
2	подобно тому как	3	3
3	не значит что	2	3
4	вопрос о том	1	2
5	ни одна из	2	2
6	вместе с тем	10	2
7	так же как	5	2
8	с одной стороны	1	2
9	это не значит	2	2
10	быть не может	1	1
11	прежде всего как	1	1
12	в том что	27	1
13	применяя к ним	1	1
14	тому как в	1	1
15	в такой же	1	1
16	как будто бы	1	1
17	и потому что	2	1
18	не только потому	1	1
19	можно было бы	2	1
20	только потому что	1	1
21	не только в	1	1
22	но и в	1	1
23	в большинстве случаев	2	1
24	в том чтобы	2	1
25	в отличие от	4	1
26	должен быть признан	1	1
27	но она не	1	1
28	есть вместе с	1	1
29	о том что	6	1
30	же как и	3	1
31	что в этом	2	1
32	и того же	1	1
33	наряду с этим	1	1
34	как и в	1	1
35	то что в	1	1
36	но и потому	1	1
37	во всяком случае	1	1
38	дай бог чтобы	1	1
39	и через них	1	1
40	в то время	3	1
41	имея в виду	1	1
42	как будто не	1	1
43	это и есть	1	1
44	то время как	1	1
45	о том чтобы	1	1
46	одного и того	1	1
