N	4gram	Vygotskiy_	OGranits
1	до тех пор пока	2	3
2	не что иное как	2	2
3	одно и то же	1	2
4	есть не что иное	1	2
5	что те или иные	1	1
6	состоит в том что	1	1
7	с этой точки зрения	5	1
8	само по себе а	1	1
9	в то же время	2	1
10	и подобно тому как	1	1
11	в узком смысле слова	1	1
12	и не может быть	1	1
13	в том что в	1	1
14	с его точки зрения	1	1
15	что до тех пор	1	1
16	и более или менее	1	1
17	указать на то что	1	1
18	в собственном смысле слова	2	1
19	один и тот же	2	1
20	не может быть объяснено	2	1
21	само собой разумеется что	1	1
