N	2gram	Bakhtin_KF	formyVre
1	и в	28	148
2	в этом	15	73
3	то есть	1	70
4	в нем	32	51
5	прежде всего	4	46
6	и не	28	37
7	в его	42	36
8	и его	18	36
9	вовсе не	7	35
10	но и	9	33
11	то же	5	32
12	не только	5	32
13	в литературе	1	32
14	но в	5	31
15	жизни и	8	31
16	так и	2	29
17	может быть	45	27
18	не в	13	26
19	как мы	1	26
20	как и	5	25
21	как бы	9	25
22	человеческой жизни	1	24
23	точки зрения	13	24
24	мы уже	1	24
25	только в	18	23
26	в то	3	23
27	времени и	4	23
28	в том	6	22
29	то что	7	22
30	во всех	11	21
31	жизни в	5	21
32	же время	2	21
33	все эти	11	21
34	в своем	17	19
35	и др	1	19
36	и на	3	19
37	и для	10	19
38	и все	9	18
39	еще не	5	18
40	при этом	4	17
41	с этим	1	17
42	так как	1	17
43	человека и	3	17
44	все же	5	16
45	того же	1	16
46	в основе	5	16
47	и во	1	16
48	и их	6	16
49	не может	29	16
50	в одном	5	15
51	никогда не	5	15
52	с точки	10	15
53	с его	2	15
54	вместе с	1	15
55	лишь в	8	15
56	и как	2	14
57	и с	1	14
58	его жизни	3	14
59	всех этих	3	14
60	а не	17	14
61	как раз	1	14
62	все это	10	14
63	в самом	1	13
64	в котором	24	13
65	для того	3	13
66	с ним	5	13
67	как в	2	13
68	здесь в	1	13
69	в их	9	13
70	того чтобы	2	13
71	а в	5	13
72	же в	1	13
73	и до	1	12
74	конечно не	7	12
75	не было	8	12
76	он не	6	12
77	отнюдь не	7	12
78	что в	4	12
79	потому что	2	12
80	в истории	1	12
81	ничего не	3	12
82	но не	12	12
83	и наконец	1	12
84	хотя и	1	11
85	его в	5	11
86	между ними	1	11
87	ни в	12	11
88	смерть и	1	11
89	мира и	4	11
90	в ней	3	11
91	и времени	1	11
92	уже не	7	10
93	и того	2	10
94	входит в	4	10
95	в ее	17	10
96	сих пор	1	10
97	также и	1	10
98	до сих	1	10
99	на основе	7	10
100	здесь не	3	10
