N	2gram	Trubetskoy	VelikijI
1	во имя	5	32
2	и не	19	20
3	и в	14	16
4	так как	4	9
5	то что	13	9
6	в истории	1	8
7	к богу	7	8
8	еще не	3	8
9	и потому	3	7
10	что они	3	7
11	а не	2	7
12	на земле	4	7
13	не есть	3	6
14	того что	3	5
15	все это	6	5
16	по пути	1	5
17	как бы	4	5
18	на себя	2	5
19	в мире	4	5
20	но и	10	5
21	все что	4	4
22	в котором	2	4
23	в этом	17	4
24	потому что	5	4
25	в его	4	4
26	в ней	2	4
27	всех существ	1	4
28	так и	1	4
29	говорить о	3	4
30	с богом	1	4
31	они будут	2	4
32	мы хотим	1	4
33	и есть	2	4
34	мира сего	1	4
35	и все	1	4
36	что не	1	4
37	что все	3	4
38	как и	4	4
39	что он	6	4
40	мира от	3	4
41	в нем	5	4
42	во всех	5	3
43	что в	4	3
44	и мы	1	3
45	за ним	1	3
46	не нужна	2	3
47	то это	3	3
48	в конце	3	3
49	должно быть	3	3
50	нас и	1	3
51	если не	2	3
52	хотя бы	5	3
53	в том	17	3
54	любовь к	2	3
55	тому что	2	3
56	личности и	1	3
57	от которого	1	3
58	не в	4	3
59	не захотел	1	3
60	и что	2	3
61	что и	3	3
62	ни в	2	3
63	они в	1	3
64	превращается в	1	3
65	в этих	2	3
66	не было	3	3
67	лишь в	3	3
68	к чему	2	3
69	что во	1	3
70	не верит	1	3
71	и будет	1	3
72	в жизни	1	3
73	по этому	2	3
74	как не	1	3
75	их в	2	3
76	в своей	5	3
77	должна быть	2	3
78	всех людей	2	3
79	от этого	1	3
80	но это	2	3
81	и для	6	3
82	жизни и	4	3
83	все эти	2	3
84	но в	2	3
85	к тому	7	3
86	за то	2	3
87	никогда не	5	3
88	людей в	1	3
89	чтобы сделать	1	2
90	всего в	1	2
91	богу и	1	2
92	во всяком	9	2
93	от него	2	2
94	его и	2	2
95	ее и	1	2
96	в смысл	1	2
97	один из	1	2
98	этому пути	1	2
99	самого себя	7	2
100	которые не	1	2
101	на том	3	2
102	не так	2	2
103	того чтобы	8	2
104	это не	1	2
105	между тем	5	2
106	не только	9	2
107	для него	6	2
108	и тогда	2	2
109	с ним	2	2
110	которой они	1	2
111	авторитетом и	1	2
112	не будет	7	2
113	основанную на	1	2
114	ее в	2	2
115	для нас	2	2
116	и то	4	2
117	и за	1	2
118	прежде всего	8	2
119	для них	3	2
120	можно было	4	2
121	совести и	1	2
122	людей и	2	2
123	а между	5	2
124	и это	1	2
125	от этих	1	2
126	мы не	1	2
127	конечно не	5	2
128	и теперь	1	2
129	только в	5	2
130	все равно	1	2
131	а с	2	2
132	полного и	1	2
133	а в	5	2
134	соединения и	1	2
135	в духе	1	2
136	в прошлом	1	2
137	нет и	1	2
138	верит в	1	2
139	раз навсегда	2	2
140	но не	4	2
141	и будут	3	2
142	тем что	3	2
143	тот кто	1	2
144	и во	3	2
145	могут быть	1	2
146	с тем	6	2
147	и т	3	2
148	одна из	3	2
149	во главе	2	2
150	не могут	4	2
151	да и	3	2
152	том что	9	2
153	для человека	1	2
154	но мы	3	2
155	в себя	1	2
156	уже не	2	2
157	не к	2	2
158	от своей	2	2
159	жизни но	1	1
160	основанной на	1	1
161	в самом	3	1
162	во всем	4	1
163	бы то	4	1
164	природы в	1	1
165	связь с	1	1
166	то есть	1	1
167	люди что	1	1
168	его личности	1	1
169	было не	1	1
170	а потому	5	1
171	человека в	1	1
172	но как	1	1
173	чудо и	1	1
174	ее к	1	1
175	что оно	3	1
176	людей от	1	1
177	любви и	1	1
178	человеческой жизни	1	1
179	с родным	1	1
180	речь идет	2	1
181	и на	5	1
182	ничем не	1	1
183	она и	1	1
184	вопрос о	5	1
185	человеку не	1	1
186	не захотят	1	1
187	же и	1	1
188	может быть	9	1
189	хоть и	1	1
190	они не	1	1
191	себя только	1	1
192	конкретные формы	1	1
193	должен привести	1	1
194	свое место	1	1
195	если в	6	1
196	воплощение в	1	1
197	эта не	1	1
198	это как	1	1
199	которая в	1	1
200	где есть	1	1
201	общественной жизни	2	1
202	и вот	2	1
203	она не	2	1
204	но она	2	1
205	в состоянии	1	1
206	для себя	2	1
207	с этой	1	1
208	то же	11	1
209	и если	7	1
210	для всякого	1	1
211	во что	3	1
212	по сравнению	1	1
213	то ни	4	1
214	для того	6	1
215	это только	2	1
216	не по	1	1
217	освободиться от	1	1
218	не быть	1	1
219	не для	1	1
220	эта идея	1	1
221	силы на	1	1
222	ничего кроме	1	1
223	не поднимается	1	1
224	что это	3	1
225	не всегда	1	1
226	в разных	1	1
227	от всякой	1	1
228	в глазах	2	1
229	в ее	1	1
230	и тем	2	1
231	души и	1	1
232	сознании и	1	1
233	возможна лишь	1	1
234	как это	1	1
235	по духу	3	1
236	от этой	2	1
237	мы в	1	1
