N	4gram	Voloshinov	KulturaY
1	до тех пор пока	2	7
2	в то же время	7	6
3	с этой точки зрения	1	5
4	не говоря уже о	1	5
5	одного и того же	9	4
6	и пр и пр	5	4
7	но для того чтобы	1	3
8	говоря уже о том	1	3
9	в большей или меньшей	1	3
10	уже о том что	1	3
11	в том что он	3	3
12	лишь с точки зрения	3	2
13	в той или иной	3	2
14	не что иное как	1	2
15	одной и той же	2	2
16	в собственном смысле слова	2	2
17	один и тот же	3	2
18	одним и тем же	2	2
19	идет конечно не об	1	1
20	и в том что	1	1
21	никогда не может быть	1	1
22	ничего не могло дать	1	1
23	в самом деле среди	1	1
24	с нашей точки зрения	1	1
25	ни в коем случае	2	1
26	что же касается до	1	1
27	все же и здесь	1	1
28	в коем случае нельзя	1	1
29	в широком смысле слова	1	1
30	того или иного языкового	1	1
31	в самом деле ведь	2	1
32	и в таком случае	1	1
33	уже с самого начала	2	1
34	но все же и	1	1
35	той или иной форме	1	1
36	же и здесь мы	1	1
37	не выходит за пределы	1	1
38	все более и более	2	1
39	не с точки зрения	1	1
40	нас интересуют не столько	1	1
41	и то же слово	2	1
42	одно и то же	3	1
43	дело в том что	1	1
44	если мы взглянем на	1	1
45	и не может быть	5	1
46	вместо того чтобы искать	1	1
47	между первым и вторым	3	1
48	выражение в том что	1	1
49	той степени в какой	1	1
50	с точки зрения ее	1	1
51	в связи с этим	3	1
52	на этот вопрос мы	2	1
53	а может быть и	1	1
54	в этом отношении и	1	1
55	отсюда следует что в	1	1
56	но во всяком случае	1	1
57	то же самое что	1	1
58	таким образом рядом с	1	1
59	той или иной степени	2	1
60	в зависимости от той	1	1
61	сводится к тому что	1	1
62	во всяком случае все	1	1
63	на то что его	1	1
64	несмотря на то что	1	1
65	свое выражение в том	1	1
66	есть но он не	1	1
67	смысле этого слова и	1	1
68	бы то ни было	11	1
69	с какой точки зрения	1	1
70	и с точки зрения	1	1
71	в этом последнем случае	1	1
72	во-первых с точки зрения	1	1
73	во всех этих случаях	1	1
74	приводит к тому что	1	1
75	языка какую дает нам	1	1
76	в той степени в	1	1
77	какой бы то ни	3	1
78	история языка таким образом	1	1
79	для того чтобы понять	2	1
80	находит свое выражение в	1	1
