N	3gram	Trubetskoy	formyVre
1	то же время	10	21
2	в то же	10	18
3	в связи с	1	15
4	с точки зрения	9	15
5	друг с другом	14	13
6	для того чтобы	6	12
7	до сих пор	5	10
8	и того же	1	9
9	одного и того	1	9
10	в большинстве случаев	2	8
11	в том числе	1	8
12	и прежде всего	1	8
13	не может быть	4	7
14	в этом отношении	1	7
15	прежде всего в	1	7
16	в том же	1	6
17	друг от друга	2	6
18	и в этом	1	6
19	во всех этих	1	6
20	в том что	7	5
21	то есть не	1	5
22	том числе и	1	5
23	той или иной	3	5
24	и не только	1	5
25	по отношению к	1	4
26	о которых мы	1	4
27	прежде всего необходимо	1	4
28	и в других	1	4
29	но все же	1	4
30	в его целом	1	4
31	в этом случае	3	4
32	во всяком случае	6	4
33	и как бы	1	3
34	до известной степени	1	3
35	но при этом	1	3
36	к вопросу о	3	3
37	то же самое	1	3
38	вместе с тем	3	3
39	в другом месте	1	3
40	а следовательно и	2	3
41	и в частности	1	3
42	но в то	1	3
43	о том что	2	3
44	так же как	1	3
45	как бы ни	1	3
46	с самого начала	1	3
47	жизни и в	1	3
48	тот или иной	1	3
49	друг к другу	1	3
50	в данной стране	1	2
51	связаны друг с	1	2
52	только в этом	1	2
53	но по существу	1	2
54	и вместе с	2	2
55	в данном случае	3	2
56	принципиально отличается от	1	2
57	к тому же	1	2
58	роль в истории	1	2
59	самому своему существу	1	2
60	неразрывно связаны с	1	2
61	своей жизни в	1	2
62	само собой разумеется	1	2
63	в борьбе с	1	2
64	в свою очередь	1	2
65	не только для	1	2
66	в значительной мере	2	2
67	и должно быть	1	2
68	собой разумеется что	1	2
69	жизни но и	1	2
70	тем более что	1	2
71	дело в том	1	2
72	к тому что	2	2
73	с самим собой	2	2
74	по самому своему	2	2
75	с другом и	2	2
76	в нем все	1	2
77	потому что они	1	2
78	которая в свою	1	1
79	что он не	2	1
80	воплощает в себе	1	1
81	но она не	2	1
82	или иной момент	1	1
83	никогда не был	1	1
84	не уменьшает а	1	1
85	для борьбы с	1	1
86	не могло бы	1	1
87	в применении к	1	1
88	только для того	1	1
89	и т.д эта	1	1
90	говорили в начале	1	1
91	поэтому для них	1	1
92	и в другом	2	1
93	основе его лежит	1	1
94	только в том	2	1
95	в совершенно ином	1	1
96	мы подходим к	1	1
97	в самом деле	1	1
98	не могут не	2	1
99	себя только в	1	1
100	тем не менее	1	1
101	здесь же мы	1	1
102	с ним в	1	1
103	с нею в	1	1
104	более или менее	4	1
105	с другом в	1	1
106	за то что	1	1
107	все они имеют	1	1
108	своей собственной природы	1	1
109	совершенно ясно что	1	1
110	жизни конечно не	1	1
111	нечего и говорить	1	1
112	тогда когда они	2	1
113	которых мы говорили	1	1
114	и во всем	1	1
115	и тот факт	1	1
116	и все же	1	1
117	конечно не может	1	1
118	точки зрения в	1	1
119	мы уже знаем	1	1
120	не может не	3	1
121	одну и ту	1	1
122	к участию в	1	1
123	и вопрос о	1	1
124	в этих последних	1	1
125	сама по себе	2	1
126	только то что	1	1
127	и во всяком	2	1
128	как бы не	1	1
129	никогда не было	1	1
130	так же и	1	1
131	в значительной степени	1	1
132	и в том	2	1
133	или хотя бы	1	1
134	и не может	3	1
135	ему что он	1	1
136	во всем мире	1	1
137	мы говорили в	2	1
138	самим собой это	2	1
139	прежде всего о	1	1
140	прежде всего на	1	1
141	и ту же	1	1
142	эта точка зрения	1	1
143	точки зрения таких	1	1
144	в некоторых из	1	1
145	от которой нельзя	1	1
146	все же особенно	1	1
147	тот факт что	2	1
148	еще не было	1	1
149	некоторых из них	1	1
150	в этом и	1	1
151	что в этих	1	1
152	в основе его	1	1
153	однако они были	1	1
154	на самом деле	6	1
155	к богу то	1	1
156	и с точки	1	1
157	смысле этого слова	1	1
158	его жизни и	1	1
159	жизни в котором	1	1
160	в лучшем случае	3	1
161	всех этих случаях	1	1
162	и в своем	1	1
163	в конце концов	3	1
164	и ни от	1	1
165	что касается до	1	1
166	никак не могла	1	1
167	и в некоторых	1	1
168	на первый взгляд	1	1
169	будет участвовать в	1	1
170	всем существом своим	1	1
171	в себе и	2	1
172	к себе и	1	1
173	есть по существу	1	1
174	но и для	1	1
175	в другом случае	2	1
176	сводится к тому	1	1
