N	2gram	Medvedev_S	StatiiOP
1	и в	3	103
2	в том	5	89
3	том что	2	77
4	в этом	5	76
5	что в	2	74
6	не только	3	60
7	о том	1	47
8	но и	2	46
9	то что	2	44
10	что он	1	42
11	в его	3	42
12	и не	1	41
13	может быть	2	38
14	было бы	2	32
15	в этой	1	31
16	вовсе не	1	31
17	тем что	1	29
18	все это	7	29
19	таким образом	2	28
20	а в	1	27
21	что это	1	25
22	так и	1	25
23	и его	1	24
24	все же	1	23
25	не в	3	23
26	прежде всего	1	22
27	в области	1	22
28	это не	1	20
29	в своей	1	19
30	в то	1	19
31	только в	2	19
32	в котором	1	18
33	с другой	1	18
34	не может	1	18
35	как бы	2	17
36	в данном	1	17
37	в этих	1	16
38	как и	1	15
39	у него	1	15
40	то же	2	14
41	между тем	1	14
42	и что	2	14
43	именно в	1	13
44	во всяком	1	13
45	а с	1	13
46	в конце	2	13
47	всяком случае	1	13
48	тому что	1	13
49	хотя бы	1	12
50	в них	1	11
51	никогда не	1	11
52	не было	1	11
53	и по	1	11
54	все эти	1	11
55	в целом	1	10
56	же время	1	10
57	ничего не	1	10
58	но не	1	10
59	в частности	2	10
60	в чем	1	9
61	в каждом	1	9
62	вряд ли	1	9
63	для нас	3	9
64	место в	1	9
65	но ведь	3	8
66	в результате	2	8
67	к которому	2	8
68	что она	1	8
69	связи с	1	8
70	и более	1	8
71	дело не	2	8
72	и о	1	8
73	по себе	1	7
74	что все	1	7
75	том как	1	7
76	еще не	2	7
77	еще и	1	7
78	на этот	1	7
79	этой области	1	7
80	в виде	1	7
81	тем более	2	7
82	конце концов	2	7
83	отношению к	2	7
84	по отношению	2	6
85	даже в	1	6
86	крайней мере	1	6
87	должно было	1	6
88	по крайней	1	6
89	тем же	1	6
90	мы не	1	6
91	ни на	1	6
92	по существу	2	6
93	что на	1	6
94	одной стороны	1	5
95	конечно не	1	5
96	поэта и	1	5
97	что эти	1	5
98	с одной	1	5
99	его в	1	5
100	даже не	1	5
101	стр и	1	5
102	столь же	1	5
103	один из	1	5
104	должна быть	2	5
105	это и	2	5
106	в сущности	1	5
107	и потому	1	5
108	и только	3	5
109	как будто	2	5
110	эти вопросы	1	4
111	очевидно что	2	4
112	в связи	1	4
113	в смысле	2	4
114	но как	1	4
115	литературы и	2	4
116	за пределы	2	4
117	они не	1	4
118	в процессе	1	4
119	более чем	3	4
120	быть не	1	4
121	для изучения	1	4
122	стр в	1	4
123	он говорит	1	4
124	же это	1	4
125	для этого	1	4
126	работы в	1	3
127	с помощью	1	3
128	может служить	1	3
129	я и	1	3
130	бы в	1	3
131	в лучшем	1	3
132	в наше	1	3
133	не дает	1	3
134	это же	1	3
135	образом в	1	3
136	наше время	1	3
137	будто в	1	3
138	которая должна	1	3
139	перед нами	1	3
140	наконец в	1	3
141	на основании	1	3
142	но именно	1	3
143	идей и	2	3
144	может не	1	3
145	и как	1	3
146	лучшем случае	1	3
147	и наконец	1	3
148	история литературы	1	2
149	между собою	1	2
150	тех кто	1	2
151	это значит	1	2
152	или нет	1	2
153	те же	1	2
154	одно дело	2	2
155	стр но	1	2
156	не пошел	1	2
157	он по	1	2
158	ли не	1	2
159	темы и	1	2
160	связь между	1	2
161	а между	1	2
162	настоящее время	1	2
163	именно на	1	2
164	иначе и	1	2
165	время в	1	2
166	между собой	1	2
167	опираясь на	1	2
168	но только	1	2
169	не место	1	2
170	когда мы	1	2
171	это вовсе	1	2
172	хотелось бы	1	2
173	какой же	1	2
174	бы они	1	2
175	никак не	1	2
176	и русская	1	2
177	всему этому	1	2
178	так называемым	1	2
179	а тем	1	2
180	только тогда	1	2
181	пишет он	1	2
182	ни были	1	2
183	далеко не	2	2
184	и стиля	1	2
185	в настоящее	1	2
186	чуть ли	1	2
187	истории литературы	10	2
188	на что	1	2
189	ведь это	2	2
190	этом не	1	2
191	на все	1	2
192	в таких	1	2
193	нужно было	2	2
194	же самое	1	2
195	к изучению	1	2
196	бы он	1	2
197	эти два	1	2
198	новое и	1	1
199	тех методов	1	1
200	стиль в	1	1
201	что творчество	1	1
202	этому соответствует	1	1
203	вступает в	1	1
204	и самые	1	1
205	положения в	1	1
206	так наз	1	1
