N	2gram	Medvedev_F	VelikijI
1	и не	34	20
2	и в	54	16
3	так как	4	9
4	то что	14	9
5	в истории	10	8
6	в пустыне	1	8
7	еще не	6	8
8	и потому	9	7
9	что они	4	7
10	а не	11	7
11	не есть	4	6
12	хотя и	3	5
13	того что	7	5
14	все это	11	5
15	как бы	10	5
16	на себя	1	5
17	в мире	4	5
18	но и	18	5
19	в котором	2	4
20	в этом	39	4
21	потому что	2	4
22	в его	30	4
23	в ней	15	4
24	так и	24	4
25	говорить о	4	4
26	и есть	1	4
27	и все	9	4
28	что не	4	4
29	в образе	1	4
30	как и	18	4
31	что он	8	4
32	нет у	1	4
33	в нем	25	4
34	во всех	9	3
35	что в	10	3
36	бы и	1	3
37	и против	1	3
38	то это	1	3
39	в конце	2	3
40	должно быть	13	3
41	в первый	5	3
42	если не	1	3
43	хотя бы	10	3
44	в том	17	3
45	любовь к	1	3
46	тому что	3	3
47	не в	16	3
48	и что	2	3
49	что и	10	3
50	ни в	3	3
51	они в	2	3
52	превращается в	2	3
53	в этих	3	3
54	в них	4	3
55	оно не	6	3
56	не было	7	3
57	лишь в	15	3
58	что во	1	3
59	в жизни	3	3
60	по этому	2	3
61	как не	1	3
62	их в	2	3
63	в своей	16	3
64	должна быть	11	3
65	с его	12	3
66	от этого	3	3
67	не имеет	2	3
68	но это	4	3
69	и для	5	3
70	жизни и	10	3
71	в чем	2	3
72	все эти	12	3
73	но в	9	3
74	к тому	6	3
75	никогда не	6	3
76	людей в	1	3
77	чтобы сделать	1	2
78	что было	2	2
79	всего в	5	2
80	во всяком	6	2
81	им что	1	2
82	от него	2	2
83	его и	2	2
84	материалом для	2	2
85	ее и	3	2
86	этого самого	1	2
87	что от	1	2
88	а к	2	2
89	один из	4	2
90	мы и	1	2
91	не могли	2	2
92	в последнем	2	2
93	они и	2	2
94	чтобы овладеть	1	2
95	не создает	1	2
96	его не	2	2
97	не так	4	2
98	того чтобы	4	2
99	это не	4	2
100	это все	1	2
101	вместо того	1	2
102	между тем	4	2
103	не только	14	2
104	для него	9	2
105	вот почему	1	2
106	и тогда	1	2
107	с ним	3	2
108	на этих	1	2
109	является в	2	2
110	не будет	2	2
111	ее в	3	2
112	для нас	1	2
113	и то	1	2
114	не с	2	2
115	прежде всего	34	2
116	для них	4	2
117	который тоже	1	2
118	можно было	1	2
119	в форме	2	2
120	людей и	1	2
121	а между	1	2
122	вслед за	1	2
123	и это	4	2
124	от этих	2	2
125	мы не	6	2
126	конечно не	5	2
127	только в	6	2
128	все равно	1	2
129	а с	1	2
130	под этим	1	2
131	а в	11	2
132	в духе	1	2
133	и сам	1	2
134	нет и	2	2
135	но не	5	2
136	тем что	6	2
137	вера в	1	2
138	и во	2	2
139	могут быть	7	2
140	значения и	4	2
141	с тем	11	2
142	и т	22	2
143	одна из	2	2
144	во главе	1	2
145	его к	1	2
146	не могут	8	2
147	т д	11	2
148	да и	1	2
149	и новые	1	2
150	том что	3	2
151	без смысла	1	2
152	для человека	1	2
153	уже не	9	2
154	мира в	2	2
155	не к	2	2
156	жизни но	2	1
157	как байрон	1	1
158	с которыми	1	1
159	в самом	17	1
160	во всем	3	1
161	бы то	4	1
162	ли они	2	1
163	мире и	1	1
164	перестает быть	3	1
165	были в	1	1
166	связь с	1	1
167	и другие	3	1
168	и стало	1	1
169	было не	1	1
170	но как	2	1
171	все в	3	1
172	нужно знать	1	1
173	мы видим	1	1
174	и самое	1	1
175	ее к	2	1
176	если оно	1	1
177	самой жизни	1	1
178	что оно	4	1
179	на котором	2	1
180	для нашего	2	1
181	должно иметь	1	1
182	только слово	1	1
183	сами же	2	1
184	и на	10	1
185	ничем не	4	1
186	она и	1	1
187	вопрос о	3	1
188	на этом	2	1
189	же и	2	1
190	может быть	30	1
191	они не	7	1
192	видим что	1	1
193	очень важное	1	1
