N	3gram	Potebnia_M	Komedia
1	в том что	18	29
2	в то же	3	16
3	то же время	3	16
4	до сих пор	5	16
5	о том что	1	13
6	и т п	4	11
7	для того чтобы	4	11
8	в то время	3	11
9	в свою очередь	8	10
10	по отношению к	13	9
11	вместе с тем	1	9
12	с одной стороны	6	9
13	то время как	1	9
14	с другой стороны	7	8
15	бы то ни	2	7
16	то ни было	1	7
17	с самого начала	5	7
18	во всяком случае	7	7
19	в отличие от	1	6
20	говоря уже о	1	6
21	в связи с	2	6
22	с точки зрения	3	6
23	до тех пор	1	6
24	не говоря уже	1	6
25	после того как	3	6
26	о том как	1	5
27	и т д	6	5
28	в ответ на	1	5
29	в этом отношении	1	5
30	тем не менее	10	5
31	том что он	1	5
32	и тот же	1	4
33	в одном из	2	4
34	что у него	1	4
35	к тому что	2	4
36	но все же	2	4
37	и с этой	2	4
38	не в состоянии	2	4
39	по сравнению с	1	4
40	можно было бы	1	4
41	что и в	4	4
42	то что он	1	3
43	друг от друга	3	3
44	более или менее	6	3
45	на мой взгляд	1	3
46	на то что	3	3
47	но и в	4	3
48	один и тот	1	3
49	таким образом в	3	3
50	если бы он	1	3
51	но еще больше	1	2
52	мере в какой	1	2
53	одной стороны и	2	2
54	не иначе как	2	2
55	то это опять	1	2
56	в большинстве случаев	1	2
57	в каждом из	1	2
58	в этом смысле	4	2
59	при этом что	1	2
60	у нас в	1	2
61	с этой точки	2	2
62	таким же образом	1	2
63	потому что в	5	2
64	как и в	3	2
65	так и в	5	2
66	но при этом	1	2
67	в первом случае	1	2
68	друг за другом	1	2
69	точно так же	1	2
70	и таким образом	1	2
71	из всего этого	1	2
72	с тех пор	1	2
73	сплошь да рядом	1	2
74	и в том	3	2
75	но едва ли	1	2
76	друг друга и	1	2
77	в своем сочинении	1	2
78	этой точки зрения	1	2
79	и в тех	1	2
80	но столь же	1	2
81	только в том	7	2
82	и тем более	1	2
83	но и все	1	2
84	подобно тому как	7	2
85	так же как	1	2
86	только потому что	3	2
87	не только в	3	2
88	только для того	1	2
89	как мы видели	1	2
90	и в свою	3	2
91	ни в одном	1	2
92	и все же	1	2
93	по его мнению	4	2
94	что в каждом	1	1
95	но все эти	1	1
96	как мы их	1	1
97	как и во	3	1
98	себе не может	1	1
99	с так как	1	1
100	имеет ничего общего	1	1
101	что мы не	2	1
102	что и для	1	1
103	бы при этом	1	1
