N	4gram	Tiupa_Vved	Dialekti
1	не что иное как	1	18
2	в то же время	4	14
3	одно и то же	1	12
4	одна и та же	1	8
5	и в то же	1	6
6	одной и той же	1	5
7	не в том что	2	5
8	в том смысле что	1	4
9	с одной стороны и	3	4
10	одних и тех же	1	3
11	но в то же	1	3
12	и тем более не	1	3
13	а стало быть и	1	2
14	как более или менее	1	2
15	с той или иной	1	2
16	дело в том что	1	2
17	так же как и	1	2
18	никогда не может быть	1	1
19	и не претендует на	1	1
20	не было и не	1	1
21	уж во всяком случае	1	1
22	ли это что в	1	1
23	сомневаться в том что	1	1
24	с другой стороны в	1	1
25	и в другом случае	1	1
26	исходя из того что	1	1
27	то же самое и	1	1
28	он может и должен	1	1
29	если бы не было	1	1
30	том смысле что они	1	1
31	о том что будет	1	1
32	и не может быть	1	1
33	с другой стороны эта	1	1
34	внимание на то что	1	1
35	же самое и в	1	1
36	той или другой стороны	1	1
37	в первом случае мы	1	1
38	мог бы и не	1	1
39	он не может быть	1	1
