N	3gram	Potebnia_M	TeoriaLi
1	в том что	18	10
2	по отношению к	13	10
3	в то же	3	8
4	то же время	3	8
5	в отличие от	1	7
6	с другой стороны	7	6
7	более или менее	6	6
8	не может быть	11	5
9	для того чтобы	4	5
10	одного и того	6	4
11	и того же	6	4
12	в свою очередь	8	3
13	с точки зрения	3	3
14	в этом смысле	4	3
15	тем не менее	10	3
16	подобно тому как	7	3
17	в связи с	2	3
18	с одной стороны	6	3
19	в противном случае	3	2
20	при этом что	1	2
21	этой точки зрения	1	2
22	с этой точки	2	2
23	как и в	3	2
24	в таком случае	4	2
25	внутренней и внешней	1	2
26	и тем самым	2	2
27	том что он	1	2
28	не только не	2	2
29	то ни было	1	2
30	не могут быть	5	2
31	сама по себе	4	2
32	и не могло	1	2
33	к тому что	2	2
34	тогда как в	1	2
35	то что они	1	2
36	бы то ни	2	2
37	может быть названо	5	2
38	собственно говоря только	1	1
39	может и не	1	1
40	на вопрос что	1	1
41	мере в какой	1	1
42	и в жизни	3	1
43	в том и	2	1
44	между лицом и	1	1
45	том случае если	1	1
46	с тем же	1	1
47	не что иное	2	1
48	развития но и	1	1
49	в одном и	3	1
50	все то что	2	1
51	то есть в	1	1
52	в более или	1	1
53	и потому что	2	1
54	и для него	1	1
55	и том же	3	1
56	себе еще не	1	1
57	слова так и	1	1
58	всей духовной жизни	1	1
59	по себе а	1	1
60	еще не есть	1	1
61	в той мере	1	1
62	но одно из	1	1
63	состоит не в	1	1
64	а не с	1	1
65	вбирает в себя	2	1
66	на задний план	1	1
67	форма в которой	1	1
68	они ни были	2	1
69	в большинстве случаев	1	1
70	легко может быть	1	1
71	по крайней мере	6	1
72	но дело в	2	1
73	заключается в том	1	1
74	входит в его	1	1
75	в сравнении с	4	1
76	не в состоянии	2	1
77	о том что	1	1
78	мы говорим о	1	1
79	бы они ни	2	1
80	заключает в себе	6	1
81	в том в	1	1
82	она могла бы	1	1
83	в каждом человеке	1	1
84	внутреннее и внешнее	1	1
85	то есть как	1	1
86	не только к	1	1
87	в себе самом	1	1
88	нами не как	1	1
89	таким же образом	1	1
90	и тем более	1	1
91	на нее как	1	1
92	тем и другим	1	1
93	друг от друга	3	1
94	как более или	1	1
95	на вопрос о	1	1
96	не совпадает с	1	1
97	упустить из виду	1	1
98	при этом не	2	1
99	собственно говоря и	1	1
100	друг другу и	2	1
101	при этом и	1	1
102	и как бы	4	1
103	но на деле	3	1
104	одной стороны и	2	1
105	быть устранены из	1	1
106	сознания а в	1	1
107	объективности и субъективности	4	1
108	бы ни был	1	1
109	в чем состоит	1	1
110	того что не	1	1
111	в себе никаких	1	1
112	может быть назван	1	1
113	могли быть устранены	1	1
114	в том случае	1	1
115	дело в том	3	1
116	субъекта и объекта	4	1
117	и свою собственную	1	1
118	а между тем	5	1
119	в первом случае	1	1
120	в то время	3	1
121	потому что из	1	1
122	по себе еще	1	1
123	таким образом что	2	1
124	в его сознании	1	1
125	из того что	2	1
126	точно так же	1	1
127	так же как	1	1
128	в себе никакого	1	1
129	но в действительности	1	1
130	а в том	4	1
131	той мере в	1	1
132	и в слове	2	1
133	не только на	1	1
134	но не в	3	1
135	также что в	1	1
136	не в одном	1	1
137	в душе в	1	1
138	заключать в себе	1	1
139	имеет место в	1	1
140	в произведении искусства	1	1
141	языка не может	1	1
142	при этом как	1	1
143	между тем в	2	1
144	все же оно	1	1
145	каждая из этих	1	1
146	что иное как	2	1
147	только то что	1	1
148	о а и	1	1
149	в одном случае	1	1
150	что входит в	1	1
151	одном и том	3	1
152	имея в виду	1	1
153	все без исключения	1	1
154	не могли быть	1	1
155	могли бы быть	1	1
156	еще и потому	1	1
157	что несмотря на	1	1
158	и в этой	1	1
159	это было бы	2	1
