N	3gram	Bakhtin_Fr	VelikijI
1	за то что	4	3
2	в том что	4	2
3	вместо того чтобы	2	2
4	но и в	2	2
5	том что он	1	2
6	не в силах	1	2
7	так и в	3	1
8	он говорит что	1	1
9	все это мы	1	1
10	роль в нем	1	1
11	и должна быть	1	1
12	в этих словах	1	1
13	другой стороны в	1	1
14	никогда не было	1	1
15	в конце концов	5	1
16	конечно ни в	1	1
17	и во всяком	1	1
18	свою роль в	1	1
19	мы видим что	2	1
20	в этом мире	1	1
21	на том свете	1	1
22	это одна из	4	1
23	в словах его	1	1
24	есть прежде всего	1	1
25	что я не	1	1
26	как и в	2	1
27	с тем чтобы	1	1
28	это не было	1	1
29	но в нем	2	1
30	в одном образе	1	1
31	как бы в	1	1
32	но все же	1	1
33	с другой стороны	2	1
34	и в другие	1	1
35	и все это	2	1
36	проявляется и в	1	1
37	его к жизни	1	1
38	в них и	1	1
39	но от этого	1	1
40	и есть то	2	1
41	после того как	6	1
42	и в этом	1	1
