N	4gram	Losev_Dial	EvropaiC
1	до сих пор не	1	5
2	нечего и говорить что	1	3
3	из поставленных выше вопросов	1	2
4	несмотря на то что	2	2
5	в то же время	7	2
6	только тогда когда оно	2	1
7	именно в том что	1	1
8	и до сих пор	1	1
9	в то время как	2	1
10	а на самом деле	1	1
11	и в другом случае	1	1
12	в том и в	1	1
13	мы уже знаем что	2	1
14	и в том и	1	1
15	а между тем в	1	1
16	не говоря уже о	1	1
17	том и в другом	1	1
18	в том что он	1	1
19	никому и в голову	1	1
20	мы находим в разных	1	1
21	не в том что	1	1
22	одно и то же	8	1
23	дело в том что	1	1
24	принять во внимание что	1	1
25	и с точки зрения	1	1
26	а в том что	1	1
27	можно представить себе как	1	1
28	о том что все	1	1
29	и в голову не	1	1
30	приводит к тому что	1	1
31	одному и тому же	1	1
32	одной и той же	1	1
33	не есть ли это	1	1
34	именно с точки зрения	1	1
35	тем не менее в	1	1
