N	3gram	Bakhtin_sl	Hudozhes
1	по отношению к	2	10
2	в том что	4	8
3	в то же	15	7
4	в отличие от	12	7
5	то же время	15	7
6	с другой стороны	5	6
7	более или менее	5	6
8	той или иной	13	5
9	для того чтобы	1	5
10	так или иначе	1	4
11	того или иного	2	4
12	не может быть	11	4
13	мы имеем в	1	3
14	с точки зрения	11	3
15	имеем в виду	1	3
16	в виду не	1	3
17	в том числе	1	3
18	тем не менее	2	3
19	можно сказать что	1	3
20	и то же	2	3
21	одно и то	2	3
22	в связи с	2	3
23	с одной стороны	7	3
24	в той или	12	2
25	в свою очередь	3	2
26	бы то ни	1	2
27	и прежде всего	1	2
28	до известной степени	3	2
29	этой точки зрения	1	2
30	в том и	2	2
31	с этой точки	1	2
32	в эстетический объект	1	2
33	как бы не	1	2
34	в противном случае	1	2
35	включает в себя	3	2
36	в отношении к	9	2
37	не в самом	1	2
38	том числе и	1	2
39	тех или иных	1	2
40	и в то	6	2
41	не могло быть	1	2
42	том что он	1	2
43	тем или иным	1	2
44	то ни было	1	2
45	сама по себе	2	2
46	к тому что	2	2
47	однако при этом	1	2
48	в известном смысле	2	2
49	в значительной степени	6	2
50	может быть и	2	2
51	что он не	1	1
52	может и не	1	1
53	в евгении онегине	3	1
54	века и в	1	1
55	поэт не может	1	1
56	то есть для	2	1
57	отношение к своему	2	1
58	все то что	1	1
59	одним из существеннейших	1	1
60	то есть в	1	1
61	точки зрения не	1	1
62	он еще не	1	1
63	человека и его	2	1
64	слова так и	1	1
65	по себе а	1	1
66	с его внешними	1	1
67	или даже вовсе	1	1
68	к чужому слову	6	1
69	на задний план	1	1
70	только в условиях	1	1
71	между собой в	1	1
72	в известной степени	3	1
73	он не только	1	1
74	по крайней мере	1	1
75	человек имеет дело	1	1
76	это возможно в	1	1
77	за ним всегда	1	1
78	о том что	2	1
79	то или иное	1	1
80	в последние десятилетия	1	1
81	не в качестве	1	1
82	мы говорим о	1	1
83	в свое время	1	1
84	одной стороны и	2	1
85	имеет дело со	1	1
86	как и в	2	1
87	то есть как	3	1
88	как один из	1	1
89	между тем это	1	1
90	к одному из	1	1
91	уходит своими корнями	2	1
92	может быть развернута	1	1
93	тем и другим	2	1
94	и романного слова	1	1
95	в этих случаях	1	1
96	являются такими же	1	1
97	в то время	2	1
98	при этом и	1	1
99	в основе его	1	1
100	такого языка в	1	1
101	оттесняет на задний	1	1
102	бы ни был	1	1
103	то есть от	2	1
104	как это может	1	1
105	высказывания и в	1	1
106	в особенности в	1	1
107	и не могла	1	1
108	у нее нет	1	1
109	именно потому что	1	1
110	а также в	1	1
111	и в частности	1	1
112	иметь в виду	1	1
113	к автору и	1	1
114	но в то	6	1
115	в лучшем случае	3	1
116	в зависимости от	4	1
117	не на языке	1	1
118	по себе еще	1	1
119	в его сознании	1	1
120	отношении к нему	1	1
121	никогда не бывает	1	1
122	входит в эстетический	1	1
123	речь идет о	1	1
124	своими корнями в	2	1
125	то есть его	1	1
126	в этом случае	4	1
127	бы они ни	1	1
128	здесь как бы	1	1
129	а в том	1	1
130	они ни были	1	1
131	не только на	2	1
132	и оценки и	1	1
133	иметь место в	1	1
134	и в пределах	1	1
135	между автором и	2	1
136	не могут быть	3	1
137	в русском языке	1	1
138	в частности в	1	1
139	в новое время	2	1
140	языка не может	2	1
141	дистанции между ними	1	1
142	не входит в	1	1
143	и в сущности	4	1
144	чужой речи и	1	1
145	а не с	1	1
146	языка но и	1	1
147	своему смыслу и	1	1
148	жизни на основании	1	1
149	и на его	1	1
150	становления мира в	1	1
151	перед нами не	1	1
152	точки зрения и	1	1
153	а не только	1	1
154	рассеянной чужой речи	1	1
155	и тем и	2	1
156	прежде всего в	1	1
157	и в том	2	1
158	могли бы быть	1	1
159	шире и глубже	1	1
160	таким образом с	1	1
161	говорящего и его	1	1
162	это было бы	1	1
