1	с точки зрения	9	17
2	в то же	10	13
3	то же время	10	13
4	в настоящее время	2	11
5	не может быть	4	11
6	в связи с	1	9
7	в его целом	1	8
8	до сих пор	5	7
9	на самом деле	6	7
10	более или менее	4	7
11	в этом отношении	1	7
12	и в этом	1	6
13	во всяком случае	6	6
14	в свою очередь	1	6
15	того или иного	2	6
16	прежде всего в	1	5
17	и не может	3	5
18	вместе с тем	3	5
19	в большинстве случаев	2	5
20	в самом деле	1	5
21	по отношению к	1	4
22	смысле этого слова	1	4
23	то ни стало	3	4
24	бы то ни	4	4
25	в применении к	1	4
26	для того чтобы	6	3
27	отнюдь не следует	1	3
28	но в то	1	3
29	в том что	7	3
30	в лучшем случае	3	3
31	во что бы	3	3
32	до известной степени	1	3
33	к тому что	2	3
34	что бы то	3	3
35	в том чтобы	1	3
36	как бы ни	1	3
37	в значительной степени	1	3
38	в своем целом	1	2
39	в противном случае	1	2
40	роль в истории	1	2
41	с самого начала	1	2
42	сама по себе	2	2
43	из всего этого	1	2
44	для этого прежде	1	2
45	и в частности	1	2
46	и прежде всего	1	2
47	но все же	1	2
48	сводится к тому	1	2
49	в том случае	4	2
50	друг от друга	2	2
51	в данном случае	3	2
52	в конце концов	3	2
53	было говорить о	1	2
54	тем не менее	1	2
55	этого прежде всего	1	2
56	но даже и	1	2
57	и тем самым	2	2
58	свою очередь является	1	2
59	к тому чтобы	4	2
60	в этой роли	1	1
61	уже знаем что	1	1
62	в этом случае	3	1
63	по крайней мере	1	1
64	еще не было	1	1
65	какие конкретные формы	1	1
66	можно было говорить	1	1
67	точки зрения этих	1	1
68	ни к какому	1	1
69	тем в этом	1	1
70	приводит к отрицанию	1	1
71	лишь постольку поскольку	1	1
72	том случае если	3	1
73	только в том	2	1
74	это конечно не	1	1
75	прежде всего необходимо	1	1
76	самому своему существу	1	1
77	от того что	1	1
78	этого отнюдь не	1	1
79	между прочим и	1	1
80	однако они были	1	1
81	всех не только	1	1
82	и должно было	1	1
83	тот или иной	1	1
84	заключается в том	1	1
85	и как бы	1	1
86	и в том	2	1
87	этого слова но	1	1
88	состоит в том	1	1
89	как бы не	1	1
90	она могла бы	1	1
91	но при этом	1	1
92	только с точки	1	1
93	в какие конкретные	1	1
94	что же это	1	1
95	она не может	2	1
96	но из этого	1	1
97	что касается до	1	1
98	мы уже знаем	1	1
99	по самому своему	2	1
100	том числе и	1	1
101	так же как	1	1
102	но для этого	1	1
103	во всех этих	1	1
104	то ни было	1	1
105	и с точки	1	1
106	быть самим собой	4	1
107	что он есть	1	1
108	бы либо к	1	1
109	если мы в	1	1
110	русского языка и	1	1
111	лучшем случае лишь	1	1
112	чтобы понять что	2	1
113	же время в	1	1
114	тех или иных	1	1
115	на этот вопрос	1	1
116	по их мнению	1	1
117	таким образом оказывается	1	1
118	отнюдь не является	1	1
119	в том числе	1	1
120	и в стремлении	1	1
121	и с исторической	1	1
122	и во всяком	2	1
123	или хотя бы	1	1
124	в том и	2	1
125	точки зрения этой	2	1
126	идет не об	1	1
127	и те кто	1	1
128	только то что	1	1
129	конечно не может	1	1
130	и если в	3	1
131	тем что он	1	1
132	то и другое	1	1
133	эта точка зрения	1	1
134	совершенно очевидно что	1	1
135	различны в зависимости	1	1
136	не может не	3	1
137	и то и	1	1
138	для создания нового	1	1
139	лишь в том	2	1
140	к вопросу о	3	1
141	целый ряд общих	1	1
142	и в других	1	1
143	что он не	2	1
