N	2gram	Medvedev_V	Freidism
1	и не	1	34
2	в этом	1	28
3	и в	2	28
4	и его	1	22
5	так как	1	15
6	самом деле	1	14
7	в самом	1	12
8	то же	1	12
9	том что	2	12
10	все это	1	12
11	только в	1	11
12	в том	2	10
13	к этому	1	9
14	хотя бы	1	7
15	и только	1	6
16	по поводу	1	5
17	далеко не	1	5
18	сводится к	1	4
19	именно в	1	4
20	потому что	1	4
21	а только	1	4
22	все время	1	4
23	но это	1	4
24	я не	1	4
25	в другом	1	4
26	главным образом	1	4
27	для них	1	3
28	все то	1	3
29	и то	1	3
30	не будем	1	3
31	под влиянием	1	3
32	да и	1	2
33	время в	1	2
34	от других	1	2
35	в их	1	2
36	дело в	1	2
37	в конце	2	2
38	ясно что	1	2
39	другом месте	1	2
40	же с	1	2
41	речи и	1	2
42	в книге	3	2
43	ничуть не	1	2
44	конце концов	2	2
45	по существу	1	1
46	от общего	1	1
47	на заре	1	1
48	полемизируя с	1	1
49	социальных отношений	1	1
50	по крайней	1	1
51	на одном	1	1
52	образом из	1	1
53	том же	1	1
54	крайней мере	1	1
55	и мало	1	1
56	гораздо более	1	1
57	и самым	1	1
58	один пример	1	1
59	к чему	1	1
60	г стр	1	1
61	имеется в	1	1
62	связанным с	1	1
63	тем более	1	1
64	совершенно ясно	1	1
65	же все	1	1
66	и почти	1	1
67	в теории	1	1
68	одно и	1	1
69	говоря о	1	1
70	даже не	1	1
71	как же	1	1
72	и т.д	1	1
73	все дело	1	1
74	сводится в	1	1
