N	4gram	Voloshinov	Hudozhes
1	в то же время	6	7
2	мы имеем в виду	1	3
3	одно и то же	1	3
4	ни в коем случае	1	2
5	в том что он	2	2
6	бы то ни было	2	2
7	в коем случае не	1	2
8	и в то же	1	2
9	только то что может	1	1
10	том что он не	1	1
11	и его роли в	1	1
12	не что иное как	1	1
13	заключается в том что	2	1
14	в том что она	2	1
15	и по отношению к	1	1
16	в отличие от обычного	1	1
17	в таком случае это	1	1
18	во внешнем мире и	1	1
19	и прежде всего к	1	1
20	но в отличие от	1	1
21	в одной из своих	1	1
22	но в то же	3	1
23	по отношению к его	1	1
24	не может быть и	4	1
25	между субъективной и объективной	1	1
26	за пределы всего что	1	1
27	есть не что иное	1	1
