N	2gram	Berdyaev_N	Mirosoze
1	и в	16	97
2	может быть	7	64
3	не только	5	63
4	в этом	7	55
5	но и	3	54
6	он не	8	53
7	а не	17	53
8	в нем	5	49
9	не может	16	49
10	у него	2	47
11	и не	11	39
12	во имя	15	39
13	никогда не	6	38
14	человеческого духа	1	38
15	в ней	5	37
16	потому что	4	37
17	не было	4	36
18	не в	6	34
19	и есть	10	33
20	не есть	3	30
21	но он	1	30
22	есть лишь	4	30
23	человека в	1	30
24	как и	7	29
25	прежде всего	4	29
26	в мире	3	27
27	но в	2	27
28	о человеке	1	26
29	человека и	3	26
30	в своей	3	25
31	и это	2	25
32	о свободе	1	24
33	свободы и	2	24
34	переходит в	1	24
35	и все	4	24
36	у нас	1	24
37	в своем	1	23
38	что в	9	23
39	что он	1	22
40	в самом	1	21
41	бога и	3	20
42	в себе	2	20
43	в россии	3	19
44	человек не	1	19
45	в его	1	18
46	и потому	4	17
47	том что	2	16
48	если нет	2	16
49	в том	8	16
50	то что	4	16
51	было бы	1	16
52	и его	1	16
53	быть может	4	15
54	духа в	2	15
55	в котором	1	15
56	не был	1	15
57	не знает	6	15
58	в этой	1	15
59	к отрицанию	1	14
60	в конце	1	14
61	она не	3	14
62	нет ничего	1	14
63	так как	1	14
64	в глубине	1	14
65	русский народ	1	13
66	на поверхности	1	13
67	и на	2	13
68	друг друга	1	13
69	в русском	2	13
70	в них	4	12
71	к нему	1	12
72	и у	1	12
73	но не	2	12
74	смысле слова	3	12
75	человеческой свободы	1	12
76	свободы в	2	12
77	это не	4	12
78	все это	5	12
79	и к	5	11
80	с тем	3	11
81	уже не	2	11
82	хотя бы	2	11
83	духа и	3	11
84	в которой	1	11
85	только в	1	11
86	как в	3	11
87	но это	6	11
88	и для	4	11
89	менее всего	1	11
90	жизни и	8	11
91	так же	2	10
92	образ человека	1	10
93	всю жизнь	1	10
94	должна быть	3	10
95	не могут	1	10
96	не имеет	4	10
97	это и	2	10
98	связана с	2	10
99	все что	1	9
100	к тому	3	9
101	должно быть	4	9
102	xix века	5	9
103	я не	2	9
104	не будет	7	9
105	с ним	1	9
106	русского народа	1	9
107	вместе с	2	9
108	человека на	1	9
109	в свою	1	9
110	свобода духа	2	9
111	и во	1	9
112	есть уже	1	9
113	есть и	1	9
114	а в	2	9
115	лишь в	6	9
116	в этих	1	8
117	и с	2	8
118	тем что	1	8
119	в христианстве	1	8
120	о том	4	8
121	вопрос о	3	8
122	человека не	1	8
123	себя в	2	8
124	христианского мира	1	8
125	что не	1	8
126	человеке и	1	8
127	за пределы	3	8
