N	2gram	Losev_Prob	formyVre
1	и в	64	148
2	в этом	30	73
3	то есть	61	70
4	в романе	1	58
5	в нем	14	51
6	прежде всего	17	46
7	и т	13	40
8	и не	63	37
9	в его	12	36
10	и его	3	36
11	вовсе не	60	35
12	но и	23	33
13	то же	10	32
14	т п	1	32
15	не только	37	32
16	в литературе	4	32
17	но в	19	31
18	жизни и	1	31
19	в греческом	1	29
20	так и	17	29
21	времени в	2	27
22	может быть	29	27
23	не в	6	26
24	как мы	10	26
25	как и	7	25
26	как бы	18	25
27	точки зрения	5	24
28	мы уже	8	24
29	только в	19	23
30	в то	7	23
31	времени и	1	23
32	человека в	1	23
33	в том	19	22
34	то что	72	22
35	связи с	8	21
36	во всех	9	21
37	все эти	15	21
38	в своем	7	19
39	и др	2	19
40	и на	11	19
41	в основном	1	19
42	и для	10	19
43	таким образом	9	18
44	и все	9	18
45	еще не	18	18
46	по существу	2	18
47	при этом	8	17
48	с этим	7	17
49	так как	16	17
50	в пределах	2	17
51	все же	7	16
52	в условиях	2	16
53	новой жизни	1	16
54	в связи	7	16
55	того же	3	16
56	в основе	4	16
57	и во	4	16
58	и их	4	16
59	не может	18	16
60	в них	8	15
61	в дальнейшем	5	15
62	никогда не	8	15
63	с точки	3	15
64	так сказать	1	15
65	с его	3	15
66	в пространстве	1	15
67	вместе с	4	15
68	лишь в	4	15
69	и как	10	14
70	и с	12	14
71	так же	12	14
72	в конце	13	14
73	его жизни	1	14
74	всех этих	11	14
75	а не	21	14
76	как раз	20	14
77	все это	11	14
78	в самом	10	13
79	в котором	5	13
80	для того	10	13
81	во время	1	13
82	с ним	4	13
83	как в	5	13
84	роль в	2	13
85	здесь в	4	13
86	в их	7	13
87	в частности	5	13
88	того чтобы	10	13
89	а в	7	13
90	же в	5	13
91	и до	3	12
92	конечно не	3	12
93	не было	7	12
94	он не	5	12
95	значение и	7	12
96	отнюдь не	15	12
97	что в	21	12
98	это время	1	12
99	потому что	24	12
100	в истории	6	12
101	ничего не	20	12
102	но не	13	12
103	и наконец	3	12
104	из них	3	11
105	хотя и	8	11
106	его в	9	11
107	ни в	13	11
108	уже в	6	11
109	мира и	1	11
110	в ней	1	11
111	и времени	2	11
112	кроме того	7	10
113	уже не	9	10
114	и того	5	10
115	входит в	4	10
116	в ее	3	10
117	вещей и	1	10
118	этого ряда	1	10
119	сих пор	6	10
120	также и	22	10
121	до сих	6	10
122	со смертью	1	10
123	в ряд	2	10
124	здесь не	9	10
125	тот же	4	10
126	и даже	19	9
127	но все	5	9
128	их в	6	9
129	на этой	4	9
130	с другой	8	9
131	наряду с	1	9
132	на протяжении	1	9
133	здесь нет	3	9
134	должно быть	3	9
135	и следовательно	6	9
136	и это	13	9
137	в других	5	9
138	могут быть	2	9
139	отношения к	2	9
140	оно не	6	9
141	том что	26	9
142	в самой	3	9
143	для него	2	9
144	есть в	9	9
145	и других	1	9
146	одного и	2	9
147	мира в	2	9
148	и к	2	8
149	в результате	6	8
150	в виду	10	8
151	в этих	7	8
152	время как	2	8
153	и смерть	1	8
154	к тому	5	8
155	но эти	1	8
156	в некоторых	1	8
157	с одной	4	8
158	что и	2	8
159	характер и	1	8
160	здесь мы	1	8
161	и по	3	8
162	один из	7	8
163	в жизни	3	8
164	для себя	9	8
165	со всеми	2	8
166	если бы	8	8
167	связанные с	1	8
168	до конца	1	8
169	здесь и	1	8
170	мы еще	3	8
171	и то	15	8
172	значение в	4	8
173	том числе	2	8
174	во всяком	18	8
175	это не	7	8
176	а также	6	8
177	и потому	3	8
178	отношение к	1	8
179	или иной	8	8
180	в целом	1	8
181	в той	2	7
182	для всех	3	7
183	не как	2	7
184	имеет место	1	7
185	между собой	5	7
186	связанных с	1	7
187	к ним	1	7
188	к этому	1	7
189	из этих	5	7
190	в себе	16	7
191	но он	3	7
