N	4gram	Potebnia_M	VerxiiNi
1	во всяком случае не	1	3
2	бы то ни было	1	2
3	с этой точки зрения	1	2
4	в то же время	3	2
5	в том виде в	1	2
6	точно так же как	1	2
7	вместе с тем с	1	1
8	лицом к лицу с	1	1
9	и выйти из этого	1	1
10	но тем не менее	6	1
11	указывает на то что	1	1
12	или по крайней мере	2	1
13	одном и том же	3	1
14	мы видели выше что	1	1
15	том виде в каком	1	1
16	а в том что	2	1
17	в отвлеченные понятия и	1	1
18	с тем и другим	1	1
19	несмотря на все усилия	1	1
20	но и потому что	1	1
21	не потому только что	1	1
22	с психологической точки зрения	1	1
23	все более и более	2	1
24	одного и того же	6	1
25	не в том что	3	1
26	по сравнению с другими	1	1
27	и в этом отношении	1	1
28	в одном и том	3	1
29	еще и потому что	1	1
30	и сами по себе	3	1
31	между человеком и животным	1	1
32	в таком случае эта	1	1
33	тем не менее продолжает	1	1
34	один и тот же	1	1
