N	4gram	Voloshinov	Problema
1	не что иное как	1	14
2	в той или иной	3	10
3	дело в том что	1	10
4	на самом же деле	5	8
5	не чем иным как	1	7
6	не говоря уже о	1	7
7	взятая сама по себе	1	6
8	бы то ни было	11	6
9	не имеют ничего общего	1	5
10	до сих пор мы	1	5
11	тем не менее в	1	5
12	уже с самого начала	2	4
13	одним и тем же	2	4
14	же в таком случае	1	4
15	в собственном смысле слова	2	4
16	одно и то же	3	4
17	и с точки зрения	1	4
18	ни в коем случае	2	4
19	если мы скажем что	1	4
20	в том числе и	3	4
21	в связи с этим	3	4
22	так же как и	2	4
23	является не чем иным	1	3
24	одного и того же	9	3
25	несмотря на то что	1	3
26	имеют никакого отношения к	1	3
27	не имеют никакого отношения	1	3
28	с этой точки зрения	1	3
29	с одной стороны и	1	3
30	в том что он	3	3
31	но в то же	6	3
32	но тем не менее	1	2
33	как мы только что	1	2
34	в коем случае нельзя	1	2
35	как мы уже сказали	1	2
36	в ту или иную	1	2
37	не выходит за пределы	1	2
38	но если мы скажем	1	2
39	каких бы то ни	3	2
40	чем же в таком	1	2
41	все более и более	2	2
42	самом же деле это	1	2
43	одной и той же	2	2
44	уже о том что	1	2
45	один и тот же	3	2
46	а может быть и	1	2
47	и там и здесь	1	2
48	если же мы возьмем	1	2
49	на тот или иной	1	2
50	себе отчет в том	1	2
51	не может обойтись без	1	2
52	мы не будем здесь	1	2
53	говоря уже о том	1	2
54	к тому или иному	1	2
55	в связи с той	1	2
56	отчет в том что	1	2
57	имеют ничего общего с	1	2
58	с точки зрения тех	2	1
59	при более подробном анализе	1	1
60	с нашей точки зрения	1	1
61	до сих пор и	1	1
62	с той или иной	1	1
63	и в таком случае	1	1
64	связи с той или	1	1
65	в точном смысле слова	1	1
66	с точки зрения самого	2	1
67	по крайней мере двух	1	1
68	в то же время	7	1
69	бы оно ни было	1	1
70	ни в какой степени	1	1
71	здесь одно и то	1	1
72	коем случае нельзя путать	1	1
73	в таком случае можно	1	1
74	которые в настоящее время	1	1
75	сводится к тому что	1	1
76	как бы оно ни	1	1
77	но конечно далеко не	1	1
78	у нас не было	1	1
79	в таком случае оно	1	1
80	с другой стороны и	1	1
81	этот вопрос мы не	1	1
82	не прав в том	1	1
83	может быть и более	1	1
84	до сих пор не	1	1
85	с самого начала не	1	1
86	мы на самом деле	1	1
87	но для того чтобы	1	1
88	не сводимую ни к	1	1
89	если бы он был	2	1
90	то что обычно называется	1	1
91	имеет дело вовсе не	1	1
92	того чтобы понять эти	1	1
93	тот или иной предмет	1	1
94	в связи с переходом	1	1
95	в настоящее время является	1	1
96	в жизни и в	1	1
97	не было бы в	1	1
98	и не может быть	5	1
99	связь значения со знаком	1	1
100	что они состоят из	1	1
101	не может быть и	4	1
102	в конце концов так	1	1
103	вещи и как мы	1	1
104	связаны между собой и	1	1
105	в связи с тем	1	1
106	тем не менее совершенно	1	1
107	можно прямо сказать что	1	1
108	на то или иное	1	1
109	и сама по себе	1	1
110	у нас не будет	2	1
111	может быть и речи	4	1
112	в коем случае не	1	1
113	неразрывно связаны между собой	1	1
114	сводимую ни к каким	1	1
115	и не было бы	1	1
116	в этом последнем случае	1	1
117	в какой степени не	1	1
118	во всех этих случаях	1	1
119	какой бы то ни	3	1
120	дело вовсе не с	1	1
121	для того чтобы понять	2	1
122	в самом деле если	2	1
123	случае нельзя путать с	1	1
