N	2gram	Bakhtin_Fr	Marksizm
1	точки зрения	7	69
2	может быть	4	64
3	и в	67	63
4	и не	23	55
5	как бы	18	53
6	не может	9	47
7	с точки	5	46
8	и пр	1	42
9	и его	19	41
10	в этом	27	39
11	таким образом	20	38
12	в процессе	1	33
13	как мы	16	32
14	в пределах	2	31
15	лишь в	3	30
16	не только	23	29
17	то же	18	28
18	в нем	20	28
19	но и	23	27
20	в языке	1	26
21	связи с	7	25
22	речи и	1	25
23	самом деле	6	25
24	в самом	7	24
25	как и	19	24
26	прежде всего	19	24
27	только в	6	23
28	так и	14	23
29	и т.п	31	23
30	в том	16	22
31	то что	9	22
32	а не	6	22
33	при этом	5	20
34	так сказать	2	20
35	для него	4	20
36	если мы	3	20
37	не в	8	19
38	если бы	2	19
39	том что	13	19
40	в его	17	19
41	в ее	2	18
42	и для	4	18
43	но в	20	18
44	вовсе не	19	18
45	все же	7	17
46	в сущности	13	17
47	по отношению	1	16
48	слова и	2	16
49	и как	7	16
50	в то	17	16
51	с помощью	6	15
52	во всех	20	15
53	в связи	5	15
54	что он	7	15
55	же время	14	15
56	отношению к	1	15
57	в данном	4	14
58	хотя бы	2	14
59	в смысле	1	14
60	в своей	6	13
61	так же	13	13
62	что в	14	13
63	и здесь	6	13
64	того чтобы	9	13
65	было бы	5	13
66	ничего не	5	13
67	мы не	6	13
68	для того	8	12
69	того же	6	12
70	в результате	5	12
71	между тем	3	12
72	он не	9	12
73	в основе	6	12
74	является не	1	12
75	а в	4	12
76	не столько	5	11
77	и того	1	11
78	к нему	5	11
79	мы уже	13	11
80	и что	3	11
81	и от	6	11
82	до сих	3	11
83	и на	12	11
84	и все	18	11
85	как в	4	11
86	еще не	5	11
87	друг друга	1	11
88	так как	16	11
89	на самом	8	11
90	все эти	12	11
91	в ней	10	11
92	сих пор	3	11
93	именно в	5	10
94	во всяком	1	10
95	самого начала	3	10
96	с другой	3	10
97	сказать что	12	10
98	к этому	4	10
99	никогда не	6	10
100	в своем	13	10
101	его в	10	10
102	в таком	2	10
103	одна из	1	10
104	в каждом	3	10
105	в большинстве	6	10
106	конечно не	5	10
107	в отличие	3	10
108	с его	11	10
109	здесь в	9	10
110	и потому	1	10
111	с самого	3	10
112	отличие от	3	10
113	более того	3	10
114	быть и	1	9
115	к тому	4	9
116	одного и	1	9
117	только на	1	9
118	в нашем	3	9
119	в себе	3	9
