N	2gram	Berdyaev_V	Sovremen
1	может быть	1	12
2	мы не	2	9
3	в этом	4	7
4	и в	16	7
5	в результате	1	6
6	как и	4	6
7	ничего не	1	6
8	и не	20	6
9	прежде всего	2	5
10	все эти	3	5
11	а в	2	4
12	так как	9	4
13	вопрос о	1	4
14	это не	2	4
15	не только	2	4
16	как бы	5	4
17	нет и	2	4
18	их в	3	4
19	жизни и	3	4
20	вместе с	1	4
21	в целом	1	4
22	в том	3	4
23	зависимости от	1	4
24	и потому	7	3
25	и мы	3	3
26	уже в	1	3
27	то же	1	3
28	не в	3	3
29	а не	7	3
30	для нас	2	3
31	все это	5	3
32	в одном	1	3
33	у нас	1	3
34	основной вопрос	1	3
35	в конце	3	3
36	в этой	1	3
37	и все	4	3
38	одна из	2	3
39	все же	1	3
40	в нем	4	3
41	но мы	2	3
42	но в	3	3
43	еще не	8	3
44	что в	3	2
45	в самом	1	2
46	мы видим	1	2
47	значение в	1	2
48	и что	3	2
49	ее на	1	2
50	то и	1	2
51	в его	4	2
52	во всяком	2	2
53	в которую	1	2
54	то ни	1	2
55	всего только	1	2
56	что это	1	2
57	говорить о	4	2
58	конечно в	1	2
59	в третьем	1	2
60	у него	1	2
61	не могут	2	2
62	в новых	1	2
63	в виде	1	2
64	скажут нам	1	2
65	в которой	1	2
66	но все	1	2
67	к чему	3	2
68	как мы	1	2
69	наконец не	1	2
70	и во	2	2
71	могут быть	2	2
72	и будет	3	2
73	уже не	2	2
74	и есть	4	2
75	и они	3	2
76	что все	4	2
77	и именно	1	2
78	на этом	1	2
79	роль в	1	2
80	и по	1	2
81	на котором	1	2
82	тот же	3	2
83	жизни но	1	1
84	во всех	3	1
85	бы то	1	1
86	его и	2	1
87	стать в	1	1
88	искать в	1	1
89	а потому	1	1
90	человека в	1	1
91	но как	1	1
92	в окончательном	1	1
93	не хотим	1	1
94	же они	1	1
95	оно из	1	1
96	видим что	1	1
97	в процессе	1	1
98	не имеют	1	1
99	раз и	1	1
100	если в	1	1
101	указать на	1	1
102	должно быть	3	1
103	это как	1	1
104	человек и	1	1
105	в первый	3	1
106	его с	1	1
107	окажется всего	1	1
108	она не	1	1
109	что уже	1	1
110	главах мы	1	1
111	сложное и	1	1
112	следующих главах	1	1
113	это только	1	1
114	не быть	1	1
115	в ней	4	1
116	человека как	2	1
117	это значит	1	1
118	хотя и	5	1
119	человек с	1	1
120	вражда к	1	1
121	с другой	1	1
122	и тогда	2	1
123	с ним	2	1
124	этот третий	1	1
125	на которых	1	1
126	не будет	2	1
127	мы в	1	1
128	и всегда	1	1
129	все что	4	1
130	если нет	1	1
131	часто бывают	1	1
132	в известном	1	1
133	для них	2	1
134	можно было	2	1
135	ни в	3	1
136	и от	1	1
137	кто же	1	1
138	конечно не	2	1
139	весь мир	1	1
140	но что	1	1
141	только в	2	1
142	все равно	2	1
143	не случайно	1	1
144	так же	1	1
145	полного и	2	1
146	свободы и	12	1
147	в будущем	1	1
148	в своих	1	1
149	не было	3	1
150	с его	3	1
151	наука не	1	1
152	один из	2	1
153	в духе	2	1
154	и навсегда	1	1
155	наших дней	1	1
156	их и	1	1
157	может ли	1	1
158	себе такую	1	1
159	крайней мере	1	1
160	известном смысле	1	1
161	природы и	1	1
162	и эта	1	1
163	свободы выбора	2	1
164	и начало	1	1
165	уже на	2	1
166	и до	1	1
167	мы это	2	1
168	где можно	1	1
169	бы все	1	1
170	вот к	1	1
171	в своем	1	1
172	она и	1	1
173	мы будем	1	1
174	iii наконец	1	1
175	том что	2	1
176	они нам	1	1
177	в мире	5	1
178	жизни в	1	1
179	но не	2	1
180	они не	1	1
181	в следующих	1	1
182	не имеет	3	1
183	и путем	1	1
184	их на	1	1
185	и могут	1	1
186	к этому	1	1
187	отказавшись от	1	1
188	ли он	1	1
189	теперь только	2	1
190	но это	3	1
191	для чего	1	1
192	когда в	2	1
193	и для	3	1
194	есть то	1	1
195	для их	2	1
196	таким же	1	1
197	и это	2	1
198	он осуществляет	1	1
199	и если	1	1
200	нужна для	1	1
201	но часто	1	1
202	на части	1	1
203	жизни не	1	1
204	вовсе не	1	1
205	и свою	1	1
206	есть не	1	1
207	и вообще	1	1
208	ним или	1	1
209	по крайней	1	1
210	и нет	1	1
211	человека и	6	1
212	к нему	1	1
213	никогда не	3	1
214	а потом	1	1
