N	4gram	Losev_Vesc	Vladivir
1	дело в том что	4	11
2	в то же время	4	9
3	и в то же	3	5
4	в то время как	4	5
5	не что иное как	12	4
6	то это значит что	3	4
7	и вместе с тем	1	4
8	также и то что	1	4
9	еще и потому что	1	4
10	не содержит в себе	1	4
11	на самом же деле	1	3
12	что бы то ни	1	3
13	в том что он	2	3
14	заключается в том что	2	3
15	мы должны сказать что	1	2
16	для тех кто не	1	2
17	ничего не говорит о	1	2
18	не имеет никакого отношения	2	2
19	содержит в себе и	1	2
20	имеет никакого отношения к	1	2
21	один и тот же	1	2
22	или по крайней мере	2	2
23	с одной стороны и	1	2
24	одно и то же	5	2
25	свидетельствует о том что	3	2
26	бы то ни было	12	2
27	и тем не менее	5	2
28	но в то же	1	2
29	есть не что иное	8	2
30	не может быть речи	1	1
31	с этой точки зрения	3	1
32	что несмотря на все	1	1
33	конечно ни в каком	1	1
34	связи с вопросом о	1	1
35	ни в каком случае	4	1
36	как бы его ни	1	1
37	взятый сам по себе	1	1
38	содержит в себе в	1	1
39	не может остановиться на	1	1
40	собственно говоря совсем не	1	1
41	никакого отношения ни к	1	1
42	от всего прочего и	2	1
43	т д до бесконечности	2	1
44	в отрыве от всего	1	1
45	указывает на то что	3	1
46	тоже никуда не годится	1	1
47	а тем не менее	3	1
48	о них мы не	1	1
49	даже и не только	1	1
50	в то же самое	1	1
51	не входя в подробности	1	1
52	в том что и	1	1
53	в связи с вопросом	1	1
54	а в том что	1	1
55	того и у другого	1	1
56	не было ни в	1	1
57	каком случае не может	1	1
58	если подойти к делу	1	1
59	в каком случае не	2	1
60	не есть только логика	1	1
61	то и в нем	1	1
62	в том что это	1	1
63	заключается не в том	1	1
64	чего бы то ни	2	1
65	по крайней мере в	2	1
66	то же самое время	1	1
67	и т д до	2	1
68	том что он не	1	1
69	дело не в этом	1	1
70	есть только логика и	1	1
71	может быть речи о	1	1
72	сказать даже больше того	2	1
73	с самого же начала	1	1
74	ничего общего ни с	1	1
75	мы и подходим к	1	1
76	отрыве от всего прочего	1	1
77	а это значит что	1	1
78	и т д в	1	1
79	и то и другое	1	1
80	то можно с полной	1	1
81	стоит на точке зрения	1	1
82	о том как эта	1	1
83	заключается в том чтобы	1	1
84	это вовсе еще не	1	1
85	какой бы то ни	1	1
86	у того и у	1	1
87	смысла и больше ничего	1	1
