N	3gram	Losev_Dial	VrazhdaK
1	то же время	8	4
2	в то же	7	4
3	в связи с	3	3
4	в том что	12	2
5	не может быть	4	2
6	но в то	1	2
7	как раз в	1	2
8	с точки зрения	18	2
9	и о том	1	2
10	это то что	1	1
11	только об одном	1	1
12	не было бы	2	1
13	и с тех	2	1
14	общего ни с	1	1
15	– это не	2	1
16	и перед ними	1	1
17	а между тем	1	1
18	в то время	2	1
19	в конце концов	4	1
20	одно и то	8	1
21	мне и я	2	1
22	речь идет о	1	1
23	равно как и	1	1
24	он сам в	1	1
25	– т е	1	1
26	это не просто	1	1
27	точно так же	3	1
28	так же как	1	1
29	но это не	2	1
30	мы приближаемся к	1	1
31	на то что	4	1
32	и в то	3	1
33	это дает нам	1	1
34	по крайней мере	11	1
35	не забудем что	1	1
36	– одна из	1	1
37	в этом смысле	4	1
38	что в нем	4	1
39	имеется в виду	3	1
40	и то что	1	1
41	о том что	6	1
42	ней ничего не	1	1
43	до сих пор	4	1
44	то же только	1	1
45	в это время	1	1
46	или по крайней	2	1
47	с тех пор	2	1
48	во всяком случае	3	1
49	тем не менее	3	1
50	все равно не	1	1
51	то что я	2	1
52	не лучше ли	2	1
53	к нему с	1	1
54	все что ни	1	1
55	с другой стороны	7	1
56	не с точки	2	1
57	что это за	3	1
58	связи с этим	2	1
59	а с точки	2	1
60	но и это	1	1
61	всего то что	1	1
62	это и есть	3	1
63	на первый взгляд	2	1
64	и то же	8	1
65	в этом отношении	2	1
66	все же не	1	1
67	и не может	1	1
68	и в этом	4	1
69	может быть и	6	1
